tz16_code,tz16_name,sa2_name16,sa2_main16,sa2_5dig16,sa3_name16,sa3_code16,sa4_name16,sa4_code16,lga_name16,lga_code16,gcc_name16,gcc_code16,gsc_distri,mb_cat16,albers_ha,Metro Stage,GIC_AreaName,GIC_Precinct_190919,PIFGA_Precinct,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,SGS_CoDBC_SubPrecinct190924,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
50,Sydney CBD_25 Bligh St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.677934653,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"5,086","5,464","5,794","6,153","6,475","6,907","7,300","7,626","7,997"
51,Sydney CBD_Wentworth Hotel,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.276926148,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,37,39,40,43,46,48,51,53,56,"2,464","2,639","2,756","2,913","3,059","3,238","3,401","3,536","3,685"
52,Sydney CBD_Chifley Square_Chifley Tower,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.526195972,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"4,708","4,898","5,154","5,443","5,721","6,086","6,399","6,640","6,908"
53,Sydney CBD_King St Wharf_Northern End,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.908442319,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,18,18,18,19,20,21,22,23,24,"3,731","3,934","4,154","4,391","7,432","7,822","8,069","8,292","8,526"
54,Sydney CBD_Westpac Place,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.714978858,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,6,6,6,7,7,7,8,8,8,"6,334","6,747","7,152","7,555","7,952","8,481","8,922","9,254","9,618"
55,Sydney CBD_83 Clarence St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.096658825,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,3,3,3,4,4,4,4,5,"2,652","2,848","3,015","3,194","3,364","3,581","3,768","3,914","4,080"
56,Sydney CBD_Wynyard Station_York St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.243347826,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,3,3,3,4,4,4,4,5,"2,882","3,107","3,246","3,459","3,651","3,883","4,101","4,289","4,493"
57,Sydney CBD_Wynyard Station_George St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,3.015638953,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,43,45,46,50,53,56,59,62,65,"4,662","4,966","5,218","5,540","5,832","6,208","6,553","6,839","7,161"
58,Sydney CBD_Hunter Connection,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,2.173269839,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3,4,8,40,71,90,105,118,132,"8,278","8,733","9,160","9,691","10,181","10,809","11,379","11,849","12,373"
59,Sydney CBD_QBE Building,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.038453106,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"3,036","3,201","3,386","3,601","4,834","5,003","5,102","5,204","5,306"
60,Sydney CBD_Savings Bank Building,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.083545152,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,13,14,14,15,16,17,18,18,19,"3,537","3,775","3,990","4,220","4,439","4,724","4,968","5,158","5,369"
61,Sydney CBD_Colonial Centre_Goodsell Building,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,0.959052864,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"3,489","3,790","3,996","4,228","4,448","4,720","4,953","5,139","5,360"
62,Sydney CBD_Martin Place Station_Hunter St and Macquarie St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.40925456,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,89,93,95,102,108,114,119,125,130,"2,871","3,055","3,246","5,941","6,160","6,355","6,487","6,560","6,618"
63,Sydney CBD_Parliament House_Sydney Hospital,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,6.89028743,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,"2,443","2,575","2,641","2,784","2,934","3,082","3,214","3,332","3,466"
64,Mrs Macquaries Chair,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Parkland,14.37884542,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,264,269,277,294,313,332,351,368,386
65,Sydney CBD_King St Wharf_Southern End,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Residential,1.442115241,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,544,554,559,577,593,607,620,635,649,375,399,420,447,470,501,530,554,581
66,Sydney CBD_Slip St,Sydney - Haymarket - The Rocks,117031337,11337,Sydney Inner City,11703,Sydney - City and Inner South,117,Sydney (C),17200,Greater Sydney,1GSYD,Central,Commercial,1.650501508,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0,0,0,0,0,0,0,0,0,351,375,387,407,425,445,464,479,495
