Locality,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,EMP_2016,EMP_2021,EMP_2026,EMP_2031,EMP_2036,EMP_2041,EMP_2046,EMP_2051,EMP_2056
CHIPPENDALE,9106.0,9598.0,9702.0,10579.0,11569.0,12371.0,13121.0,13854.0,14644.0,4616.0,6065.0,7254.0,8498.0,9491.0,10481.0,11045.0,11530.0,12065.0
CHIPPING NORTON,9332.0,9885.0,10747.0,11520.0,12309.0,12970.0,13651.0,14450.0,14182.0,7233.0,7495.0,7253.0,7134.0,7221.0,7265.0,7520.0,7925.0,8756.0
CHISWICK,2528.0,2554.0,2602.0,2669.0,2818.0,3060.0,3315.0,3582.0,3880.0,244.0,267.0,292.0,309.0,327.0,348.0,368.0,385.0,404.0
CHULLORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6940.0,7357.0,7261.0,7128.0,7233.0,7302.0,7427.0,7576.0,7823.0
CHURCH POINT,1733.0,1781.0,1824.0,2300.0,2742.0,2998.0,3235.0,3411.0,3566.0,361.0,377.0,396.0,419.0,449.0,476.0,499.0,517.0,537.0
CLAREMONT MEADOWS,4889.0,5251.0,5749.0,6239.0,6531.0,6601.0,6677.0,6761.0,6845.0,437.0,476.0,542.0,601.0,657.0,698.0,749.0,813.0,884.0
CLAREVILLE,1416.0,1435.0,1455.0,1486.0,1592.0,1681.0,1764.0,1839.0,1935.0,243.0,261.0,282.0,302.0,325.0,346.0,364.0,379.0,394.0
CLAYMORE,2834.0,3044.0,3105.0,3119.0,3125.0,3147.0,3155.0,3159.0,3163.0,159.0,167.0,167.0,167.0,168.0,178.0,184.0,197.0,212.0
CLEMTON PARK,1917.0,2615.0,2956.0,3408.0,3886.0,4775.0,5422.0,5870.0,6202.0,814.0,933.0,1015.0,1064.0,1125.0,1163.0,1199.0,1239.0,1288.0
CLONTARF,2784.0,2800.0,2794.0,2823.0,2853.0,3043.0,3233.0,3421.0,3609.0,540.0,572.0,582.0,588.0,596.0,609.0,619.0,624.0,630.0
CLOVELLY,4805.0,4823.0,4859.0,4968.0,5068.0,5179.0,5297.0,5501.0,5807.0,743.0,804.0,881.0,925.0,974.0,1040.0,1112.0,1178.0,1247.0
CLYDE,6.0,8.0,8.0,9.0,9.0,343.0,905.0,1280.0,2057.0,1609.0,1738.0,1767.0,1798.0,1865.0,1943.0,2071.0,2207.0,2297.0
COBBITTY,2103.0,5327.0,10148.0,12080.0,14623.0,16090.0,17060.0,17628.0,18199.0,782.0,1039.0,1435.0,1666.0,1951.0,2181.0,2297.0,2473.0,2916.0
COLEBEE,1994.0,4596.0,5401.0,5639.0,5988.0,6714.0,7284.0,7706.0,8278.0,43.0,48.0,278.0,563.0,761.0,924.0,1165.0,1365.0,1284.0
COLLAROY,10481.0,10528.0,10591.0,10668.0,10745.0,11014.0,11288.0,11557.0,11895.0,2119.0,2204.0,2259.0,2410.0,2584.0,2745.0,2890.0,3016.0,3140.0
COLLAROY PLATEAU,6433.0,6451.0,6466.0,6473.0,6504.0,6856.0,7195.0,7522.0,7897.0,902.0,936.0,963.0,1032.0,1109.0,1180.0,1246.0,1301.0,1355.0
COLYTON,8671.0,8885.0,9083.0,9288.0,9472.0,11154.0,12809.0,14435.0,16074.0,947.0,1008.0,1060.0,1131.0,1202.0,1382.0,1542.0,1718.0,1902.0
COMO,4073.0,4170.0,4255.0,4378.0,4522.0,4699.0,4912.0,5166.0,5314.0,445.0,488.0,509.0,539.0,576.0,609.0,641.0,669.0,699.0
CONCORD,15207.0,15638.0,16444.0,17285.0,18155.0,19309.0,20448.0,21632.0,22062.0,3531.0,4061.0,4545.0,5110.0,5476.0,5922.0,6275.0,6609.0,6966.0
CONCORD WEST,7426.0,7672.0,8214.0,8800.0,9376.0,10056.0,10706.0,11361.0,11777.0,7092.0,7756.0,8643.0,9318.0,10094.0,10929.0,11755.0,12528.0,13387.0
CONDELL PARK,11834.0,12330.0,12994.0,13544.0,14008.0,14729.0,15625.0,16595.0,16937.0,5679.0,5889.0,6121.0,6286.0,6447.0,6602.0,6792.0,6992.0,7249.0
CONNELLS POINT,2940.0,2945.0,2949.0,2952.0,2954.0,2956.0,2958.0,2959.0,3030.0,303.0,328.0,357.0,380.0,408.0,430.0,452.0,472.0,494.0
CONSTITUTION HILL,4005.0,4122.0,4234.0,4357.0,4503.0,4643.0,4774.0,4896.0,4960.0,255.0,265.0,290.0,312.0,336.0,352.0,374.0,396.0,415.0
COOGEE,16580.0,17075.0,17606.0,17827.0,18289.0,18899.0,19676.0,20389.0,21515.0,3058.0,3343.0,3613.0,3766.0,3936.0,4176.0,4440.0,4682.0,4933.0
COWAN,691.0,699.0,707.0,719.0,740.0,786.0,835.0,885.0,931.0,216.0,226.0,234.0,247.0,261.0,278.0,294.0,307.0,320.0
CRANEBROOK,13932.0,14750.0,15278.0,15739.0,16105.0,17022.0,17916.0,18796.0,19683.0,1192.0,1310.0,1355.0,1393.0,1424.0,1455.0,1485.0,1541.0,1612.0
CREMORNE,12489.0,13051.0,13448.0,13863.0,14734.0,16020.0,17199.0,18309.0,19289.0,2406.0,2560.0,2672.0,2872.0,3072.0,3269.0,3451.0,3610.0,3771.0
CREMORNE POINT,2012.0,2033.0,2057.0,2081.0,2143.0,2234.0,2305.0,2386.0,2511.0,201.0,213.0,224.0,240.0,256.0,270.0,284.0,295.0,306.0
CROMER,7790.0,7832.0,7898.0,7979.0,8130.0,9027.0,9841.0,10610.0,11416.0,3642.0,3692.0,3674.0,3793.0,3995.0,4168.0,4329.0,4468.0,4636.0
CRONULLA,18933.0,19650.0,20181.0,20888.0,21605.0,22404.0,23212.0,23943.0,25105.0,5274.0,5618.0,5817.0,6219.0,6668.0,7059.0,7422.0,7721.0,8040.0
CROWS NEST,3627.0,3961.0,4591.0,5562.0,6487.0,6670.0,6938.0,7292.0,7688.0,6061.0,6440.0,6732.0,7165.0,7603.0,8049.0,8442.0,8767.0,9106.0
CROYDON,11031.0,11564.0,11981.0,12241.0,12702.0,14052.0,15147.0,15964.0,16902.0,3179.0,3356.0,3696.0,3926.0,4307.0,4647.0,4949.0,5234.0,5512.0
CROYDON PARK,12588.0,13172.0,13756.0,14378.0,15074.0,16226.0,17485.0,18927.0,19978.0,1492.0,1573.0,1734.0,1839.0,1980.0,2108.0,2222.0,2329.0,2435.0
CURL CURL,5785.0,5804.0,5820.0,5827.0,5838.0,5925.0,6007.0,6076.0,6203.0,1063.0,1120.0,1157.0,1250.0,1352.0,1445.0,1531.0,1606.0,1681.0
CURRANS HILL,5423.0,5697.0,6028.0,6102.0,6145.0,6160.0,6179.0,6195.0,6210.0,466.0,522.0,565.0,595.0,631.0,662.0,697.0,781.0,846.0
DACEYVILLE,1261.0,1298.0,1313.0,1320.0,1339.0,1359.0,1379.0,1401.0,1422.0,411.0,537.0,662.0,704.0,735.0,785.0,835.0,885.0,935.0
DANGAR ISLAND,304.0,308.0,310.0,310.0,312.0,320.0,328.0,336.0,353.0,39.0,40.0,40.0,41.0,43.0,45.0,47.0,49.0,51.0
DARLING POINT,5039.0,5047.0,5063.0,5094.0,5121.0,5314.0,5392.0,5482.0,5573.0,1005.0,1071.0,1106.0,1153.0,1209.0,1286.0,1325.0,1357.0,1394.0
DARLINGHURST,12242.0,12436.0,12563.0,13052.0,13560.0,14103.0,14668.0,15265.0,15906.0,14530.0,15299.0,15799.0,16880.0,17879.0,18978.0,20129.0,21234.0,22336.0
DARLINGTON,3672.0,3721.0,3738.0,3797.0,3839.0,3877.0,3915.0,3957.0,4000.0,2165.0,2435.0,2491.0,2681.0,2853.0,3027.0,3205.0,3373.0,3541.0
DAVIDSON,3884.0,3895.0,3905.0,3908.0,3911.0,3961.0,4007.0,4044.0,4119.0,645.0,690.0,710.0,765.0,825.0,880.0,931.0,976.0,1020.0
DAWES POINT,495.0,506.0,512.0,529.0,543.0,554.0,566.0,577.0,588.0,2441.0,2576.0,2680.0,2838.0,2990.0,3167.0,3333.0,3476.0,3633.0
DEAN PARK,3338.0,3429.0,3481.0,3515.0,3554.0,3585.0,3614.0,3637.0,3665.0,357.0,360.0,383.0,393.0,429.0,460.0,493.0,524.0,558.0
DEE WHY,22151.0,22412.0,22720.0,23145.0,23644.0,25568.0,27441.0,29167.0,30405.0,5591.0,5877.0,6092.0,6528.0,7023.0,7480.0,7887.0,8231.0,8579.0
DENHAM COURT,2060.0,3651.0,5063.0,5692.0,6048.0,6335.0,6615.0,6922.0,7233.0,223.0,314.0,869.0,948.0,1120.0,1302.0,1342.0,1459.0,1565.0
DENISTONE,5640.0,5888.0,6132.0,6381.0,6645.0,7428.0,8335.0,9371.0,9389.0,559.0,619.0,675.0,726.0,782.0,834.0,885.0,930.0,978.0
DENISTONE EAST,1614.0,1692.0,1754.0,1814.0,1875.0,2046.0,2250.0,2489.0,2490.0,246.0,282.0,308.0,330.0,354.0,376.0,398.0,417.0,438.0
DHARRUK,2831.0,2882.0,2911.0,2927.0,2950.0,3009.0,3097.0,3199.0,3340.0,233.0,251.0,260.0,271.0,289.0,304.0,320.0,334.0,347.0
DOONSIDE,13894.0,14394.0,14319.0,14121.0,14485.0,15249.0,16169.0,17131.0,18170.0,1472.0,1595.0,1624.0,1664.0,1791.0,1890.0,1994.0,2103.0,2179.0
DOUBLE BAY,5272.0,5345.0,5418.0,5534.0,5628.0,6427.0,6750.0,7118.0,7282.0,5014.0,5298.0,5441.0,5681.0,5942.0,6322.0,6500.0,6642.0,6797.0
DOUGLAS PARK,1408.0,1435.0,1401.0,1319.0,1210.0,1301.0,1644.0,2337.0,3035.0,632.0,794.0,1279.0,1472.0,1776.0,2123.0,2543.0,2574.0,2575.0
DOVER HEIGHTS,5064.0,5153.0,5182.0,5233.0,5364.0,5752.0,6095.0,6412.0,6734.0,791.0,854.0,882.0,936.0,1000.0,1069.0,1131.0,1184.0,1239.0
DRUMMOYNE,12612.0,13329.0,14446.0,14929.0,15199.0,15335.0,15495.0,15682.0,15897.0,4228.0,4708.0,5058.0,5353.0,5636.0,5964.0,6288.0,6578.0,6898.0
DULWICH HILL,14956.0,17327.0,18495.0,19303.0,20503.0,21411.0,22385.0,23416.0,24499.0,1944.0,2197.0,2428.0,2557.0,2751.0,2910.0,3068.0,3212.0,3344.0
DUNDAS,3623.0,3813.0,3977.0,4156.0,4342.0,4493.0,4644.0,4776.0,4900.0,95.0,102.0,117.0,127.0,137.0,148.0,160.0,170.0,179.0
DUNDAS VALLEY,4855.0,5140.0,5371.0,5620.0,5921.0,6153.0,6341.0,6527.0,6571.0,511.0,535.0,594.0,630.0,671.0,713.0,757.0,798.0,827.0
DURAL,6817.0,7011.0,7201.0,7334.0,7515.0,7721.0,8038.0,8424.0,8708.0,5048.0,5503.0,5533.0,5809.0,6201.0,6583.0,6975.0,7307.0,7659.0
EAGLE VALE,6330.0,6660.0,6865.0,6933.0,6982.0,7881.0,8914.0,10096.0,11290.0,866.0,897.0,889.0,887.0,887.0,927.0,950.0,1009.0,1078.0
EARLWOOD,18672.0,19027.0,19778.0,20571.0,21243.0,21671.0,22270.0,23213.0,24317.0,2226.0,2343.0,2630.0,2857.0,3085.0,3234.0,3385.0,3525.0,3693.0
EAST HILLS,2255.0,2363.0,2506.0,2639.0,2809.0,3026.0,3240.0,3473.0,3630.0,353.0,378.0,401.0,423.0,442.0,459.0,479.0,497.0,518.0
EAST KILLARA,3091.0,3118.0,3132.0,3140.0,3191.0,3295.0,3386.0,3514.0,3679.0,315.0,339.0,367.0,389.0,405.0,431.0,454.0,473.0,494.0
EAST KURRAJONG,1886.0,1889.0,1891.0,1911.0,1976.0,1976.0,1976.0,1976.0,1976.0,557.0,582.0,573.0,583.0,604.0,633.0,659.0,689.0,734.0
EAST LINDFIELD,4240.0,4289.0,4314.0,4329.0,4395.0,4528.0,4646.0,4817.0,5042.0,540.0,586.0,634.0,672.0,699.0,743.0,782.0,817.0,854.0
EAST RYDE,2185.0,2246.0,2308.0,2370.0,2436.0,2646.0,2880.0,3138.0,3147.0,487.0,525.0,584.0,630.0,681.0,729.0,777.0,824.0,874.0
EASTERN CREEK,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9141.0,11756.0,14555.0,16821.0,18284.0,19476.0,20717.0,21865.0,23388.0
EASTGARDENS,0.0,1226.0,1762.0,1926.0,2126.0,2126.0,2124.0,2124.0,2124.0,1690.0,2276.0,2453.0,2583.0,2680.0,2810.0,2938.0,3047.0,3154.0
EASTLAKES,9774.0,10768.0,11236.0,11393.0,11606.0,12303.0,13045.0,13825.0,14614.0,1709.0,1970.0,2126.0,2216.0,2291.0,2404.0,2513.0,2611.0,2713.0
EASTWOOD,18947.0,21678.0,23853.0,25217.0,26271.0,27818.0,29469.0,31166.0,32318.0,5880.0,6645.0,7226.0,7711.0,8235.0,8740.0,9223.0,9658.0,10116.0
EBENEZER,1702.0,1706.0,1706.0,1713.0,1736.0,1736.0,1736.0,1736.0,1735.0,332.0,346.0,341.0,347.0,360.0,377.0,393.0,410.0,436.0
EDENSOR PARK,10198.0,10407.0,10698.0,10969.0,11367.0,12143.0,13001.0,13928.0,14864.0,1172.0,1199.0,1225.0,1296.0,1370.0,1469.0,1536.0,1641.0,1755.0
EDGECLIFF,1569.0,1570.0,1571.0,1576.0,1580.0,1599.0,1605.0,1610.0,1635.0,1632.0,1720.0,1785.0,1872.0,1971.0,2108.0,2184.0,2246.0,2314.0
EDMONDSON PARK,2347.0,7965.0,10348.0,12882.0,13851.0,17116.0,21821.0,26611.0,35335.0,266.0,1395.0,2300.0,2573.0,3691.0,5277.0,5679.0,6154.0,6663.0
ELANORA HEIGHTS,3538.0,3589.0,3654.0,4168.0,4600.0,4872.0,5141.0,5380.0,5518.0,731.0,783.0,840.0,914.0,999.0,1067.0,1130.0,1184.0,1240.0
ELDERSLIE,6151.0,7093.0,8566.0,9122.0,9553.0,10750.0,11974.0,13165.0,14363.0,837.0,963.0,1067.0,1143.0,1235.0,1592.0,2001.0,2599.0,3129.0
ELIZABETH BAY,4263.0,4280.0,4288.0,4329.0,4375.0,4416.0,4457.0,4502.0,4550.0,1128.0,1197.0,1242.0,1318.0,1390.0,1474.0,1554.0,1623.0,1694.0
ELIZABETH HILLS,2630.0,3141.0,4557.0,5960.0,7554.0,9053.0,10288.0,11779.0,13730.0,492.0,703.0,911.0,995.0,1102.0,1079.0,1011.0,888.0,960.0
ELLIS LANE,2090.0,2202.0,2340.0,2486.0,2643.0,2768.0,2894.0,3015.0,3137.0,45.0,49.0,52.0,55.0,58.0,68.0,78.0,95.0,110.0
EMERTON,2310.0,2377.0,2456.0,2507.0,2565.0,2633.0,2729.0,2847.0,2861.0,634.0,651.0,638.0,667.0,713.0,751.0,790.0,826.0,860.0
EMU HEIGHTS,3371.0,3416.0,3457.0,3503.0,3551.0,4193.0,4826.0,5453.0,6085.0,285.0,310.0,332.0,362.0,388.0,411.0,433.0,465.0,502.0
EMU PLAINS,8623.0,8886.0,9225.0,9611.0,9931.0,11520.0,13110.0,14713.0,16328.0,4797.0,5183.0,5552.0,5949.0,6302.0,6627.0,6976.0,7488.0,8099.0
ENFIELD,2963.0,3247.0,3591.0,3934.0,4403.0,4667.0,4936.0,5249.0,5574.0,1171.0,1216.0,1321.0,1394.0,1525.0,1646.0,1750.0,1844.0,1940.0
ENGADINE,17424.0,17966.0,18307.0,18707.0,19241.0,20200.0,21152.0,22094.0,23258.0,3880.0,4261.0,4454.0,4743.0,5085.0,5381.0,5674.0,5935.0,6209.0
ENMORE,4125.0,4173.0,4229.0,4256.0,4289.0,4591.0,4927.0,5293.0,5625.0,849.0,1028.0,1120.0,1175.0,1252.0,1311.0,1365.0,1417.0,1469.0
EPPING,23432.0,28933.0,32466.0,35784.0,37888.0,40809.0,43112.0,44726.0,46850.0,5219.0,6044.0,6627.0,7149.0,7565.0,8055.0,8731.0,9276.0,9735.0
ERMINGTON,10984.0,12422.0,13297.0,14169.0,15033.0,15664.0,16343.0,16998.0,17731.0,1544.0,1634.0,1808.0,1916.0,2032.0,2159.0,2288.0,2408.0,2489.0
ERSKINE PARK,6669.0,6776.0,6927.0,7123.0,7316.0,8693.0,10060.0,11417.0,12786.0,6688.0,7708.0,8777.0,10116.0,10360.0,10914.0,11449.0,12099.0,12891.0
ERSKINEVILLE,8617.0,9449.0,9552.0,9839.0,10222.0,10614.0,11006.0,11418.0,11869.0,2259.0,2414.0,2470.0,2596.0,2702.0,2815.0,2932.0,3030.0,3121.0
ESCHOL PARK,2428.0,2484.0,2505.0,2514.0,2522.0,2798.0,3136.0,3531.0,3929.0,146.0,155.0,155.0,152.0,153.0,162.0,169.0,185.0,199.0
EVELEIGH,705.0,710.0,721.0,2113.0,3646.0,4541.0,5209.0,5775.0,6395.0,4290.0,6036.0,7341.0,8873.0,9973.0,10618.0,11109.0,11515.0,11974.0
FAIRFIELD,18434.0,19350.0,19989.0,20608.0,21629.0,23624.0,26085.0,28775.0,31490.0,6368.0,6670.0,6692.0,6820.0,6987.0,7205.0,7416.0,7872.0,8214.0
FAIRFIELD EAST,5004.0,5163.0,5361.0,5576.0,5819.0,6114.0,6463.0,6833.0,7206.0,4071.0,4236.0,4367.0,4453.0,4618.0,4782.0,4917.0,5104.0,5404.0
FAIRFIELD HEIGHTS,7801.0,7945.0,8239.0,8538.0,8925.0,9688.0,10514.0,11404.0,12302.0,940.0,975.0,1026.0,1113.0,1214.0,1320.0,1393.0,1492.0,1614.0
FAIRFIELD WEST,12001.0,12286.0,12561.0,12958.0,13500.0,13980.0,14268.0,14579.0,14892.0,1144.0,1221.0,1291.0,1410.0,1525.0,1662.0,1764.0,1874.0,2015.0
FAIRLIGHT,4412.0,4423.0,4450.0,4534.0,4633.0,4827.0,5023.0,5217.0,5413.0,554.0,578.0,603.0,644.0,690.0,734.0,773.0,807.0,842.0
FAULCONBRIDGE,4115.0,4134.0,4191.0,4199.0,4289.0,4461.0,4644.0,4841.0,4982.0,600.0,632.0,657.0,673.0,699.0,730.0,759.0,794.0,835.0
FIVE DOCK,10024.0,10384.0,11212.0,11865.0,13034.0,14668.0,16256.0,17847.0,19768.0,4828.0,5463.0,5909.0,6238.0,6583.0,6977.0,7388.0,7776.0,8156.0
FOREST LODGE,3603.0,3610.0,3615.0,3637.0,3657.0,3680.0,3707.0,3738.0,3770.0,207.0,218.0,224.0,240.0,255.0,270.0,288.0,304.0,316.0
FORESTVILLE,5532.0,5561.0,5583.0,5592.0,5613.0,5722.0,5826.0,5918.0,6059.0,626.0,665.0,693.0,747.0,807.0,861.0,911.0,951.0,991.0
FREEMANS REACH,1450.0,1455.0,1455.0,1460.0,1474.0,1474.0,1475.0,1476.0,1477.0,508.0,526.0,530.0,544.0,565.0,596.0,625.0,652.0,687.0
FRENCHS FOREST,13036.0,13154.0,14037.0,16147.0,18454.0,19807.0,21262.0,22851.0,24561.0,9241.0,10292.0,10530.0,11006.0,11674.0,12336.0,12906.0,13391.0,13909.0
FRESHWATER,3282.0,3339.0,3371.0,3385.0,3388.0,3428.0,3465.0,3495.0,3562.0,658.0,701.0,723.0,771.0,825.0,875.0,919.0,956.0,993.0
GALSTON,3239.0,3446.0,3518.0,3573.0,3672.0,3914.0,4161.0,4373.0,4601.0,1215.0,1306.0,1325.0,1401.0,1496.0,1599.0,1696.0,1780.0,1865.0
GEORGES HALL,10739.0,11093.0,11539.0,11911.0,12280.0,12764.0,13305.0,13908.0,14285.0,1401.0,1473.0,1565.0,1655.0,1737.0,1820.0,1910.0,1996.0,2097.0
GILEAD,276.0,538.0,2661.0,4883.0,8148.0,9086.0,9477.0,9686.0,9897.0,279.0,311.0,421.0,467.0,532.0,575.0,624.0,647.0,674.0
GIRRAWEEN,6840.0,7211.0,7420.0,7717.0,8092.0,8607.0,9136.0,9638.0,9780.0,5486.0,5838.0,6085.0,6355.0,6645.0,6889.0,7199.0,7528.0,7905.0
GLADESVILLE,11752.0,12405.0,13564.0,14201.0,14606.0,15292.0,16042.0,16861.0,17225.0,6158.0,6892.0,7375.0,7818.0,8324.0,8831.0,9298.0,9697.0,10123.0
GLEBE,14562.0,15073.0,15240.0,16066.0,16845.0,17532.0,18265.0,19015.0,19829.0,6202.0,6673.0,6875.0,7303.0,7734.0,8195.0,8660.0,9083.0,9460.0
GLEDSWOOD HILLS,1536.0,3852.0,6829.0,8342.0,8941.0,9289.0,9523.0,9663.0,9803.0,141.0,160.0,212.0,255.0,311.0,346.0,352.0,366.0,419.0
GLEN ALPINE,5967.0,6116.0,6450.0,6726.0,7110.0,8283.0,9712.0,11381.0,13063.0,441.0,458.0,495.0,520.0,548.0,568.0,582.0,615.0,647.0
GLENBROOK,5088.0,5107.0,5164.0,5173.0,5269.0,5409.0,5536.0,5672.0,5875.0,1158.0,1260.0,1305.0,1339.0,1386.0,1447.0,1500.0,1573.0,1655.0
GLENDENNING,5306.0,5357.0,5393.0,5419.0,5454.0,5538.0,5663.0,5809.0,6011.0,5878.0,6026.0,6006.0,6059.0,6495.0,6914.0,7364.0,7812.0,8342.0
GLENFIELD,9921.0,10522.0,12296.0,14028.0,16519.0,18567.0,19798.0,20659.0,21529.0,1614.0,1685.0,1838.0,1924.0,2044.0,2293.0,2518.0,2841.0,3162.0
GLENHAVEN,6501.0,6644.0,6724.0,6774.0,6890.0,7571.0,8433.0,9418.0,9806.0,1027.0,1139.0,1221.0,1322.0,1431.0,1528.0,1624.0,1726.0,1842.0
GLENMORE PARK,23780.0,25333.0,26141.0,27368.0,29382.0,29455.0,29497.0,29498.0,29450.0,1959.0,2161.0,2311.0,2493.0,2672.0,2852.0,3054.0,3318.0,3614.0
GLENORIE,2791.0,2936.0,2982.0,3006.0,3037.0,3144.0,3296.0,3479.0,3556.0,1058.0,1065.0,1065.0,1111.0,1173.0,1238.0,1309.0,1367.0,1431.0
GLENWOOD,16667.0,16796.0,16904.0,16979.0,17204.0,17863.0,18541.0,19144.0,19977.0,2020.0,2360.0,3022.0,3523.0,4052.0,4320.0,4481.0,4579.0,4850.0
GLOSSODIA,3494.0,3503.0,3509.0,3563.0,3741.0,3740.0,3740.0,3740.0,3740.0,635.0,655.0,663.0,677.0,703.0,739.0,771.0,805.0,851.0
GORDON,9303.0,10813.0,12376.0,14062.0,14934.0,16326.0,17786.0,19140.0,20112.0,4516.0,4857.0,5208.0,5479.0,5699.0,6035.0,6330.0,6593.0,6882.0
GRANVILLE,16102.0,18384.0,21234.0,24559.0,28264.0,29645.0,30445.0,31236.0,32070.0,5683.0,6094.0,6436.0,6758.0,7186.0,7617.0,8005.0,8349.0,8712.0
GRAYS POINT,3020.0,3045.0,3058.0,3069.0,3116.0,3278.0,3418.0,3521.0,3770.0,371.0,394.0,413.0,442.0,475.0,507.0,536.0,561.0,587.0
GREEN VALLEY,12993.0,13466.0,14332.0,14866.0,15118.0,14838.0,14877.0,15027.0,15878.0,1779.0,1967.0,2575.0,3112.0,3797.0,3800.0,3709.0,3556.0,3969.0
GREENACRE,24599.0,25684.0,26954.0,28016.0,29134.0,30562.0,32035.0,33562.0,34909.0,8361.0,8593.0,8922.0,9080.0,9344.0,9581.0,9861.0,10119.0,10451.0
GREENDALE,355.0,363.0,410.0,501.0,501.0,501.0,491.0,607.0,603.0,387.0,398.0,521.0,659.0,776.0,885.0,907.0,958.0,1141.0
GREENFIELD PARK,5275.0,5405.0,5394.0,5389.0,5389.0,6385.0,7500.0,8705.0,9922.0,568.0,607.0,626.0,648.0,677.0,760.0,825.0,897.0,983.0
GREENWICH,5611.0,6024.0,6348.0,6849.0,7496.0,7928.0,8250.0,8765.0,9262.0,1571.0,1596.0,1628.0,1681.0,1743.0,1798.0,1863.0,1925.0,1991.0
GREGORY HILLS,3395.0,5204.0,7760.0,9445.0,10158.0,10576.0,10860.0,11034.0,11207.0,859.0,1924.0,3330.0,4032.0,5074.0,6249.0,6790.0,7330.0,8222.0
GREYSTANES,22100.0,22875.0,23444.0,24338.0,25608.0,28422.0,31436.0,34295.0,35952.0,2813.0,3025.0,3279.0,3479.0,3702.0,3949.0,4193.0,4408.0,4622.0
GROSE WOLD,1559.0,1570.0,1570.0,1578.0,1605.0,1605.0,1605.0,1604.0,1604.0,470.0,514.0,528.0,545.0,572.0,608.0,640.0,678.0,726.0
GUILDFORD,22831.0,24393.0,25891.0,27651.0,29342.0,30637.0,31844.0,33009.0,34786.0,2321.0,2488.0,2681.0,2827.0,3000.0,3193.0,3388.0,3560.0,3735.0
GUILDFORD WEST,5016.0,5209.0,5329.0,5510.0,5763.0,6229.0,6721.0,7187.0,7311.0,820.0,871.0,914.0,953.0,1001.0,1055.0,1111.0,1163.0,1219.0
GYMEA,7324.0,7645.0,7958.0,8435.0,9041.0,9873.0,10696.0,11544.0,12109.0,2115.0,2234.0,2302.0,2463.0,2647.0,2809.0,2961.0,3092.0,3228.0
GYMEA BAY,7736.0,7857.0,7994.0,8212.0,8493.0,8892.0,9347.0,9863.0,10158.0,802.0,838.0,873.0,934.0,1006.0,1072.0,1134.0,1187.0,1242.0
HABERFIELD,6725.0,6733.0,6735.0,6737.0,6740.0,7278.0,7868.0,8226.0,8604.0,1778.0,1993.0,2218.0,2335.0,2514.0,2659.0,2801.0,2933.0,3054.0
HAMMONDVILLE,3595.0,3720.0,3858.0,3946.0,4024.0,4186.0,4381.0,4604.0,4742.0,1118.0,1190.0,1297.0,1405.0,1491.0,1649.0,1867.0,2129.0,2383.0
HARRINGTON PARK,10778.0,12037.0,12878.0,13301.0,13733.0,14123.0,14346.0,14493.0,14628.0,1115.0,1244.0,1341.0,1437.0,1551.0,1948.0,2400.0,3076.0,3628.0
HARRIS PARK,6411.0,6653.0,6934.0,7258.0,7548.0,7727.0,7894.0,8062.0,8213.0,1362.0,1446.0,1627.0,1766.0,1913.0,2028.0,2180.0,2330.0,2464.0
HASSALL GROVE,4632.0,4722.0,4768.0,4792.0,4799.0,4859.0,4953.0,5067.0,5223.0,379.0,400.0,411.0,427.0,457.0,483.0,511.0,538.0,564.0
HAYMARKET,7960.0,9460.0,9678.0,11404.0,13694.0,15657.0,17523.0,19385.0,21408.0,22969.0,25933.0,27704.0,29408.0,31471.0,33464.0,34905.0,36093.0,37344.0
HAZELBROOK,4860.0,4875.0,4928.0,4935.0,5017.0,5165.0,5327.0,5504.0,5620.0,697.0,722.0,752.0,773.0,804.0,834.0,862.0,900.0,942.0
HEATHCOTE,6681.0,6927.0,7063.0,7205.0,7376.0,7665.0,7955.0,8244.0,8618.0,1795.0,1955.0,2024.0,2140.0,2284.0,2413.0,2538.0,2651.0,2775.0
HEBERSHAM,5839.0,6020.0,6190.0,6304.0,6430.0,6528.0,6686.0,6879.0,7106.0,292.0,313.0,330.0,343.0,366.0,385.0,405.0,425.0,443.0
HECKENBERG,3213.0,3313.0,3407.0,3446.0,3460.0,3470.0,3533.0,3616.0,3783.0,189.0,222.0,328.0,421.0,530.0,593.0,627.0,664.0,751.0
HILLSDALE,6636.0,7346.0,7925.0,8318.0,8870.0,9001.0,9144.0,9299.0,9455.0,1311.0,1446.0,1534.0,1591.0,1640.0,1709.0,1776.0,1834.0,1895.0
HINCHINBROOK,12823.0,13230.0,14456.0,15150.0,15544.0,15864.0,16811.0,17934.0,19600.0,1265.0,1465.0,1957.0,2348.0,2803.0,2969.0,2986.0,2998.0,3369.0
HOBARTVILLE,3576.0,3615.0,3659.0,3716.0,3768.0,4200.0,4632.0,5100.0,5572.0,252.0,268.0,275.0,281.0,290.0,308.0,324.0,341.0,361.0
HOLROYD,1339.0,1356.0,1360.0,1364.0,1369.0,1370.0,1370.0,1370.0,1527.0,445.0,468.0,482.0,495.0,515.0,537.0,559.0,580.0,602.0
