Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
WINDSOR DOWNS,Hawkesbury (C),521,1220.0,1279.0,183.0,247.0
WINMALEE,Blue Mountains (C),731,3316.0,3889.0,936.0,1191.0
WINSTON HILLS,Parramatta (C),1115,12507.0,17182.0,3076.0,4921.0
WOLLI CREEK,Rockdale (C),1214,6570.0,24243.0,1161.0,3328.0
WOLLSTONECRAFT,North Sydney (A),4,8462.0,15038.0,2802.0,4676.0
WOMERAH,Hawkesbury (C),242,1187.0,1255.0,371.0,527.0
WOODBINE,Campbelltown (C) (NSW),309,2817.0,5507.0,247.0,354.0
WOODCROFT,Blacktown (C),872,6655.0,7025.0,548.0,711.0
WOODFORD,Blue Mountains (C),1076,1993.0,2264.0,126.0,183.0
WOOLLAHRA,Woollahra (A),1074,8057.0,8677.0,3327.0,4559.0
WOOLLOOMOOLOO,Sydney (C),1215,4784.0,5872.0,4472.0,6441.0
WOOLOOWARE,Sutherland Shire (A),1331,4544.0,9030.0,1287.0,2382.0
WOOLWICH,Hunters Hill (A),31,844.0,998.0,450.0,672.0
WORONORA HEIGHTS,Sutherland Shire (A),1019,3764.0,4528.0,282.0,435.0
YAGOONA,Canterbury-Bankstown (A),551,18375.0,30108.0,1972.0,2764.0
YARRAWARRAH,Sutherland Shire (A),1057,3182.0,3971.0,413.0,669.0
YELLOW ROCK,Blue Mountains (C),527,1487.0,1646.0,332.0,381.0
YENNORA,Cumberland (A),915,14.0,14.0,3714.0,4274.0
YOWIE BAY,Sutherland Shire (A),336,2798.0,3527.0,341.0,509.0
ZETLAND,Sydney (C),126,10706.0,22180.0,3396.0,11614.0
