Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
BELL,Blue Mountains (C),1277,49.0,54.0,17.0,22.0
BELLA VISTA,The Hills Shire (A),1281,9517.0,26800.0,15849.0,34999.0
BELLEVUE HILL,Woollahra (A),393,10213.0,12033.0,1445.0,2026.0
BELMORE,Canterbury-Bankstown (A),859,13287.0,27244.0,3500.0,5450.0
BELROSE,Northern Beaches (A),156,6151.0,8000.0,6142.0,8116.0
BERALA,Cumberland (A),453,9280.0,11290.0,1152.0,1811.0
BERKSHIRE PARK,Penrith (C),281,2209.0,3406.0,944.0,1675.0
BEROWRA,Hornsby (A),201,5021.0,7417.0,648.0,1049.0
BEROWRA HEIGHTS,Hornsby (A),617,5243.0,8108.0,790.0,1214.0
BEVERLEY PARK,Georges River (A),956,3048.0,4021.0,930.0,1491.0
BEVERLY HILLS,Canterbury-Bankstown (A),466,917.0,1186.0,125.0,197.0
BEVERLY HILLS,Georges River (A),467,11052.0,16110.0,1753.0,2745.0
BEXLEY,Rockdale (C),1069,20686.0,26545.0,3219.0,5599.0
BEXLEY NORTH,Rockdale (C),734,4373.0,5905.0,629.0,1073.0
BICKLEY VALE,Camden (A),135,948.0,990.0,985.0,2887.0
BIDWILL,Blacktown (C),724,4398.0,5910.0,344.0,564.0
BILGOLA BEACH,Northern Beaches (A),596,2183.0,2860.0,441.0,719.0
BILGOLA PLATEAU,Northern Beaches (A),1110,1235.0,1682.0,220.0,385.0
BILPIN,Hawkesbury (C),472,1089.0,1114.0,172.0,237.0
BIRCHGROVE,Inner West (A),754,3396.0,3590.0,489.0,772.0
BIRRONG,Canterbury-Bankstown (A),1193,3236.0,5320.0,534.0,769.0
BLACKETT,Blacktown (C),354,3570.0,4292.0,161.0,231.0
BLACKHEATH,Blue Mountains (C),683,0.0,0.0,0.0,0.0
BLACKHEATH,Blue Mountains (C),869,1932.0,2382.0,239.0,349.0
BLACKTOWN,Blacktown (C),634,48620.0,83017.0,22094.0,37896.0
BLAIR ATHOL,Campbelltown (C) (NSW),243,1816.0,2248.0,4.0,5.0
BLAIRMOUNT,Campbelltown (C) (NSW),856,591.0,971.0,212.0,286.0
BLAKEHURST,Georges River (A),661,6149.0,7080.0,1014.0,1592.0
BLAXLAND,Blue Mountains (C),524,7760.0,9290.0,1877.0,2545.0
BLIGH PARK,Hawkesbury (C),357,6539.0,9203.0,563.0,775.0
BLUE MOUNTAINS NATIONAL PARK,Blue Mountains (C),1201,13.0,14.0,51.0,57.0
BLUE MOUNTAINS NATIONAL PARK,Wollondilly (A),54,4.0,4.0,23.0,90.0
BONDI,Waverley (A),1305,9123.0,12592.0,1817.0,2760.0
BONDI BEACH,Waverley (A),1000,10741.0,15087.0,2912.0,4305.0
BONDI JUNCTION,Waverley (A),1303,10114.0,15328.0,15144.0,22226.0
BONNET BAY,Sutherland Shire (A),1325,2190.0,2588.0,196.0,325.0
BONNYRIGG,Fairfield (C),814,8980.0,18170.0,1784.0,2621.0
BONNYRIGG HEIGHTS,Fairfield (C),1052,7579.0,10554.0,784.0,1284.0
BOSSLEY PARK,Fairfield (C),818,13200.0,20237.0,1446.0,2327.0
BOTANY,Botany Bay (C),1295,11281.0,22320.0,8806.0,12160.0
BOW BOWING,Campbelltown (C) (NSW),936,3321.0,5839.0,145.0,233.0
BOWEN MOUNTAIN,Hawkesbury (C),34,3356.0,4461.0,287.0,442.0
BOX HILL,The Hills Shire (A),246,980.0,34302.0,511.0,15130.0
BRADBURY,Campbelltown (C) (NSW),264,9069.0,14553.0,928.0,1350.0
BREAKFAST POINT,Canada Bay (A),599,4746.0,11785.0,1148.0,1807.0
BRIGHTON-LE-SANDS,Rockdale (C),812,9129.0,11367.0,1885.0,3088.0
BRINGELLY,Camden (A),632,547.0,12912.0,202.0,2365.0
BRINGELLY,Liverpool (C),633,2022.0,25093.0,524.0,18509.0
BRONTE,Waverley (A),772,7392.0,9223.0,1477.0,2311.0
BROOKLYN,Hornsby (A),684,752.0,977.0,283.0,388.0
BROOKVALE,Northern Beaches (A),100,3401.0,5824.0,16471.0,21173.0
BULLABURRA,Blue Mountains (C),239,1271.0,1504.0,106.0,139.0
BUNDEENA,Sutherland Shire (A),1242,2035.0,2497.0,366.0,560.0
BUNGARRIBEE,Blacktown (C),518,2732.0,4275.0,567.0,810.0
BURRANEER,Sutherland Shire (A),787,3519.0,4477.0,661.0,1036.0
BURWOOD,Burwood (A),183,17223.0,40075.0,12822.0,20430.0
BUSBY,Liverpool (C),33,4427.0,7694.0,281.0,1064.0
BUXTON,Wollondilly (A),844,2088.0,2253.0,151.0,274.0
CABARITA,Canada Bay (A),1045,2808.0,3166.0,312.0,515.0
CABRAMATTA,Fairfield (C),816,22830.0,33284.0,6101.0,9378.0
CABRAMATTA WEST,Fairfield (C),306,7441.0,8728.0,633.0,763.0
CADDENS,Penrith (C),564,1514.0,4859.0,1651.0,3354.0
CAMBRIDGE GARDENS,Penrith (C),875,2072.0,3906.0,447.0,708.0
CAMBRIDGE PARK,Penrith (C),659,6805.0,12744.0,516.0,971.0
CAMDEN,Camden (A),163,3293.0,6333.0,4289.0,11495.0
CAMDEN PARK,Wollondilly (A),1153,2288.0,2575.0,99.0,179.0
CAMDEN SOUTH,Camden (A),949,4655.0,6833.0,510.0,1207.0
CAMELLIA,Parramatta (C),1070,1.0,2646.0,615.0,1323.0
CAMMERAY,North Sydney (A),776,8364.0,11552.0,1871.0,2867.0
CAMPBELLTOWN,Campbelltown (C) (NSW),475,14045.0,30609.0,19198.0,34240.0
CAMPERDOWN,Inner West (A),1025,3288.0,6827.0,989.0,1518.0
CAMPERDOWN,Sydney (C),1026,6158.0,8714.0,16322.0,25770.0
CAMPSIE,Canterbury-Bankstown (A),313,23296.0,54294.0,6676.0,11674.0
