"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10019376,7,44,121,196,287,365,507,593,0,680,1756,2235
10019377,3,16,52,111,212,321,456,604,0,763,1053,1365
10019378,0,13,55,141,224,335,512,782,0,1048,1283,1625
10019379,21,71,164,245,328,393,499,587,0,676,1734,1961
10019380,9,50,125,203,295,368,502,584,0,727,1734,2006
10019381,19,64,154,237,317,395,511,592,0,691,1240,1982
10019382,4,20,68,149,246,348,494,665,0,897,1190,1461
10019383,0,11,50,141,235,339,482,690,0,934,1237,1489
10019384,2,22,85,159,260,360,506,685,0,954,1241,1505
10019385,10,40,103,166,245,333,824,1389,0,2460,2908,4426
10019386,2,45,117,188,278,359,454,570,0,1568,1747,3036
10019387,5,30,81,152,241,358,508,603,0,735,982,2228
10019388,10,33,77,155,249,377,495,599,0,734,972,1864
10019389,5,23,66,137,239,352,503,606,0,761,1004,1755
10019390,2,12,47,105,191,310,493,782,0,1074,1254,1379
10019391,0,12,53,101,177,298,512,813,0,1072,1236,1346
10019392,13,42,102,170,244,356,821,1417,0,2529,3068,4548
10019393,9,38,95,169,258,388,507,603,0,736,969,2195
10019394,0,4,36,135,218,319,488,743,0,1008,1269,1451
10019395,0,16,55,123,255,533,2006,6507,0,11744,31610,39128
10019396,0,8,46,123,268,1082,2672,9700,0,16918,35561,43076
10019397,8,39,102,166,248,337,476,1384,0,1805,2907,4091
10019398,0,4,28,102,244,383,684,2108,0,5802,10113,18455
10019399,0,4,49,112,204,421,1533,2636,0,10145,16477,34803
10019400,0,11,39,93,216,352,475,653,0,895,1179,1387
10019401,0,1,39,124,226,396,848,2200,0,6489,10394,32546
10019402,1,27,93,155,242,330,416,537,0,1073,1904,2980
10019403,3,32,104,174,263,352,476,590,0,752,1755,2982
10019404,3,28,97,168,255,351,475,596,0,735,1828,2367
10019405,12,47,120,194,277,377,504,603,0,711,1307,2118
10019406,1,12,48,98,224,359,472,599,0,795,1077,1349
10019407,3,49,119,189,280,368,442,931,0,1556,2595,3208
10019408,13,48,117,196,282,363,499,596,0,682,901,2014
10019409,0,4,48,117,208,329,512,806,0,1099,1279,1408
10019410,4,37,101,162,249,333,424,915,0,1514,2043,3173
10019411,3,11,38,87,203,331,445,605,0,797,1105,1359
10019412,0,9,41,117,225,343,474,683,0,912,1216,1447
10019413,2,47,120,186,277,367,447,574,0,1558,1972,3053
10019414,0,29,95,159,255,339,431,529,0,1554,1921,3034
10019415,12,44,115,187,266,384,515,623,2,735,998,2173
10019416,16,48,107,169,246,336,478,1391,0,2413,2935,4274
10019417,2,8,36,117,208,310,517,807,0,1096,1281,1409
10019418,2,10,46,109,199,312,511,800,0,1090,1267,1391
10019419,2,8,25,67,163,280,393,511,0,692,943,1239
10019420,0,0,10,54,184,438,1797,2842,0,10841,17937,36945
10019421,0,0,8,40,151,377,1141,2282,0,7141,12793,33676
10019422,0,6,27,71,152,281,440,625,0,799,1992,2295
10019423,0,2,14,58,186,423,1183,2340,0,7149,12091,33848
10019424,0,12,60,143,301,1119,2739,9915,0,17270,36185,43273
10019425,0,18,78,148,327,1047,2792,9857,0,16822,35773,43479
10019426,0,2,32,124,284,1015,2711,9942,0,17187,35966,43028
10019427,0,4,31,112,273,1098,2645,9873,0,17164,35502,43228
