Area,Data type,Year,Number,Unnamed: 4,LGA
Chinatown - CBD South,Total Population,2026,32754,,City of Sydney
Chinatown - CBD South,Total Population,2027,33459,,City of Sydney
Chinatown - CBD South,Total Population,2028,34004,,City of Sydney
Chinatown - CBD South,Total Population,2029,34566,,City of Sydney
Chinatown - CBD South,Total Population,2030,35019,,City of Sydney
Chinatown - CBD South,Total Population,2031,35479,,City of Sydney
Chinatown - CBD South,Total Population,2032,35893,,City of Sydney
Chinatown - CBD South,Total Population,2033,36310,,City of Sydney
Chinatown - CBD South,Total Population,2034,36731,,City of Sydney
Chinatown - CBD South,Total Population,2035,37160,,City of Sydney
Chinatown - CBD South,Total Population,2036,37593,,City of Sydney
Chinatown - CBD South,Total Population,2037,37974,,City of Sydney
Chinatown - CBD South,Total Population,2038,38360,,City of Sydney
Chinatown - CBD South,Total Population,2039,38751,,City of Sydney
Chinatown - CBD South,Total Population,2040,39144,,City of Sydney
Chinatown - CBD South,Total Population,2041,39541,,City of Sydney
Crown - Baptist Streets,Total Population,2016,22996,,City of Sydney
Crown - Baptist Streets,Total Population,2017,23533,,City of Sydney
Crown - Baptist Streets,Total Population,2018,23657,,City of Sydney
Crown - Baptist Streets,Total Population,2019,23827,,City of Sydney
Crown - Baptist Streets,Total Population,2020,23972,,City of Sydney
Crown - Baptist Streets,Total Population,2021,24166,,City of Sydney
Crown - Baptist Streets,Total Population,2022,24476,,City of Sydney
Crown - Baptist Streets,Total Population,2023,25003,,City of Sydney
Crown - Baptist Streets,Total Population,2024,25385,,City of Sydney
Crown - Baptist Streets,Total Population,2025,25723,,City of Sydney
Crown - Baptist Streets,Total Population,2026,26228,,City of Sydney
Crown - Baptist Streets,Total Population,2027,26575,,City of Sydney
Crown - Baptist Streets,Total Population,2028,26932,,City of Sydney
Crown - Baptist Streets,Total Population,2029,27398,,City of Sydney
Crown - Baptist Streets,Total Population,2030,27606,,City of Sydney
Crown - Baptist Streets,Total Population,2031,27817,,City of Sydney
Crown - Baptist Streets,Total Population,2032,28029,,City of Sydney
Crown - Baptist Streets,Total Population,2033,28240,,City of Sydney
Crown - Baptist Streets,Total Population,2034,28453,,City of Sydney
Crown - Baptist Streets,Total Population,2035,28668,,City of Sydney
Crown - Baptist Streets,Total Population,2036,28883,,City of Sydney
Crown - Baptist Streets,Total Population,2037,29098,,City of Sydney
Crown - Baptist Streets,Total Population,2038,29314,,City of Sydney
Crown - Baptist Streets,Total Population,2039,29532,,City of Sydney
Crown - Baptist Streets,Total Population,2040,29749,,City of Sydney
Crown - Baptist Streets,Total Population,2041,29968,,City of Sydney
Glebe Point Road,Total Population,2016,24117,,City of Sydney
Glebe Point Road,Total Population,2017,25286,,City of Sydney
Glebe Point Road,Total Population,2018,25776,,City of Sydney
Glebe Point Road,Total Population,2019,26082,,City of Sydney
Glebe Point Road,Total Population,2020,26897,,City of Sydney
Glebe Point Road,Total Population,2021,27241,,City of Sydney
Glebe Point Road,Total Population,2022,27221,,City of Sydney
Glebe Point Road,Total Population,2023,27282,,City of Sydney
Glebe Point Road,Total Population,2024,27247,,City of Sydney
Glebe Point Road,Total Population,2025,27292,,City of Sydney
Glebe Point Road,Total Population,2026,27313,,City of Sydney
Glebe Point Road,Total Population,2027,27330,,City of Sydney
Glebe Point Road,Total Population,2028,27346,,City of Sydney
Glebe Point Road,Total Population,2029,27365,,City of Sydney
Glebe Point Road,Total Population,2030,27382,,City of Sydney
Glebe Point Road,Total Population,2031,27399,,City of Sydney
Glebe Point Road,Total Population,2032,27424,,City of Sydney
Glebe Point Road,Total Population,2033,27473,,City of Sydney
Glebe Point Road,Total Population,2034,27519,,City of Sydney
Glebe Point Road,Total Population,2035,27544,,City of Sydney
Glebe Point Road,Total Population,2036,27572,,City of Sydney
Glebe Point Road,Total Population,2037,27601,,City of Sydney
Glebe Point Road,Total Population,2038,27631,,City of Sydney
Glebe Point Road,Total Population,2039,27661,,City of Sydney
Glebe Point Road,Total Population,2040,27693,,City of Sydney
Glebe Point Road,Total Population,2041,27725,,City of Sydney
Green Square - City South,Total Population,2016,32672,,City of Sydney
Green Square - City South,Total Population,2017,35244,,City of Sydney
Green Square - City South,Total Population,2018,38909,,City of Sydney
Green Square - City South,Total Population,2019,43731,,City of Sydney
Green Square - City South,Total Population,2020,48253,,City of Sydney
Green Square - City South,Total Population,2021,51930,,City of Sydney
Green Square - City South,Total Population,2022,54859,,City of Sydney
Green Square - City South,Total Population,2023,57325,,City of Sydney
Green Square - City South,Total Population,2024,59515,,City of Sydney
Green Square - City South,Total Population,2025,61318,,City of Sydney
Green Square - City South,Total Population,2026,63050,,City of Sydney
Green Square - City South,Total Population,2027,64701,,City of Sydney
Green Square - City South,Total Population,2028,66267,,City of Sydney
Green Square - City South,Total Population,2029,67810,,City of Sydney
Green Square - City South,Total Population,2030,69321,,City of Sydney
Green Square - City South,Total Population,2031,70740,,City of Sydney
Green Square - City South,Total Population,2032,71977,,City of Sydney
Green Square - City South,Total Population,2033,73419,,City of Sydney
Green Square - City South,Total Population,2034,74709,,City of Sydney
Green Square - City South,Total Population,2035,75983,,City of Sydney
Green Square - City South,Total Population,2036,77124,,City of Sydney
Green Square - City South,Total Population,2037,78162,,City of Sydney
Green Square - City South,Total Population,2038,79209,,City of Sydney
Green Square - City South,Total Population,2039,80227,,City of Sydney
Green Square - City South,Total Population,2040,81177,,City of Sydney
Green Square - City South,Total Population,2041,82135,,City of Sydney
Harris Street,Total Population,2016,20036,,City of Sydney
Harris Street,Total Population,2017,20066,,City of Sydney
Harris Street,Total Population,2018,20352,,City of Sydney
Harris Street,Total Population,2019,20327,,City of Sydney
Harris Street,Total Population,2020,20532,,City of Sydney
Harris Street,Total Population,2021,20708,,City of Sydney
Harris Street,Total Population,2022,20937,,City of Sydney
Harris Street,Total Population,2023,21062,,City of Sydney
Harris Street,Total Population,2024,21177,,City of Sydney
Harris Street,Total Population,2025,21415,,City of Sydney
Harris Street,Total Population,2026,21712,,City of Sydney
Harris Street,Total Population,2027,22146,,City of Sydney
Harris Street,Total Population,2028,22576,,City of Sydney
Harris Street,Total Population,2029,23090,,City of Sydney
Harris Street,Total Population,2030,23446,,City of Sydney
Harris Street,Total Population,2031,23804,,City of Sydney
Harris Street,Total Population,2032,24166,,City of Sydney
Harris Street,Total Population,2033,24240,,City of Sydney
Harris Street,Total Population,2034,24376,,City of Sydney
Harris Street,Total Population,2035,24462,,City of Sydney
Harris Street,Total Population,2036,24550,,City of Sydney
Harris Street,Total Population,2037,24686,,City of Sydney
Harris Street,Total Population,2038,24735,,City of Sydney
Harris Street,Total Population,2039,24787,,City of Sydney
Harris Street,Total Population,2040,24839,,City of Sydney
Harris Street,Total Population,2041,24893,,City of Sydney
King Street,Total Population,2016,21878,,City of Sydney
King Street,Total Population,2017,22479,,City of Sydney
King Street,Total Population,2018,23416,,City of Sydney
King Street,Total Population,2019,23952,,City of Sydney
King Street,Total Population,2020,24226,,City of Sydney
King Street,Total Population,2021,24663,,City of Sydney
King Street,Total Population,2022,25226,,City of Sydney
King Street,Total Population,2023,25362,,City of Sydney
King Street,Total Population,2024,26132,,City of Sydney
King Street,Total Population,2025,26570,,City of Sydney
King Street,Total Population,2026,26897,,City of Sydney
King Street,Total Population,2027,27556,,City of Sydney
King Street,Total Population,2028,27837,,City of Sydney
King Street,Total Population,2029,28116,,City of Sydney
King Street,Total Population,2030,28397,,City of Sydney
King Street,Total Population,2031,28673,,City of Sydney
King Street,Total Population,2032,28953,,City of Sydney
King Street,Total Population,2033,29328,,City of Sydney
King Street,Total Population,2034,29613,,City of Sydney
King Street,Total Population,2035,30277,,City of Sydney
King Street,Total Population,2036,30564,,City of Sydney
King Street,Total Population,2037,30858,,City of Sydney
King Street,Total Population,2038,31154,,City of Sydney
King Street,Total Population,2039,31448,,City of Sydney
King Street,Total Population,2040,31745,,City of Sydney
King Street,Total Population,2041,32040,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2016,22805,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2017,23381,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2018,23259,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2019,23198,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2020,23083,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2021,22961,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2022,22999,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2023,23072,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2024,23145,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2025,23239,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2026,23374,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2027,23415,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2028,23456,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2029,23498,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2030,23540,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2031,23583,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2032,23627,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2033,23670,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2034,23714,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2035,23758,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2036,23802,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2037,23854,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2038,23906,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2039,23959,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2040,24011,,City of Sydney
Macleay Street - Woolloomooloo,Total Population,2041,24064,,City of Sydney
Oxford Street,Total Population,2016,20253,,City of Sydney
Oxford Street,Total Population,2017,20630,,City of Sydney
Oxford Street,Total Population,2018,20638,,City of Sydney
Oxford Street,Total Population,2019,20682,,City of Sydney
Oxford Street,Total Population,2020,20661,,City of Sydney
Oxford Street,Total Population,2021,20611,,City of Sydney
Oxford Street,Total Population,2022,20567,,City of Sydney
Oxford Street,Total Population,2023,20547,,City of Sydney
Oxford Street,Total Population,2024,20502,,City of Sydney
Oxford Street,Total Population,2025,20467,,City of Sydney
Oxford Street,Total Population,2026,20421,,City of Sydney
Oxford Street,Total Population,2027,20489,,City of Sydney
Oxford Street,Total Population,2028,20548,,City of Sydney
Oxford Street,Total Population,2029,20658,,City of Sydney
Oxford Street,Total Population,2030,20719,,City of Sydney
Oxford Street,Total Population,2031,20782,,City of Sydney
Oxford Street,Total Population,2032,20845,,City of Sydney
Oxford Street,Total Population,2033,20908,,City of Sydney
Oxford Street,Total Population,2034,20972,,City of Sydney
Oxford Street,Total Population,2035,21037,,City of Sydney
Oxford Street,Total Population,2036,21102,,City of Sydney
Oxford Street,Total Population,2037,21168,,City of Sydney
Oxford Street,Total Population,2038,21232,,City of Sydney
Oxford Street,Total Population,2039,21296,,City of Sydney
Oxford Street,Total Population,2040,21361,,City of Sydney
Oxford Street,Total Population,2041,21426,,City of Sydney
Redfern Street,Total Population,2016,29485,,City of Sydney
Redfern Street,Total Population,2017,30117,,City of Sydney
Redfern Street,Total Population,2018,31094,,City of Sydney
Redfern Street,Total Population,2019,32222,,City of Sydney
Redfern Street,Total Population,2020,33144,,City of Sydney
Redfern Street,Total Population,2021,34040,,City of Sydney
Redfern Street,Total Population,2022,35468,,City of Sydney
Redfern Street,Total Population,2023,37256,,City of Sydney
Redfern Street,Total Population,2024,38566,,City of Sydney
Redfern Street,Total Population,2025,40468,,City of Sydney
Redfern Street,Total Population,2026,41739,,City of Sydney
Redfern Street,Total Population,2027,42654,,City of Sydney
Redfern Street,Total Population,2028,43462,,City of Sydney
Redfern Street,Total Population,2029,44284,,City of Sydney
Redfern Street,Total Population,2030,45195,,City of Sydney
Redfern Street,Total Population,2031,45815,,City of Sydney
Redfern Street,Total Population,2032,46475,,City of Sydney
Redfern Street,Total Population,2033,47105,,City of Sydney
Redfern Street,Total Population,2034,47736,,City of Sydney
Redfern Street,Total Population,2035,48315,,City of Sydney
Redfern Street,Total Population,2036,48949,,City of Sydney
Redfern Street,Total Population,2037,49645,,City of Sydney
Redfern Street,Total Population,2038,50334,,City of Sydney
Redfern Street,Total Population,2039,51015,,City of Sydney
Redfern Street,Total Population,2040,51691,,City of Sydney
Redfern Street,Total Population,2041,52342,,City of Sydney
Green Square Renewal Area,Total Population,2016,26599,,City of Sydney
Green Square Renewal Area,Total Population,2017,28913,,City of Sydney
Green Square Renewal Area,Total Population,2018,32470,,City of Sydney
Green Square Renewal Area,Total Population,2019,37296,,City of Sydney
Green Square Renewal Area,Total Population,2020,41530,,City of Sydney
Green Square Renewal Area,Total Population,2021,44535,,City of Sydney
Green Square Renewal Area,Total Population,2022,46932,,City of Sydney
Green Square Renewal Area,Total Population,2023,49164,,City of Sydney
Green Square Renewal Area,Total Population,2024,51281,,City of Sydney
Green Square Renewal Area,Total Population,2025,53148,,City of Sydney
Green Square Renewal Area,Total Population,2026,54943,,City of Sydney
Green Square Renewal Area,Total Population,2027,56625,,City of Sydney
Green Square Renewal Area,Total Population,2028,58223,,City of Sydney
Green Square Renewal Area,Total Population,2029,59798,,City of Sydney
Green Square Renewal Area,Total Population,2030,61318,,City of Sydney
Green Square Renewal Area,Total Population,2031,62744,,City of Sydney
Green Square Renewal Area,Total Population,2032,63986,,City of Sydney
Green Square Renewal Area,Total Population,2033,65435,,City of Sydney
Green Square Renewal Area,Total Population,2034,66731,,City of Sydney
Green Square Renewal Area,Total Population,2035,68009,,City of Sydney
Green Square Renewal Area,Total Population,2036,69152,,City of Sydney
Green Square Renewal Area,Total Population,2037,70197,,City of Sydney
Green Square Renewal Area,Total Population,2038,71250,,City of Sydney
Green Square Renewal Area,Total Population,2039,72272,,City of Sydney
Green Square Renewal Area,Total Population,2040,73226,,City of Sydney
Green Square Renewal Area,Total Population,2041,74188,,City of Sydney
Redfern Waterloo,Total Population,2016,34091,,City of Sydney
Redfern Waterloo,Total Population,2017,34850,,City of Sydney
Redfern Waterloo,Total Population,2018,36684,,City of Sydney
Redfern Waterloo,Total Population,2019,37881,,City of Sydney
Redfern Waterloo,Total Population,2020,39978,,City of Sydney
Redfern Waterloo,Total Population,2021,41347,,City of Sydney
Redfern Waterloo,Total Population,2022,43365,,City of Sydney
Redfern Waterloo,Total Population,2023,45883,,City of Sydney
Redfern Waterloo,Total Population,2024,47920,,City of Sydney
Redfern Waterloo,Total Population,2025,50275,,City of Sydney
Redfern Waterloo,Total Population,2026,52154,,City of Sydney
Redfern Waterloo,Total Population,2027,53640,,City of Sydney
Redfern Waterloo,Total Population,2028,55037,,City of Sydney
Redfern Waterloo,Total Population,2029,56480,,City of Sydney
Redfern Waterloo,Total Population,2030,57951,,City of Sydney
Redfern Waterloo,Total Population,2031,59152,,City of Sydney
Redfern Waterloo,Total Population,2032,60323,,City of Sydney
Redfern Waterloo,Total Population,2033,61462,,City of Sydney
Redfern Waterloo,Total Population,2034,62584,,City of Sydney
Redfern Waterloo,Total Population,2035,63630,,City of Sydney
Redfern Waterloo,Total Population,2036,64681,,City of Sydney
Redfern Waterloo,Total Population,2037,65724,,City of Sydney
Redfern Waterloo,Total Population,2038,66762,,City of Sydney
Redfern Waterloo,Total Population,2039,67755,,City of Sydney
Redfern Waterloo,Total Population,2040,68669,,City of Sydney
Redfern Waterloo,Total Population,2041,69561,,City of Sydney
