TZ16_CODE,TZ16_NAME,Tz16_Area
"5364",Point Clare_Fagan Park,2078420.55070000002
"5365",Point Clare Station,1251239.75420000008
"5366",Tascott Station,2125363.43510999996
"5367",Koolewong Station,1319843.03515999997
"5370",Saratoga Ferry Wharf,3152075.30733000021
"5371",Davistown Ferry Wharf Lintern St,1607349.01974999998
"5374",Terrigal_North,2526674.00453000003
"5375",Our Lady Of The Sea Catholic Primary School,1053257.70907000010
"5376",Terrigal_South,1682303.08911000006
"5377",Terrigal Beach,2154508.52001000009
"5378",North Avoca Beach,2671209.97102000006
"5381",Brisbane Water Secondary College Umina Campus,1534935.30975000001
"5382",Umina Beach_Barrenjoey Rd,986917.45508800005
"5383",Ettalong Markets Ettalong Beach,1418313.32544000004
"5384",Umina Beach_Bapaume Av,1291726.53896000003
"5385",Umina Beach_Ocean Beach Rd,1247263.42604999989
"5386",Ocean Beach,933480.83969000005
"5387",Umina Beach_Ocean Beach Holiday Park,1829652.71335999994
"5388",Pearl Beach,15939254.49400000088
"5391",Wamberal Gallery Wamberal,6376506.44706000015
"5392",Forresters Beach,3814029.41140000010
"5393",Wamberal Beach,3506472.98597999988
"5396",Phegans Bay,10357810.17070000060
"5397",Woy Woy Station,1404080.38433000003
"5398",Brisbane Waters Private Hospital,1566803.85436000000
"5399",Everglades Golf Course,2562392.68966000015
"5400",Blackwall,1499220.35161000001
"5403",Narara Station_East,530902.02566199994
"5404",Wyoming,1601615.84419000009
"5405",Wyoming Shopping Village,4111676.25498000020
"5406",North Gosford Industrial Area,2121533.29737999989
"5100",Killarney Vale_West,1220449.18842000002
"5101",Tuggerah Lakes Secondary College,1076704.98331000004
"5102",Killarney Vale_East,887607.49183700001
"5103",Killarney Vale_Bay Village,1211131.59312000009
"5104",Bateau Bay Beach,1254458.36263000011
"5105",Bateau Bay_Cresthaven Av and Curzon Av,1238221.61333000008
"5106",Bateau Bay Primary School,1982666.42087000003
"5107",Bateau Bay,1967419.88137000008
"5110",Doyalson,6668932.24792999960
"5111",Doyalson Golf Driving Range,1595856.13418000005
"5112",Colongra Lake,7878100.21834000014
"5113",Blue Haven Primary School,1500717.37464999990
"5114",Blue Haven,1019454.95322999998
"5115",San Remo,1321016.44427999994
"5116",San Remo_Camp Breakaway,956104.33570800000
"5119",Budgewoi Beach,5850132.82816000003
"5120",Budgewoi,1394607.76869000006
"5121",Buff Point,2090526.99383999989
"5126",Berkeley Vale,2730635.43061000016
"5127",Chittaway Bay Shopping Centre,3725782.54487999994
"5128",Berkeley Vale High School,1922378.91889999993
"5129",Killarney Vale Industrial Area_North,774709.91625500005
"5130",Killarney Vale Industrial Area_South,1410878.53561999998
"5131",Tumbi Umbi,13888150.21209999919
"5134",Charmhaven,2118209.48537999997
"5135",Lake Haven,1504383.32321000006
"5136",Gorokan,1386311.75101000001
"5137",Kanwal,1383404.41614999995
"5138",Kanwal_Pipeclay Point,855137.92437200004
"5139",Wyongah,2364906.38745999988
"5140",Tuggerawong,1614779.20258999988
"5143",Yarramalong,188824615.48100000620
"5144",Dooralong Valley Resort Dooralong,157286122.24900001287
"5148",Munmorah State Rec Area,18151886.56920000166
"5149",Lake Munmorah Industrial Area,14359870.56900000013
"5150",Lake Munmorah,2916447.35104000010
"5153",Ourimbah SF,91881103.78270000219
"5154",Fountaindale,7759264.92927999981
"5155",Ourimbah Station_West,7536790.29578999989
"5156",Uni of Newcastle Central Coast Campus_Ourimbah S,6724005.69098000042
"5159",Gwandalan,4000224.89598000003
"5160",Summerland Point,5161809.89520000014
"5163",Tuggerah Beach,7463673.45401000045
"5164",The Entrance_Lakeside Shopping Centre,1394331.28875999991
"5165",Long Jetty_North_Blue Bay,1545796.55333000002
"5166",Long Jetty_Central_Toowoon Bay,1358749.79183000000
"5167",Long Jetty_South_Shelly Beach,2069531.54878000007
"5170",Toukley,3595130.16416999977
"5171",Hargraves Beach,2664999.82592999982
"5172",Soldiers Beach,4242141.87951999996
"5175",Tuggerah Industrial Area,4569428.38979000039
"5176",Tuggerah_Tacoma South,5582869.28127999976
"5177",Mardi Dam,8598318.88567999937
"5178",Tuggerah Station,2434317.90085999994
"5179",Tuggerah_Lees Res,931772.56549600000
"5180",Westfield Tuggerah,5676500.38365999982
"5181",Hamlyn Terrace_Primrose Dr and Peony Pl,537645.95950800006
"5182",Warnervale_Minnesota Rd Pacific Hwy,874050.08370099997
"5183",Wallarah,6582117.62000000011
"5184",Charmhaven_West,7835182.60044999979
"5185",Warnervale Interchange,3464139.05639000004
"5186",Woongarrah_Hiawatha Rd and Mataram Rd,1777029.77196999989
"5187",Woongarrah Public Schoolool,1432436.40913000004
"5188",Warnervale Station_West,10238475.72780000046
"5189",Hamlyn Terrace_Sparks Rd and Dundonald Rd,951888.57646200003
"5190",Warnervale Rugby Club,1807496.25331999990
"5191",Warnervale Station_East,2462865.64287000010
"5192",Wyong Hospital,652389.61326500005
"5193",Warnervale Public School,381437.70804599999
"5194",Wadalba_West,899655.79033700004
"5195",Wadalba_Melbourne Rd and Voyager St,1817915.01616000012
"5196",Wadalba Community School,1093940.15351999993
"5198",Watanobbi,1738490.75304000010
"5199",North Wyong Industrial Area,4716013.58978999965
"5200",Hunter Institute of Technology_Wyong Campus,3640820.24250999978
"5201",Tacoma,2297190.52675000019
"5202",Wyong Station_East,2612583.39641000004
"7123",Eglinton,72086205.44580000639
"7124",Bathurst,10905594.36649999954
"7125",Mount Panorama,36287081.78530000150
"7128",Bathurst_East,93856439.52339999378
"7131",Wattle Flat,1521074422.65000009537
"7132",Yetholme,765404544.92100000381
"7133",Perthville,43746205.50940000266
"7134",Rockley,1460959013.30999994278
"7137",Tarana,380406626.46399998665
"7138",Oberon,7073339.06692999974
"7139",Burraga,2579645374.80000019073
"7020",Cargelligo,6077940.13226999994
"7021",Tullamore,828338901.22200000286
"7022",Tottenham,7899583943.93999958038
"7023",Condobolin,8675349.32241000049
"7024",Lake Cargelligo,7087567499.23999977112
"7027",Cowra,241762750.93799999356
"7030",Nyrang Creek,581541799.14199995995
"7031",Canowindra,4196254.10362000018
"7032",Walli,663634380.15600001812
"7033",Gooloogong,474188078.66600000858
"7034",Darbys Falls,662838451.78299999237
"7035",Wattamondara,645240349.45799994469
"7038",Forbes,22564660.68189999834
"7039",Eugowra,1772309723.75999999046
"7040",Garema,2794538919.90999984741
"7043",Green Thorpe,1373683718.36999988556
"7044",Grenfell,10952298.94820000045
"7045",Quandialla,1903595486.29999995232
"7048",Parkes,15010921.79350000061
"7049",Kamandra,219300511.62999999523
"7052",Alectown,2090532312.57999992371
"7053",Trundle,877426499.53299999237
"7054",Bogan Gate,1438814752.05999994278
"7055",Cookamidgera,1001344569.00999999046
"7058",Wyalong,1601134699.00999999046
"7059",Weethalle,6097333486.94999980927
"7060",West Wyalong,15790006.25960000046
"7061",Barmedman,588587232.79499995708
"7093",Marrangaroo,61665826.58209999651
"7094",Lithgow,18220307.92080000043
"7095",Littleton,39873029.54200000316
"7098",Capertee,1513659733.66000008583
"7099",Portland,98710084.87389999628
"7100",Wallerawang,120910771.21199999750
"7101",Dargan,26725112.47190000117
"7102",Hartley,260844169.29600000381
"7103",Hampton,488500304.10399997234
"7106",Mudgee,65779164.26950000226
"7109",Kandos,2709953732.07999992371
"7110",Rylestone,136990019.35699999332
"7113",Dunedoo,1498585773.42000007629
"7114",Ulan,2554314681.48000001907
"7115",Gulgong,4035458.30960999988
"7116",Home Rule,1424147092.50999999046
"7117",Apple Tree Flat,2549550501.71999979019
"7120",Wollangambe_Wollemi,2444125403.57000017166
"7064",Blayney,5359338.81395000033
"7065",Millthorpe,293560830.68599998951
"7066",Carcoar,897042812.77100002766
"7067",Neville,443664737.03700000048
"7070",Orange,11178547.47299999930
"7071",Bowen,3955090.93068000022
"7072",Glenroi,4821670.48725000024
"7073",Bloomfield,25208630.54529999942
"7076",Clifton Grove,69181044.75190000236
"7077",Calare,21439207.72560000047
"7078",Orange_North,5926934.05968999956
"7079",Bowen_North,2776400.67439999990
"7082",Cumnock,984773082.78499996662
"7084",Molong,436946697.77100002766
"7085",Mullion Creek,1006630118.32000005245
"7086",Manildra,678964275.51400005817
"7087",Lucknow,335040435.97000002861
"7088",Canobolas,441960577.12199997902
"7089",Spring Creek,86223734.68219999969
"7090",Cudal,501134252.22399997711
"7728",Junction Hill,50560211.02889999747
"7729",Grafton,9460840.31512999907
"7730",Southampton,24287662.92889999971
"7731",South Grafton,22152859.45179999992
"7734",Alice,920606349.33000004292
"7735",Cangai,2017758807.47000002861
"7736",Woodford,426903858.22699999809
"7737",Gilletts Ridge,208054786.03400000930
"7738",Eatonsville,115615371.83300000429
"7739",Grafton Region,150226844.19999998808
"7740",Minnie Water,769480042.40199995041
"7741",Dalmorton,2847653305.82999992371
"7742",Coutts Crossing,86255629.34029999375
"7743",Wooli,2110926.68667999981
"7744",Glenreach,918684158.97399997711
"7747",Woombah,361151461.67900002003
"7748",Iluka,5580136.58664999995
"7749",Yamba,24833998.43820000067
"7750",Maclean,33437680.17799999937
"7751",Brooms Head,287841493.29100000858
"7754",Fernmount,247197922.89700001478
"7755",Bellingen,3615401.55371000012
"7756",Kalang,750717982.67299997807
"7759",Korora South,6542535.62506000046
"7760",Coffs Harbour_North,13881408.11460000090
"7761",Coffs Harbour Jetty_North,5264633.57555000018
"7764",Coffs Harbour,3190687.77707999991
"7765",North Boambee Valley,13094236.63350000046
"7766",Coffs Harbour Jetty,2819635.47465999983
"7767",Coffs Harbour_South,14619156.46560000069
"7770",Bucca,124519137.81599999964
"7771",Coramba_Nana Glen,239718002.28000000119
"7774",Dundurrabin,1194050983.47000002861
"7775",Lowanna,792752866.68599998951
"7776",Dorrigo,2644792.56717999978
"7779",Emerald Beach,19212439.44759999961
"7780",Moonee Beach,21014793.85759999976
"7781",Korora,17512872.89550000057
"7784",Boambee,12490367.28040000051
"7785",Bayldon,2681900.60705000022
"7786",Boambee East,2729778.20265999995
"7787",Toormina,4339301.63609999977
"7788",Sawtell,3482242.94731999980
"7789",Bonville,92572659.19470000267
"7792",Raleigh,103091846.02799999714
"7793",Urunga,5365282.59833000042
"7796",Red Rock,108576186.22300000489
"7797",Upper Corindi,127596276.90399999917
"7798",Arrawarra,13453631.91389999911
"7799",Woolgoolga,7490183.44675999973
"7800",Sandy Beach,13460557.05040000007
"7452",Brewarrina,4065456.02016999992
"7453",Louth,42087256625.90000152588
"7454",Bourke,6541184.28239999991
"7455",Gongolgon,14833780251.50000000000
"7458",Cobar,7977026.22008000035
"7459",Nymagee,45488735666.59999847412
"7462",Coonamble,865467198.57599997520
"7463",Quambone,11273245875.89999961853
"7466",Nevertire,6212365854.85000038147
"7467",Nyngan,14985767969.50000000000
"7470",Lightning Ridge,11679580.92559999973
"7471",Angledool,13483987239.20000076294
"7472",Collarenebri,1117013.22830000008
"7473",Walgett,2816238.42155000009
"7474",Carinda,13561358535.79999923706
"7446",Broken Hill,169881622.10400000215
"7449",Far West,146685661528.00000000000
"7477",Baradine,4557240424.10000038147
"7478",Coonabarabran,1034672567.87999999523
"7479",Weetaliba,1198451280.77999997139
"7480",Bomera,3026682127.80000019073
"7481",Coolah,2826013.41684000008
"7482",Mendooran,646246199.59399998188
"7485",Dubbo_East,8933195.01414999925
"7486",Yarandale,78619541.56720000505
"7489",Dubbo,12757120.80599999987
"7490",Dubbo_South,12634573.18600000069
"7493",Dubbo_North,47135012.69720000029
"7494",Dubbo_West,22191244.81940000132
"7497",Mogriguy,2270727230.50000000000
"7498",Wongarbon,299633683.24900001287
"7499",Obley,1551696060.27999997139
"7502",Collie,2936359026.07999992371
"7503",Gilgandra,472495517.47399997711
"7504",Balladoran,1978803347.05999994278
"7507",Trangie,3578044279.92999982834
"7508",Narromine,10419109.35380000062
"7509",Tomingley,2358707024.15000009537
"7512",Geurie,413543985.77799999714
"7513",Wellington,7623986.71258999966
"7514",Stuart Town,1788858856.94000005722
"7515",Arthurville,1131043847.42000007629
"7516",Yeoval,255984380.53200000525
"6700",North Rothbury_Belford NP,94424339.49120000005
"6701",Branxton Station,5755765.85998000018
"6702",North Rothbury,9947805.84861000068
"6703",Greta Station,38817163.83600000292
"6704",North Rothbury_Wine Country Drive and Blackburn Close,16235010.53519999981
"6705",Lovedale,38298922.40139999986
"6706",Tower Wines,128691607.31100000441
"6707",Belford,59409652.72929999977
"6708",Cessnock_East_South of Maitland Rd,2452519.55829000007
"6709",Nulkaba,14432401.65540000051
"6710",Cessnock_Cessnock Waste and Reuse Centre,7187251.19465999957
"6711",Cessnock,4020061.76627000002
"6712",Cessnock District Hospital,2715171.70948000019
"6713",Cessnock Correctional Centre,5927336.36992000043
"6714",Cessnock High School,3580605.50491000013
"6715",Kearsley,9558757.81244000047
"6716",Bellbird,5981654.25795000046
"6717",Kitchener_North,10938229.40059999935
"6718",Bellbird Heights_East of Wollombi Rd,2061221.27615000005
"6720",Black Hill,87452869.90160000324
"6721",Kitchener,47902384.59809999913
"6722",Mulbring,129161667.94099999964
"6723",Ellalong,307893642.99400001764
"6724",Laguna,995095139.73699998856
"6727",Lostock,1065360315.45000004768
"6728",Dungog,6472366.04717999976
"6729",Clarence Town,492153477.00800001621
"6730",Paterson,273727654.19300001860
"6731",Gresford,408604206.17199999094
"6733",Sawyers Gully,45842300.34319999814
"6734",Heddon Greta,7590653.22092000023
"6735",Abermain,3340982.71072999993
"6736",Weston,4525030.53677000012
"6737",Kurri Kurri_Birralee Park,1104513.74199000001
"6738",Kurri Kurri District Hospital,2600194.65889000008
"6739",Kurri Kurri High School,1440211.91250999994
"6740",HEZ Industrial Business Estate,14296262.02319999970
"6741",Pelaw Main,9707708.87934000045
"6744",Wattle Ponds,32129694.73160000145
"6745",Singleton Heights,1499489.32722000009
"6746",McDougalls Hill,5111727.20789999980
"6747",Dunolly,3290996.05278000003
"6748",Hunterview,1285936.94194999989
"6749",Singleton,45583054.92490000278
"6750",Whittingham Station,38107072.95989999920
"6754",Broke,2523791831.32000017166
"6755",Glendon Brook,1536282528.40000009537
"6600",Telarah Station,889387.91489300004
"6601",Maitland_Station,1269644.55594000011
"6602",Gillieston Heights,25726383.26489999890
"6603",Maitland_High Street Station,4134962.33876999980
"6605",Pitnacree,6537031.67726999987
"6606",Morpeth,5000331.50404999964
"6607",Tenambit,2158873.35394999990
"6608",East Maitland Station_North,958016.31209100003
"6609",Victoria Street Station,5182419.09638999961
"6610",East Maitland Station_South,1468654.95393999992
"6611",East Maitland,1115037.96870000008
"6612",Metford_North,2046555.69287999999
"6613",The Hunter Shopping Centre,1786360.79719999991
"6614",Metford_South,1348364.98570000008
"6615",East Maitland_Wild Duck Reserve,6092900.28316000011
"6616",East Maitland Private Hospital,6821167.43477000017
"6619",Mindaribba Station,44773693.62160000205
"6620",Bolwarra Heights,16607017.56140000001
"6621",Bolwarra High School,9040319.82335999981
"6624",Windella,96551727.14419999719
"6625",Oakhampton Station,12706182.26610000059
"6626",Aberglasslyn_South,2390430.14099999983
"6627",Rutherford High School,1185765.57724000001
"6628",Rutherford_Longbottom Pk,1191860.69219999993
"6629",Rutherford Industrial Estate,22777690.50910000131
"6630",Telarah Primary School,1905902.00971999997
"6631",Lochinvar Station,36411339.64169999957
"6634",Forest Drive,5776205.65620000008
"6635",Millers Forest,38997181.52229999751
"6636",Thornton Pre School,863227.95732399996
"6637",Thornton_Somerset Dr and Grange Ave,5952563.90708000027
"6638",Thornton Station,1566978.29031000007
"6639",Thornton,8197143.63040000014
"6500",Little Kingsley Beach,20417633.30570000038
"6501",Bobs Farm,45698767.14549999684
"6502",Anna Bay,1809254.89458999992
"6505",Lemon Tree Passage,1816077.65843999991
"6506",Tanilba Bay Golf Course,28111851.29569999874
"6509",Soldiers Point,1716122.91369999992
"6510",Seabreeze Shopping Centre,2177483.47232000018
"6511",Zenith Beach,986679.13392800000
"6512",Nelson Bay,2964313.85343000013
"6513",Salamander Bay Shopping Centre,1968296.25422000000
"6514",Tomaree Sports Complex,3351490.58374000015
"6515",Salamander Bay,12572061.84210000001
"6516",Fingal Beach,21653311.48809999973
"6519",East Seaham,38902946.29249999672
"6520",Raymond Terrace,1374332.22668000008
"6521",Irrawang High School,2388597.96441000002
"6522",Raymond Terrace Shopping Area,3786102.32404999994
"6523",Tomago,34975525.08299999684
"6524",Raymond Terrace,27859797.31210000068
"6526",Wallalong,83540727.52429999411
"6527",Seaham,163501167.24500000477
"6530",Tea Gardens_Hawks Nest,115117837.62800000608
"6531",Carrington,88836562.00579999387
"6534",Karuah,97316725.01309999824
"6535",Ferodale,77129783.86869999766
"6536",Medowie,29488144.68560000136
"6537",Grahamstown Lake,38718865.24689999968
"6538",Medowie_South,5701300.97879000008
"6539",Williamtown RAAF Base,58688184.96630000323
"6540",Salt Ash,57481028.74279999733
"7000",Muswellbrook,83335056.49240000546
"7001",South Muswellbrook,178635648.93000000715
"7004",Sandy Hollow,984458469.37199997902
"7005",Denman,116461360.09900000691
"7006",Martindale,2036271350.33999991417
"7009",Scone,118402237.67900000513
"7012",Murrurundi,270512410.74800002575
"7013",Gundy,3256936911.78999996185
"7014",Wingen,735428906.00199997425
"7015",Bow,3541537483.30999994278
"7016",Merriwa,3807679.36262999987
"7017",Aberdeen,129771598.13199999928
"5715",Dapto_Princes Hwy and Kanahooka Rd,1744077.70787999989
"5716",Kanahooka High School,2172792.95685999980
"5717",Dapto Station,1385107.31004999997
"5718",Purrah Bay,1476812.05911000003
"5719",Dapto,1032117.93183000002
"5720",Dapto High School,1335131.91827000002
"5721",Koonawarra,2057826.11333000008
"5722",Dapto_Mount Brown Reserve,1726692.67250999995
"5723",Penrose,7582031.00071999989
"5724",Dapto Primary School,1098541.09872999997
"5725",Avondale,13184443.62109999917
"5726",Tallawarra Power Station,10572416.09919999912
"5727",Logbridge Farm Marshall Mount,11151774.51359999925
"5730",Kembla Grange Racecourse Station,4485327.45588999987
"5731",Dombarton,8336409.91401000042
"5732",Sheaffes Rd and Paynes Rd,5445175.18738999963
"5733",West Dapto Cemetery,2524668.02070000023
"5734",Horsley,3006333.75197000010
"5735",Huntley,17858246.30970000103
"5736",Dapto Public School,2519590.09537999984
"5739",Port Kembla_Coal and Grain Handling Terminal,1871490.54660000000
"5900",Lysaghts Station,4676534.62609000038
"5901",Port Kembla_Port Kembla Station,6168712.85445000045
"5903",Unanderra Station,204388.35035600001
"5904",BHP Elouera Colliery Mount Kembla,13248526.86290000007
"5905",Cordeaux Heights,1756686.05698000011
"5906",Illawarra Hockey Stadium,1159331.63280000002
"5907",Farmborough Heights,934872.04775999999
"5908",Farmborough Heights_River Oak Rd and Sandalwood Rd,2839417.79667000007
"5909",Unanderra,1170684.82443000004
"5910",Unanderra Industrial Park,2658655.60682999995
"5911",Unanderra_Glastonbury Rd,1138837.97680000006
"5700",Flagstaff Hill,2063789.49319999991
"5701",Cringila,2411026.19584000017
"5702",Kembla Grange,1899074.43845000002
"5703",Berkeley_Caroona St and Flagstaff Rd,865778.34082499996
"5704",Illawarra Sports High School,3833379.33808000013
"5707",Lake Heights,1439982.78004000010
"5705",Kemblawarra_Port Kembla Leagues Club,1276776.63418999990
"5706",Westfield Warrawong,398665.01609599998
"5708",Illawarra Regional Hospital,1633955.35388999991
"5709",Port Kembla Beach,1842092.03181999992
"5710",Kemblawarra Business Park,1809127.82808999997
"5711",Perkins Beach,3212327.33686000016
"5712",Warrigal Aboriginal Arts,2250491.14917000011
"5500",Rixon Pass Cataract,743211496.07700002193
"5800",Calderwood,14674741.57819999941
"5801",Albion Park Showground,1306980.58119000006
"5802",Tullimbar,6454134.28187000006
"5803",Regal Heights Shopping Centre,1482299.30590000004
"5804",Albion Park,1498403.21512999991
"5805",Macquarie Pass,45248405.09600000083
"5806",Mount Terry Punlic School,2173161.56701999996
"5807",Albion Park_Rosetta Hill,2184380.79240000015
"5810",Oak Flats Station,1915262.48736999999
"5811",Illawarra Regional Airport,2861366.85228000022
"5812",Croom Regional Sporting Complex,1319031.05572000006
"5813",Albion Park Rail,1062375.87406000006
"5816",Kiama Station,4152202.58649000013
"5817",Kiama_Chapman Point Reserve,2347639.96158999996
"5818",Kiama Hospital,7337539.47614999954
"5821",Minnamurra Station,2482692.13003000012
"5822",Bombo Station,4768882.35785000026
"5825",Jamberoo Golf Course,123113831.21199999750
"5826",Werri Beach,6145486.52199000027
"5827",Gerringong Station,92718860.43420000374
"5830",Barrack Heights,432663.23308400001
"5831",Flinders,1407680.49644999998
"5832",Shellharbour Workers Club,1820974.00071000005
"5833",Shellharbour Beach,2766191.11883000005
"5834",Shell Cove Golf Course,10424408.35099999979
"5835",Dunmore_Shellharbour Station,32662943.93670000136
"5838",Shellharbour Hospital,826399.21589400002
"5839",Oak Flats_North,2018279.12086999998
"5840",Shellharbour City Centre,702152.83915100002
"5841",Oak Flats_South,912412.18636499997
"5842",Blackbutt,1583535.39519000007
"5845",Lake Illawarra High School,1361591.62569999998
"5846",Mount Warrigal,1145682.63404999999
"5847",Warilla Grove Shopping Centre,1364412.57431000005
"5848",Warilla,798773.71457900002
"5849",Mount Warrigal Public School,675630.13398799999
"5850",Warilla Bowls and Recreation Club,820547.27965399995
"5851",Warilla High School,1751177.78555999999
"5852",Shellharbour Private Hospital,1564308.42568000010
"5600",Towradgi Station,1475906.87070000009
"5601",Balgownie Primary School,2821189.09670000011
"5602",Fernhill,1472939.13352999999
"5603",Uni of Wollongong Innovation Campus_Fairy Meadow,2315476.46714999992
"5604",Balgownie,1858130.45843999996
"5605",Fairy Meadow,1841193.38672000007
"5606",Illawarra Institute of Technology Wollongong Campus,461091.66542400001
"5609",Bellambi Station_West,591059.84569600003
"5610",South Bulli Colliery Cataract,3223827.36447999999
"5611",Bellambi_Holy Spirit College,980122.99911700003
"5612",Bellambi Beach,1280544.26716999989
"5613",Corrimal Station_West,1129665.20414000005
"5614",Corrimal Colliery Tarrawanna,2576866.31900000013
"5615",Corrimal Station_East,1265646.83235000004
"5618",Wollongong Botanic Gardens Keiraville,2322585.93249000004
"5619",Mt Nebo Figtree,6599107.96470000036
"5620",Keiraville,1544464.92538999999
"5621",West Wollongong,999686.85074200004
"5622",Figtree_East,1487816.37785000005
"5623",Figtree,3694639.55067999987
"5624",Westfield Figtree,1184028.18910000008
"5625",The Illawarra Hospital,952634.35064399999
