"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10019507,17221,68496,216831,352893,620097,963628,1538117,1916032,146,2319329,3378095,3941732
10019508,21005,85650,237494,376901,663056,1057319,1596131,1972370,338,2413835,3567539,3969273
10019509,9930,48760,181141,321112,543946,848549,1407606,1826787,164,2182836,3049320,3888888
10019510,11302,50813,186212,327934,570730,870764,1440815,1843093,143,2222320,3141634,3900122
10019511,12755,52913,196187,334549,584494,897733,1460119,1865708,127,2261121,3216058,3910447
10019512,12062,51746,189416,330293,577415,885407,1449568,1853786,135,2245196,3188741,3905149
10019513,17102,68396,216815,352882,620097,963628,1538117,1916032,106,2319329,3378095,3941732
10019514,17870,70600,221643,357516,626181,978749,1547422,1925493,115,2332120,3400588,3947917
10019515,10580,49786,183305,324926,552730,857664,1430509,1833916,154,2200543,3125112,3895373
10019516,18586,72716,225093,359851,639245,997288,1552893,1934554,104,2344784,3454145,3954905
10019517,17855,70212,221643,357516,626181,978749,1547422,1925493,117,2332120,3400588,3947917
10019518,11181,49703,185545,326785,565982,870084,1440297,1842856,122,2222030,3141476,3900122
10019519,10504,48758,182638,323741,549874,857085,1430041,1833726,135,2200212,3124941,3895359
10019520,19615,78402,231065,366865,647156,1011625,1569729,1948731,344,2364027,3513784,3958896
10019521,18870,75534,227157,362170,640582,1002451,1559419,1938266,83,2350962,3470358,3956264
10019522,5254,32224,142563,282234,450217,750063,1241860,1715839,466,2055565,2667582,3767770
10019523,5170,31001,135467,277103,436125,731799,1210713,1700467,559,2036593,2611296,3725312
10019524,6835,41077,155207,305776,496004,785376,1332229,1760729,308,2113290,2827784,3838857
10019525,5424,31984,138898,280515,449374,741738,1232367,1708609,517,2044987,2649139,3752543
10019526,24638,107013,258928,399528,690137,1139860,1646664,2003133,1547,2494073,3654937,4003319
10019527,14332,55943,207117,338931,599263,919388,1493615,1891560,131,2282699,3295718,3926418
10019528,15186,57399,209866,343738,607751,927257,1507319,1898229,135,2295376,3329264,3930050
10019529,17073,67535,216814,352882,620097,963628,1538117,1916032,118,2319329,3378095,3941732
10019530,5365,32193,145871,280758,448390,744074,1240702,1713991,658,2055300,2666479,3768054
10019531,20955,88585,237538,376921,663084,1057285,1596071,1972154,389,2413681,3567523,3969273
10019532,22715,94166,253161,391315,675375,1091348,1630143,1990805,826,2463003,3611604,3993428
10019533,6891,36277,151488,305047,485760,778277,1320479,1753785,361,2104205,2779456,3822688
10019534,7253,44955,158256,308322,512068,792118,1353003,1769478,276,2129065,2846067,3848818
10019535,5086,31485,141002,279289,434901,740017,1224975,1707322,632,2045296,2636994,3751284
10019536,7764,46122,172187,312423,521582,801010,1361587,1778736,253,2137159,2862700,3860281
10019537,8272,47129,174769,314522,529090,808450,1372817,1785991,230,2154386,2915940,3866443
10019538,5031,30808,135786,276957,431881,731070,1206480,1697148,601,2035871,2608868,3722271
10019539,13521,54446,204009,336517,591816,903716,1481218,1882686,126,2271051,3267439,3919347
10019540,23660,101217,255793,393363,681719,1125441,1638312,1997343,1425,2478518,3639344,3996288
10019541,12705,51946,196187,334549,584494,897733,1460119,1865708,122,2261121,3216058,3910447
10019542,11958,50734,189396,330277,577257,885401,1449568,1853786,124,2245196,3188741,3905149
10019543,6756,40312,153673,303618,488602,782854,1327838,1759795,300,2113210,2827709,3838835
10019544,19469,75608,230004,365121,646199,1005641,1565424,1944074,371,2358338,3487560,3958193
10019545,20216,78571,233128,371130,653023,1019643,1574235,1955141,375,2382900,3531408,3962011
10019546,7165,44018,156729,305539,498369,789159,1349353,1768632,266,2128985,2846034,3848796
10019547,5993,33543,162508,285477,454648,761860,1284457,1740890,598,2083985,2742120,3805847
10019548,13429,53452,204000,336508,591775,903713,1481218,1882686,119,2271051,3267439,3919347
10019549,7684,45036,170520,309023,507355,798124,1359104,1777972,237,2137024,2862667,3860267
10019550,2572,24189,120903,264503,428106,689188,1022995,1562238,560,1956997,2357162,3374504
10019551,2623,24136,127936,264914,429624,683718,1028203,1572317,584,1960204,2360296,3389404
10019552,6530,34395,146256,292030,473462,743976,1220685,1694725,428,2033723,2579764,3717849
