"MB_CODE16","value"
10018261000,1513723
10018262000,1525126
10018272000,1419208
10018273000,1508941
10018280000,1526269
10018290000,1499457
10018300000,1460885
10018310000,1386703
10018320000,1390058
10018330000,1254923
10018340000,1087683
10018350000,1507815
10018360000,1534312
10018370000,1428544
10018380000,1535417
10018390000,1424317
10018410000,1089046
10018420000,828130
10018430000,1156671
10018450000,946305
10018460000,1224781
10018470000,933702
10018480000,1576426
10018491000,1526909
10018492000,1509469
10018493000,1455253
10018501000,1510147
10018502000,1565725
10018503000,1560425
10018504000,1554457
10018510000,1541032
10018520000,1512801
10018531000,1584060
10018532000,1570718
10018533000,1574044
10018540000,1498835
10018560000,1482139
10018570000,1415099
10018580000,1388134
10018591000,1420629
10018592000,1430639
10018601000,841686
10018611000,860697
10018612000,922426
10018620000,938676
10018630000,929318
10018640000,1121766
10018650000,1456836
10018660000,1351702
10018670000,1384621
10018680000,879120
10018690000,1283696
10018700000,1308463
10018710000,1319439
10018720000,1539586
10018730000,1517307
10018740000,1514942
10018750000,1483609
10018760000,1540721
10018770000,920851
10018781000,1263519
10018782000,1246065
10018790000,1248328
10018800000,903370
10018810000,852340
10018820000,1077993
10018830000,1441906
10018840000,1525421
10018850000,1531551
10018860000,1388541
10018870000,1405323
10018880000,1074931
10018890000,1145307
10018900000,1120640
10018910000,1143141
10018920000,1234797
10018932000,1195478
10018960000,819108
10018970000,895183
10018980000,1012657
10018990000,1563841
10019000000,1524030
10019011000,1300745
10019012000,1450125
10019021000,1387354
10019022000,1367487
10019023000,1397065
10019024000,1359956
10019031000,1437807
10019032000,1437024
10019033000,1422489
10019041000,708812
10019042000,724701
10019045000,727042
10019050000,796959
10019060000,812244
10019070000,1058488
10019080000,929365
10019090000,929318
10019110000,999833
10019123000,1540436
10019124000,1412347
10019125000,1550828
10019130000,1351892
10019140000,992659
10019150000,1537643
10019160000,1536921
10019170000,1512936
10019180000,1538651
10019190000,1471408
10019200000,1431396
10019210000,1487757
10019220000,1408226
10019230000,1384440
10019240000,830823
10019252000,1449088
10019253000,1450118
10019254000,1454569
10019260000,972960
10019271000,1480724
10019272000,1460291
10019273000,1429957
10019280000,1340288
10019290000,1101613
10019300000,1331448
10019310000,1277744
10019320000,1253914
10019330000,1403938
10019340000,1444766
10019360000,1418733
10019370000,1029054
10019380000,1574575
10019390000,1515245
10019400000,885167
10019410000,1111665
10019420000,859888
10019430000,903381
10019440000,1039190
10019450000,830741
10019461000,1009503
10019462000,999871
10019470000,939510
10019481000,849241
10019482000,846562
10019490000,1487500
10019500000,1561245
10019520000,1515979
10019530000,1118363
10019541000,826554
10019542000,836715
10019550000,786383
10019560000,1111844
10019570000,1307302
10019580000,1296496
10019590000,1113186
10019610000,1081351
10019620000,1052289
10019630000,1160449
10019650000,1091968
10019660000,1143737
10019670000,1211789
10019680000,1485893
10019690000,1400180
10019701000,1370403
10019702000,1382104
10019711000,750833
10019730000,831626
10019740000,774183
10019750000,846674
10019771000,1084806
10019772000,1080474
10019780000,1196220
10019790000,948723
10019800000,1139382
10019810000,985432
10019820000,1019704
10019830000,1163406
10019840000,1506462
10019851000,1523972
10019852000,1541132
10019853000,1522094
10019854000,1492211
10019855000,1477718
10019860000,1493386
10019870000,1152107
10019880000,1566837
10019890000,1309099
10019900000,1219075
10019910000,1387825
10019920000,1540641
10019930000,1508639
10019940000,1507974
10019950000,1506512
10019960000,1506805
10019970000,1544081
10019980000,1488571
10019990000,1454395
10020000000,1501689
10020010000,1557456
10020020000,1040595
10020030000,1542353
10020042000,1459425
10020043000,1433285
10020050000,1399140
10020060000,1119946
10020070000,1326292
10020080000,1194123
10020090000,1296389
10020100000,1420375
10020110000,1395583
10020120000,1451811
10020130000,1379694
10020140000,1084371
10020150000,1546766
