Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Area,LGA_fid,2016,2036,2041
CHESTER HILL,Canterbury-Bankstown (A),2876,13042.0,22269.0,2760.0,4703.0,Chester Hill,City of Canterbury Bankstown,12460.0,13622.0,
CHESTER HILL,Cumberland (A),720,767.0,1410.0,2026.0,2399.0,,,,,
CHIFLEY,Randwick (C),95,4171.0,5129.0,459.0,763.0,,,,,
CHIPPENDALE,Sydney (C),5060,9106.0,14644.0,4616.0,12065.0,,,,,
CHIPPING NORTON,Liverpool (C),2350,9332.0,14182.0,7233.0,8756.0,Chipping Norton,Liverpool City,9282.0,,8768.0
CHISWICK,Canada Bay (A),942,2528.0,3880.0,244.0,404.0,Chiswick,City of Canada Bay,3073.0,3236.0,
CHULLORA,Canterbury-Bankstown (A),2408,0.0,0.0,6940.0,7823.0,,,,,
CHURCH POINT,Northern Beaches (A),158,1733.0,3566.0,361.0,537.0,,,,,
CLAREMONT MEADOWS,Penrith (C),586,4889.0,6845.0,437.0,884.0,,,,,
CLAREVILLE,Northern Beaches (A),813,1416.0,1935.0,243.0,394.0,,,,,
CLAYMORE,Campbelltown (C) (NSW),695,2834.0,3163.0,159.0,212.0,Claymore,Campbelltown City,2724.0,4310.0,
CLEMTON PARK,Canterbury-Bankstown (A),65,1917.0,6202.0,814.0,1288.0,,,,,
CLONTARF,Northern Beaches (A),590,2784.0,3609.0,540.0,630.0,,,,,
CLOVELLY,Randwick (C),192,4805.0,5807.0,743.0,1247.0,,,,,
CLYDE,Parramatta (C),2540,6.0,2057.0,1609.0,2297.0,,,,,
COBBITTY,Camden (A),1626,2103.0,18199.0,782.0,2916.0,,,,,
COLEBEE,Blacktown (C),703,1994.0,8278.0,43.0,1284.0,Colebee,Blacktown City,1992.0,4143.0,
COLLAROY,Northern Beaches (A),2763,10481.0,11895.0,2119.0,3140.0,Collaroy,Northern Beaches Council area,8196.0,9234.0,
COLLAROY PLATEAU,Northern Beaches (A),1996,6433.0,7897.0,902.0,1355.0,Collaroy Plateau,Northern Beaches Council area,4971.0,5181.0,
COLYTON,Penrith (C),2127,8671.0,16074.0,947.0,1902.0,,,,,
COMO,Sutherland Shire (A),890,4073.0,5314.0,445.0,699.0,Como,Sutherland Shire,4121.0,3945.0,
CONCORD,Canada Bay (A),14,15207.0,22062.0,3531.0,6966.0,Concord,City of Canada Bay,15073.0,19156.0,
CONCORD WEST,Canada Bay (A),450,7426.0,11777.0,7092.0,13387.0,Concord West,City of Canada Bay,6227.0,8454.0,
CONDELL PARK,Canterbury-Bankstown (A),7728,11834.0,16937.0,5679.0,7249.0,,,,,
CONNELLS POINT,Georges River (A),355,2940.0,3030.0,303.0,494.0,,,,,
CONSTITUTION HILL,Parramatta (C),2212,4005.0,4960.0,255.0,415.0,Constitution Hill,City of Parramatta,4202.0,,4446.0
COOGEE,Randwick (C),1780,16580.0,21515.0,3058.0,4933.0,,,,,
COWAN,Hornsby (A),438,691.0,931.0,216.0,320.0,,,,,
CRANEBROOK,Penrith (C),4224,13932.0,19683.0,1192.0,1612.0,,,,,
CREMORNE,North Sydney (A),3780,12489.0,19289.0,2406.0,3771.0,Cremorne,North Sydney Council area,12394.0,13454.0,
CREMORNE POINT,North Sydney (A),752,2012.0,2511.0,201.0,306.0,Cremorne Point,North Sydney Council area,2160.0,2474.0,
CROMER,Northern Beaches (A),2400,7790.0,11416.0,3642.0,4636.0,Cromer,Northern Beaches Council area,7879.0,8980.0,
CRONULLA,Sutherland Shire (A),4242,18933.0,25105.0,5274.0,8040.0,,,,,
CROWS NEST,North Sydney (A),740,3627.0,7688.0,6061.0,9106.0,,,,,
CROYDON,Burwood (A),588,8091.0,12663.0,2466.0,4316.0,,,,,
CROYDON,Inner West (A),298,2940.0,4239.0,713.0,1196.0,Croydon,Inner West Council area,5421.0,6999.0,
CROYDON PARK,Burwood (A),42,6001.0,10323.0,604.0,1029.0,,,,,
CROYDON PARK,Canterbury-Bankstown (A),22,4660.0,7285.0,549.0,832.0,,,,,
CROYDON PARK,Inner West (A),23,1927.0,2370.0,339.0,574.0,,,,,
CURL CURL,Northern Beaches (A),356,5785.0,6203.0,1063.0,1681.0,,,,,
CURRANS HILL,Camden (A),2440,5423.0,6210.0,466.0,846.0,Currans Hill,Camden Council,5428.0,5212.0,
