tz16_code,tz16_name,lga_code16,lga_name16,gsc_distri,GIC_AreaName,GIC_Precinct_190919,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Tz16_Area,PopDensity_2016,PopDensity_2056,EmpDensity_2016,EmpDensity_2056,PopDensity_Diff,EmpDensity_Diff
29.0,Sydney CBD_Grosvenor Place,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,6239.0,8652.0,11975.3502607,250.51459328460928,417.5243221410155,520986.8491675591,722484.0870328131,167.0097288564062,201497.237865254
30.0,Sydney CBD_Circular Quay_Herald Square,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,25.0,512.0,9657.0,15317.0,32090.3185671,779.0511629769479,15954.967817767894,300931.88323473546,477309.06653271645,15175.916654790946,176377.18329798098
31.0,Sydney CBD_Circular Quay_Gateway Quayside,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,26.0,39.0,4395.0,6557.0,29015.8883163,896.0607966427211,1344.0911949640815,151468.73850941382,225979.64013793546,448.0303983213604,74510.90162852165
32.0,Sydney CBD_Circular Quay_Customs House,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,207.0,366.0,1232.0,1809.0,12695.5413499,16304.93685104893,28829.0187801155,97041.94299754726,142490.9698722102,12524.081929066571,45449.026874662944
33.0,Sydney CBD_Circular Quay_AMP Centre,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,5821.0,8956.0,13111.9909143,0.0,0.0,443944.7859631743,683038.9113702438,0.0,239094.12540706946
34.0,Sydney CBD_Sir Stamford and InterContinental Hotels,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,54.0,82.0,1166.0,1833.0,14064.622456,3839.420515476651,5830.231153131211,82903.04298232918,130326.99638645744,1990.8106376545597,47423.95340412826
35.0,Royal Botanic Gardens,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,315.0,516.0,431650.559525,0.0,0.0,729.7569597654051,1195.4114007585683,0.0,465.65444099316323
36.0,Sydney CBD_Maritime Trade Towers,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,6442.0,9698.0,19950.2379709,0.0,0.0,322903.41646031936,486109.4897286832,0.0,163206.07326836383
37.0,Sydney CBD_35 Clarence St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,4068.0,6405.0,12826.7605449,0.0,0.0,317149.4459384339,499346.6571375785,0.0,182197.2111991446
38.0,Sydney CBD_1 York St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,1347.0,1917.0,7629.56232113,393.20735236561717,655.3455872760286,176550.10121216212,251259.4981616294,262.1382349104114,74709.39694946728
39.0,Sydney CBD_AAP Centre,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,6425.0,9631.0,19490.9287521,0.0,0.0,329640.5256885337,494127.30006323237,0.0,164486.7743746987
40.0,Sydney CBD_10 Bond St and 20 Bond St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,63.0,104.0,3462.0,5029.0,14572.6498787,4323.167064631359,7136.656741613671,237568.32345640892,345098.52647668414,2813.4896769823126,107530.20302027522
41.0,Sydney CBD_Royal Exchange Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,2045.0,3093.0,7146.8169258,0.0,0.0,286141.3719186723,432780.07987503835,0.0,146638.70795636607
42.0,Sydney CBD_Lands Dept Building_Bridge St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,478.0,704.0,6357.7394058,0.0,0.0,75183.95604008762,110731.18211761859,0.0,35547.22607753097
43.0,Sydney CBD_Department of Education Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,704.0,1057.0,6398.75455489,0.0,0.0,110021.41025428071,165188.39579371407,0.0,55166.98553943336
44.0,Sydney CBD_Governor Macquarie Tower_Governor Phillip Tower,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,4199.0,6207.0,11622.6543249,0.0,0.0,361277.19904774224,534043.2423170604,0.0,172766.04326931812
45.0,Sydney CBD_ABN Amro Tower_Aurora Place,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,174.0,265.0,4126.0,6434.0,22184.0785019,7843.463048739997,11945.50406848333,185989.24447759325,290027.82330800657,4102.041019743332,104038.57883041332
46.0,Sydney CBD_The York Apartment Hotel,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,87.0,131.0,830.0,1280.0,6129.61146714,14193.395530270553,21371.664534085543,135408.25620832827,208822.3710200725,7178.26900381499,73414.11481174422
47.0,Sydney CBD_Metcentre,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,222.0,334.0,3947.0,5840.0,13887.9994607,15985.023662206455,24049.5401044007,284202.19997625623,420506.92877155717,8064.516442194246,136304.72879530094
48.0,Sydney CBD_Australia Square,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,31.0,47.0,5002.0,7251.0,13399.9282608,2313.4452212469714,3507.4814644712146,373285.5805379791,541122.2999761868,1194.0362432242432,167836.71943820774
