TZ16_CODE,TZ16_NAME,Tz16_Area,TZprojecti,TZprojec_1,TZprojec_2,TZprojec_3,TZprojec_4,TZprojec_5,TZprojec_6,TZprojec_7,TZprojec_8,TZprojec_9,TZprojec10,TZprojec11,TZprojec12,TZprojec13,TZprojec14,TZprojec15,TZprojec16,TZprojec17,TZprojec18,TZprojec19,TZprojec20,TZprojec21,TZprojec22,TZprojec23,TZprojec24,TZprojec25,TZprojec26,TZprojec27,TZprojec28,TZprojec29,TZprojec30,TZprojec31,TZprojec32,TZprojec33,TZprojec34,TZprojec35,TZprojec36,TZprojec37,TZprojec38,TZprojec39,LOC_PID,NSW_LOCA_2,LGA_CODE16,LGA_NAME16,Split_id
1563,Putney Ferry Wharf,872427.5314,Putney Ferry Wharf,Putney,126021590,11590,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,87.39980093,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,357","2,407","2,472","2,545","2,626","2,864","3,164","3,534","3,536",494,550,601,642,685,726,765,800,835,NSW3304,PUTNEY,16700,Ryde (C),5
1578,Putney,644289.1346,Putney,Putney,126021590,11590,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Ryde (C),16700,Greater Sydney,1GSYD,North,Residential,64.54498278,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,916","1,978","2,044","2,117","2,194","2,406","2,674","3,009","3,010",237,255,271,290,313,334,353,368,383,NSW3304,PUTNEY,16700,Ryde (C),5
1705,Killara Station_East,1425893.325,Killara Station_East,Gordon - Killara,121031407,11407,Ku-ring-gai,12103,Sydney - North Sydney and Hornsby,121,Ku-ring-gai (A),14500,Greater Sydney,1GSYD,North,Residential,142.8489853,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,696","2,712","2,724","2,734","2,905","3,219","3,468","3,688","3,872",586,631,681,725,756,805,852,895,940,NSW2153,KILLARA,14500,Ku-ring-gai (A),8
1706,Killara Station_West,926424.4033,Killara Station_West,Gordon - Killara,121031407,11407,Ku-ring-gai,12103,Sydney - North Sydney and Hornsby,121,Ku-ring-gai (A),14500,Greater Sydney,1GSYD,North,Residential,92.81105796,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,087","3,281","3,633","4,052","4,106","4,165","4,245","4,397","4,604",410,432,468,494,513,546,576,603,632,NSW2153,KILLARA,14500,Ku-ring-gai (A),8
1707,Killara,1016504.705,Killara,Gordon - Killara,121031407,11407,Ku-ring-gai,12103,Sydney - North Sydney and Hornsby,121,Ku-ring-gai (A),14500,Greater Sydney,1GSYD,North,Residential,101.8351927,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,018","2,035","2,045","2,051","2,080","2,139","2,193","2,272","2,378",211,230,250,266,280,298,315,330,346,NSW2153,KILLARA,14500,Ku-ring-gai (A),8
1708,Killara Golf Club,920621.8913,Killara Golf Club,Gordon - Killara,121031407,11407,Ku-ring-gai,12103,Sydney - North Sydney and Hornsby,121,Ku-ring-gai (A),14500,Greater Sydney,1GSYD,North,Residential,92.22960055,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,953","2,076","2,299","2,564","2,598","2,635","2,686","2,782","2,913",407,429,465,491,509,543,572,599,628,NSW2153,KILLARA,14500,Ku-ring-gai (A),8
3823,Hammondville,1814530.102,Hammondville,Holsworthy - Wattle Grove,127031524,11524,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,181.7711253,0,0,0,0,Established,Established,Established_Liverpool (C),"3,595","3,720","3,858","3,946","4,024","4,186","4,381","4,604","4,742","1,118","1,190","1,297","1,405","1,491","1,649","1,867","2,129","2,383",NSW1860,HAMMONDVILLE,14900,Liverpool (C),10
3822,Wattle Grove,1086406.863,Wattle Grove,Holsworthy - Wattle Grove,127031524,11524,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,108.8313509,0,0,0,0,Established,Established,Established_Liverpool (C),"3,778","3,870","3,974","4,022","4,045","4,222","4,456","4,724","4,763",255,273,292,311,327,345,371,406,445,NSW4227,WATTLE GROVE,14900,Liverpool (C),11
3825,Village Plaza Shopping Centre,1242953.578,Village Plaza Shopping Centre,Holsworthy - Wattle Grove,127031524,11524,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,124.5130714,0,0,0,0,Established,Established,Established_Liverpool (C),"3,829","3,935","4,057","4,131","4,188","4,271","4,375","4,510","4,664",798,878,967,"1,032","1,070","1,145","1,263","1,400","1,517",NSW4227,WATTLE GROVE,14900,Liverpool (C),11
3828,Holsworthy_Australis Park,882356.2465,Holsworthy_Australis Park,Holsworthy - Wattle Grove,127031524,11524,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,88.38990916,0,0,0,0,Established,Wattle Grove,Wattle Grove,"3,362","3,404","3,526","3,577","3,613","3,674","3,758","3,864","3,975",12,13,14,15,15,16,17,18,20,NSW4227,WATTLE GROVE,14900,Liverpool (C),11
2200,Seaforth_Wakehurst Parkway and Armstrong St,1739214.007,Seaforth_Wakehurst Parkway and Armstrong St,Balgowlah - Clontarf - Seaforth,122011418,11418,Manly,12201,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,174.2368605,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,428","3,451","3,444","3,482","3,521","3,787","4,051","4,313","4,576",549,564,566,568,571,580,585,588,591,NSW3541,SEAFORTH,15990,Northern Beaches (A),12
2205,Seaforth,1362883.655,Seaforth,Balgowlah - Clontarf - Seaforth,122011418,11418,Manly,12201,Sydney - Northern Beaches,122,Northern Beaches (A),15990,Greater Sydney,1GSYD,North,Residential,136.5350585,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,030","4,132","4,109","4,196","4,274","4,580","4,885","5,187","5,491","1,087","1,144","1,162","1,179","1,195","1,221","1,241","1,254","1,270",NSW3541,SEAFORTH,15990,Northern Beaches (A),12
549,Dover Heights_Portland St and Lancaster Rd,571988.2232,Dover Heights_Portland St and Lancaster Rd,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,57.30093505,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,267","3,329","3,354","3,386","3,446","3,631","3,804","4,000","4,199",414,441,456,482,513,547,577,602,629,NSW1297,DOVER HEIGHTS,18050,Waverley (A),13
551,Dover Heights,526869.6899,Dover Heights,Dover Heights,118011344,11344,Eastern Suburbs - North,11801,Sydney - Eastern Suburbs,118,Waverley (A),18050,Greater Sydney,1GSYD,Central,Residential,52.78087975,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,797","1,824","1,828","1,847","1,918","2,121","2,291","2,412","2,535",377,413,426,454,487,522,554,582,610,NSW1297,DOVER HEIGHTS,18050,Waverley (A),13
2772,Ramsgate Plaza,753306.1647,Ramsgate Plaza,Sans Souci - Ramsgate,119041382,11382,Kogarah - Rockdale,11904,Sydney - Inner South West,119,Rockdale (C),16650,Greater Sydney,1GSYD,South,Residential,75.46166292,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,839","3,063","3,157","3,203","3,232","3,362","3,528","3,702","3,860",197,213,236,248,258,276,293,309,326,NSW3336,RAMSGATE,16650,Rockdale (C),17
2501,Belfield Plaza,1235967.785,Belfield Plaza,Belmore - Belfield,119021362,11362,Canterbury,11902,Sydney - Inner South West,119,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,123.8156976,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"5,130","5,303","5,471","5,596","5,672","5,751","5,886","6,142","6,433",583,611,689,749,809,848,887,924,968,NSW254,BELFIELD,11570,Canterbury-Bankstown (A),19
2500,Belfield_Water St and Punchbowl Rd,543606.8116,Belfield_Water St and Punchbowl Rd,Belmore - Belfield,119021362,11362,Canterbury,11902,Sydney - Inner South West,119,Strathfield (A),17100,Greater Sydney,1GSYD,Central,Residential,54.45707779,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,488","2,187","2,866","2,979","2,983","2,998","3,029","3,087","3,194",298,317,355,363,379,386,395,404,415,NSW254,BELFIELD,17100,Strathfield (A),20
934,Croydon Park_Beaufort St and Kater Pl,554213.7156,Croydon  Park_Beaufort St and Kater Pl,Croydon Park - Enfield,120031393,11393,Strathfield - Burwood - Ashfield,12003,Sydney - Inner West,120,Burwood (A),11300,Greater Sydney,1GSYD,Central,Residential,55.51980122,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,464","2,597","2,686","2,767","2,880","3,036","3,201","3,389","3,593",334,351,383,410,450,486,517,546,573,NSW1147,CROYDON PARK,11300,Burwood (A),21
935,Croydon Park_Portland St and Georges River Rd,871352.3117,Croydon Park_Portland St and Georges River Rd,Croydon Park - Enfield,120031393,11393,Strathfield - Burwood - Ashfield,12003,Sydney - Inner West,120,Burwood (A),11300,Greater Sydney,1GSYD,Central,Residential,87.28983973,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,537","3,698","3,812","3,922","4,130","4,860","5,572","6,321","6,730",270,279,303,322,355,385,410,433,456,NSW1147,CROYDON PARK,11300,Burwood (A),21
936,Croydon Park,943867.5878,Croydon Park,Croydon Park - Enfield,120031393,11393,Strathfield - Burwood - Ashfield,12003,Sydney - Inner West,120,Canterbury-Bankstown (A),11570,Greater Sydney,1GSYD,South,Residential,94.55420162,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"4,660","4,822","5,161","5,573","5,930","6,154","6,491","6,947","7,285",549,587,639,674,707,741,773,802,832,NSW1147,CROYDON PARK,11570,Canterbury-Bankstown (A),22
933,Croydon_Wesley Private Hospital,348468.7581,Croydon_Wesley Private Hospital,Croydon Park - Enfield,120031393,11393,Strathfield - Burwood - Ashfield,12003,Sydney - Inner West,120,Inner West (A),14170,Greater Sydney,1GSYD,Central,Residential,34.90879203,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,927","2,055","2,097","2,116","2,134","2,176","2,221","2,270","2,370",339,356,409,433,468,496,522,548,574,NSW1147,CROYDON PARK,14170,Inner West (A),23
1260,Coolabah Shopping Centre,799201.861,Coolabah Shopping Centre,Guildford West - Merrylands West,125031484,11484,Merrylands - Guildford,12503,Sydney - Parramatta,125,Cumberland (A),12380,Greater Sydney,1GSYD,West Central,Residential,80.06384496,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,267","2,577","2,677","2,789","2,920","3,146","3,382","3,604","3,668",496,538,587,622,661,706,751,791,831,NSW2611,MERRYLANDS WEST,12380,Cumberland (A),25
1261,Merrylands West,553451.7234,Merrylands West,Guildford West - Merrylands West,125031484,11484,Merrylands - Guildford,12503,Sydney - Parramatta,125,Cumberland (A),12380,Greater Sydney,1GSYD,West Central,Residential,55.44463111,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,503","3,575","3,654","3,771","3,872","3,921","3,960","3,995","4,062",483,526,581,624,671,723,773,818,861,NSW2611,MERRYLANDS WEST,12380,Cumberland (A),25
1262,Merrylands High School,597576.5783,Merrylands High School,Guildford West - Merrylands West,125031484,11484,Merrylands - Guildford,12503,Sydney - Parramatta,125,Cumberland (A),12380,Greater Sydney,1GSYD,West Central,Residential,59.86488989,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,472","1,533","1,565","1,612","1,675","1,816","1,967","2,110","2,148",307,332,362,382,409,438,466,491,515,NSW2611,MERRYLANDS WEST,12380,Cumberland (A),25
1128,Dundas Valley,632383.186,Dundas Valley,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,63.35295049,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,725","1,828","1,908","1,993","2,096","2,168","2,221","2,275","2,277",179,187,202,214,227,241,255,269,280,NSW1326,DUNDAS VALLEY,16260,Parramatta (C),26
1130,Allowah Childrens Hospital,626942.1729,Allowah Childrens Hospital,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,62.80779669,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,184","2,307","2,405","2,510","2,636","2,731","2,804","2,879","2,884",227,238,268,285,304,323,343,362,374,NSW1326,DUNDAS VALLEY,16260,Parramatta (C),26
1133,Dundas_Quarry Rd and Fullford St,281709.1924,Dundas_Quarry Rd and Fullford St,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,28.22191643,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,946,"1,005","1,058","1,117","1,189","1,254","1,316","1,373","1,410",105,110,124,131,140,149,159,167,173,NSW1326,DUNDAS VALLEY,16260,Parramatta (C),26
2801,Engadine_Kingswood Rd and Geneva Pl,1654213.987,Engadine_Kingswood Rd and Geneva Pl,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Parkland,165.7044849,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,243","2,245","2,246","2,247","2,271","2,371","2,456","2,519","2,682",168,192,202,215,230,243,256,267,279,NSW1437,ENGADINE,17150,Sutherland Shire (A),28
2803,Engadine,1338714.806,Engadine,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Residential,134.1002974,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,879","2,900","2,926","2,969","3,034","3,140","3,246","3,357","3,461",203,221,231,243,260,275,289,302,316,NSW1437,ENGADINE,17150,Sutherland Shire (A),28
2804,Engadine West Public School,1993489.184,Engadine West Public School,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Parkland,199.6890167,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,050","2,074","2,098","2,136","2,186","2,259","2,338","2,424","2,497",328,355,370,390,417,440,463,484,505,NSW1437,ENGADINE,17150,Sutherland Shire (A),28
2805,Engadine_Wollybutt Rd and Achilles Rd,1892597.659,Engadine_Wollybutt Rd and Achilles Rd,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Residential,189.5826696,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,949","4,003","4,056","4,136","4,244","4,422","4,616","4,829","5,007",236,254,266,283,303,320,337,352,368,NSW1437,ENGADINE,17150,Sutherland Shire (A),28
2807,Engadine Station,1177684.914,Engadine Station,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Residential,117.9688389,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"3,981","4,374","4,572","4,758","4,948","5,236","5,529","5,812","6,253","2,683","2,951","3,087","3,300","3,542","3,752","3,960","4,146","4,341",NSW1437,ENGADINE,17150,Sutherland Shire (A),28
2808,Higgerson Ave and Beethoven St,881798.6822,Higgerson Ave and Beethoven St,Engadine,128021607,11607,Sutherland - Menai - Heathcote,12802,Sydney - Sutherland,128,Sutherland Shire (A),17150,Greater Sydney,1GSYD,South,Residential,88.32955103,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,322","2,370","2,409","2,461","2,558","2,772","2,967","3,153","3,358",262,288,298,312,333,351,369,384,400,NSW1437,ENGADINE,17150,Sutherland Shire (A),28
1127,Oatlands,609804.9026,Oatlands,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,61.09103601,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,716","1,808","1,904","2,013","2,147","2,273","2,381","2,486","2,506",326,346,389,415,443,472,502,530,549,NSW3815,TELOPEA,16260,Parramatta (C),29
1129,Telopea,507752.8274,Telopea,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,50.86731078,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,594","2,710","3,170","3,745","4,204","4,328","4,380","4,431","4,532",180,193,212,224,237,251,266,279,289,NSW3815,TELOPEA,16260,Parramatta (C),29
1131,Telopea Station,506293.2813,Telopea Station,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,50.72099326,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,419","2,974","3,884","4,951","5,751","5,962","6,067","6,178","6,405",305,326,358,379,400,423,446,467,482,NSW3815,TELOPEA,16260,Parramatta (C),29
1135,Telopea East,435523.1243,Telopea East,Oatlands - Dundas Valley,125021478,11478,Carlingford,12502,Sydney - Parramatta,125,Parramatta (C),16260,Greater Sydney,1GSYD,West Central,Residential,43.63120031,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"1,366","1,680","2,193","2,796","3,248","3,367","3,426","3,489","3,617",7,8,8,9,9,10,11,11,11,NSW3815,TELOPEA,16260,Parramatta (C),29
1945,Milsons Point Station_East,304806.9848,Milsons Point Station_East,Neutral Bay - Kirribilli,121041416,11416,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,30.53537719,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,106","2,190","2,344","2,496","2,932","3,547","4,039","4,476","4,724",927,"1,007","1,054","1,143","1,229","1,312","1,390","1,459","1,527",NSW2196,KIRRIBILLI,15950,North Sydney (A),30
1946,Kirribilli Wharf,222794.9921,Kirribilli Wharf,Neutral Bay - Kirribilli,121041416,11416,North Sydney - Mosman,12104,Sydney - North Sydney and Hornsby,121,North Sydney (A),15950,Greater Sydney,1GSYD,North,Residential,22.31943554,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,"2,196","2,272","2,370","2,468","2,744","3,137","3,452","3,745","3,949",539,596,622,676,728,777,823,866,908,NSW2196,KIRRIBILLI,15950,North Sydney (A),30
1529,Woolwich Ferry Wharf,518634.4838,Woolwich Ferry Wharf,Hunters Hill - Woolwich,126021499,11499,Ryde - Hunters Hill,12602,Sydney - Ryde,126,Hunters Hill (A),14100,Greater Sydney,1GSYD,North,Residential,51.95659067,0,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,OutWSPP,844,843,846,850,863,895,928,960,998,450,482,510,531,554,585,616,643,672,NSW4443,WOOLWICH,14100,Hunters Hill (A),31
3851,Flowerdale Shopping Centre,724067.677,Flowerdale Shopping Centre,Lurnea - Cartwright,127031599,11599,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,72.53432818,0,0,0,0,Established,15th Ave,15th Ave,"3,297","3,869","4,086","4,284","4,432","4,998","5,604","6,301","6,305",346,370,393,419,439,478,529,591,652,NSW2444,LURNEA,14900,Liverpool (C),32
3853,Lurnea,789643.0739,Lurnea,Lurnea - Cartwright,127031599,11599,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,79.10325723,0,0,0,0,Established,Established,Established_Liverpool (C),"2,454","2,619","2,686","2,715","2,729","2,739","2,781","2,837","2,951",249,272,298,319,334,366,411,462,506,NSW2444,LURNEA,14900,Liverpool (C),32
3856,Lurnea High School,985440.2304,Lurnea High School,Lurnea - Cartwright,127031599,11599,Liverpool,12703,Sydney - South West,127,Liverpool (C),14900,Greater Sydney,1GSYD,South West,Residential,98.71718618,0,0,0,0,Established,Established,Established_Liverpool (C),"3,846","3,942","4,041","4,081","4,090","4,097","4,170","4,266","4,460",481,528,581,617,641,691,763,847,920,NSW2444,LURNEA,14900,Liverpool (C),32
