Area,LGA_fid,2016,2036,2041,LGA
Balmoral,Mosman Council area,3581.0,3664.0,,Mosman (A)
Balmoral Road Release Area,The Hills Shire,4240.0,24642.0,,The Hills Shire (A)
Bangor,Sutherland Shire,5720.0,5554.0,,Sutherland Shire (A)
Bankstown,City of Canterbury Bankstown,33648.0,58769.0,,Canterbury-Bankstown (A)
Bankstown Balance,City of Canterbury Bankstown,13856.0,19520.0,,Canterbury-Bankstown (A)
Bankstown CBD,City of Canterbury Bankstown,19792.0,39249.0,,Canterbury-Bankstown (A)
Barden Ridge - Lucas Heights,Sutherland Shire,4412.0,5498.0,,Sutherland Shire (A)
Bardia,Campbelltown City,1676.0,3917.0,,Campbelltown (C) (NSW)
Bargo - Yanderra - Pheasants Nest,Wollondilly Shire,5834.0,,6508.0,Wollondilly (A)
Bass Hill - Lansdowne,City of Canterbury Bankstown,9682.0,8823.0,,Canterbury-Bankstown (A)
Baulkham Hills,The Hills Shire,37852.0,45084.0,,The Hills Shire (A)
Bayview,Northern Beaches Council area,3964.0,4048.0,,Northern Beaches (A)
Beacon Hill,Northern Beaches Council area,7831.0,8304.0,,Northern Beaches (A)
Beaumont Hills,The Hills Shire,8655.0,7693.0,,The Hills Shire (A)
Beauty Point - The Spit,Mosman Council area,2189.0,2194.0,,Mosman (A)
Beecroft,City of Parramatta,2604.0,,3031.0,Parramatta (C)
Beecroft - Cheltenham,Hornsby Shire,9147.0,11182.0,,Hornsby (A)
Belfield,City of Canterbury Bankstown,5139.0,5724.0,,Canterbury-Bankstown (A)
Belfield - Greenacre,"Burwood, City of Canada Bay and Strathfield Municipal councils",3138.0,4031.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Bella Vista,The Hills Shire,8164.0,8320.0,,The Hills Shire (A)
Belmore,City of Canterbury Bankstown,13373.0,19533.0,,Canterbury-Bankstown (A)
Belrose - Oxford Falls,Northern Beaches Council area,9335.0,11174.0,,Northern Beaches (A)
Berala,Cumberland Council area,9350.0,11309.0,,Cumberland (A)
Berowra,Hornsby Shire,4906.0,5238.0,,Hornsby (A)
Berowra Heights - North Eastern Rural,Hornsby Shire,7196.0,7215.0,,Hornsby (A)
Berowra Heights - North Eastern Rural Balance,Hornsby Shire,6527.0,6524.0,,Hornsby (A)
Beverley Park - Ramsgate,Georges River Council area,2491.0,3700.0,,Georges River (A)
Beverly Hills - Narwee,Georges River Council area,11033.0,12134.0,,Georges River (A)
Bidwill,Blacktown City,4406.0,4608.0,,Blacktown (C)
Bilgola,Northern Beaches Council area,3794.0,3588.0,,Northern Beaches (A)
Birchgrove,Inner West Council area,3415.0,3200.0,,Inner West (A)
Birrong - Regents Park - Potts Hill,City of Canterbury Bankstown,4818.0,7088.0,,Canterbury-Bankstown (A)
Blackett,Blacktown City,3541.0,3734.0,,Blacktown (C)
Blackheath - Western Townships,Blue Mountains City,5883.0,6300.0,,Blue Mountains (C)
Blacktown,Blacktown City,48854.0,62780.0,,Blacktown (C)
Blacktown City,Blacktown City,347592.0,505278.0,,Blacktown (C)
Blair Athol,Campbelltown City,2955.0,2851.0,,Campbelltown (C) (NSW)
Blakehurst,Georges River Council area,6437.0,7587.0,,Georges River (A)
Blaxland,Blue Mountains City,7653.0,8185.0,,Blue Mountains (C)
Blue Mountains City,Blue Mountains City,78707.0,82844.0,,Blue Mountains (C)
Bonnet Bay,Sutherland Shire,2407.0,2346.0,,Sutherland Shire (A)
Bonnyrigg,Fairfield City,8952.0,17589.0,,Fairfield (C)
Bonnyrigg Heights,Fairfield City,7614.0,7294.0,,Fairfield (C)
Bossley Park,Fairfield City,15211.0,15320.0,,Fairfield (C)
Box Hill,The Hills Shire,939.0,23567.0,,The Hills Shire (A)
Box Hill North,The Hills Shire,78.0,9004.0,,The Hills Shire (A)
Bradbury,Campbelltown City,9036.0,10130.0,,Campbelltown (C) (NSW)
Brooklyn,Hornsby Shire,669.0,691.0,,Hornsby (A)
Brookvale,Northern Beaches Council area,3474.0,4350.0,,Northern Beaches (A)
Bundeena - Maianbar,Sutherland Shire,2529.0,2475.0,,Sutherland Shire (A)
Bungarribee,Blacktown City,2743.0,2594.0,,Blacktown (C)
Burraneer,Sutherland Shire,3707.0,3815.0,,Sutherland Shire (A)
Burwood - Strathfield (Burwood LGA),"Burwood, City of Canada Bay and Strathfield Municipal councils",22046.0,29415.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Burwood LGA,"Burwood, City of Canada Bay and Strathfield Municipal councils",38495.0,47244.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
"Burwood, City of Canada Bay and Strathfield Municipal councils","Burwood, City of Canada Bay and Strathfield Municipal councils",173209.0,231143.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Busby,Liverpool City,4465.0,,4524.0,Liverpool (C)
Buxton - Couridjah,Wollondilly Shire,2314.0,,2275.0,Wollondilly (A)
CBD - Harbour,City of Sydney,8789.0,,20121.0,Sydney (C)
Cabarita,"Burwood, City of Canada Bay and Strathfield Municipal councils",2138.0,2103.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Cabarita,City of Canada Bay,2138.0,2103.0,,Canada Bay (A)
Cabramatta,Fairfield City,22766.0,26352.0,,Fairfield (C)
Cabramatta West,Fairfield City,7499.0,8263.0,,Fairfield (C)
Camden,Camden Council,7942.0,8695.0,,Camden (A)
Camden Council,Camden Council,80477.0,233299.0,,Camden (A)
Camden Park - Mount Hunter - Cawdor,Wollondilly Shire,3343.0,,2987.0,Wollondilly (A)
Camellia,City of Parramatta,3.0,,20873.0,Parramatta (C)
Cammeray,North Sydney Council area,7438.0,7988.0,,North Sydney (A)
Campbelltown,Campbelltown City,12845.0,31427.0,,Campbelltown (C) (NSW)
Campbelltown City,Campbelltown City,161408.0,275778.0,,Campbelltown (C) (NSW)
Camperdown,Inner West Council area,3689.0,4780.0,,Inner West (A)
Campsie - Clemton Park,City of Canterbury Bankstown,27328.0,37279.0,,Canterbury-Bankstown (A)
Canada Bay LGA,"Burwood, City of Canada Bay and Strathfield Municipal councils",92382.0,119858.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Canley Heights,Fairfield City,11353.0,13664.0,,Fairfield (C)
Canley Vale,Fairfield City,10554.0,12006.0,,Fairfield (C)
Canterbury,City of Canterbury Bankstown,7582.0,13173.0,,Canterbury-Bankstown (A)
Caringbah,Sutherland Shire,12101.0,19197.0,,Sutherland Shire (A)
Caringbah South,Sutherland Shire,12549.0,13748.0,,Sutherland Shire (A)
Carlingford,City of Parramatta,25263.0,,37611.0,Parramatta (C)
Carlton,Georges River Council area,7058.0,8573.0,,Georges River (A)
Carramar,Fairfield City,3653.0,4227.0,,Fairfield (C)
Cartwright,Liverpool City,2459.0,,2711.0,Liverpool (C)
Castle Cove - Middle Cove,Willoughby City,4079.0,3980.0,,Willoughby (C)
Castle Hill,Hornsby Shire,5913.0,5620.0,,Hornsby (A)
Castle Hill,The Hills Shire,35237.0,44245.0,,The Hills Shire (A)
Castlecrag,Willoughby City,3087.0,3029.0,,Willoughby (C)
Casula,Liverpool City,16390.0,,15877.0,Liverpool (C)
Catherine Field North Precinct,Camden Council,3360.0,34544.0,,Camden (A)
Catherine Field Precinct,Camden Council,45.0,8755.0,,Camden (A)
Cecil Hills,Liverpool City,7296.0,,6583.0,Liverpool (C)
Chatswood (Balance - East),Willoughby City,8307.0,9166.0,,Willoughby (C)
Chatswood (Balance - West),Willoughby City,8182.0,8348.0,,Willoughby (C)
Chatswood (CBD),Willoughby City,9717.0,14991.0,,Willoughby (C)
Chatswood West - Lane Cove North,Willoughby City,3908.0,4324.0,,Willoughby (C)
Cherrybrook,Hornsby Shire,19348.0,20890.0,,Hornsby (A)
Chester Hill,City of Canterbury Bankstown,12460.0,13622.0,,Canterbury-Bankstown (A)
Chinatown - CBD South,City of Sydney,21181.0,,39541.0,Sydney (C)
Chipping Norton,Liverpool City,9282.0,,8768.0,Liverpool (C)
Chiswick,"Burwood, City of Canada Bay and Strathfield Municipal councils",3073.0,3236.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Chiswick,City of Canada Bay,3073.0,3236.0,,Canada Bay (A)
Church Point - Scotland Island - Ku-ring-gai Chase,Northern Beaches Council area,2193.0,2339.0,,Northern Beaches (A)
City of Canada Bay,City of Canada Bay,92382.0,119858.0,,Canada Bay (A)
City of Canterbury Bankstown,City of Canterbury Bankstown,361554.0,463311.0,,Canterbury-Bankstown (A)
City of Parramatta,City of Parramatta,234446.0,,487731.0,Parramatta (C)
City of Sydney,City of Sydney,224211.0,,354255.0,Sydney (C)
Claymore,Campbelltown City,2724.0,4310.0,,Campbelltown (C) (NSW)
Colebee,Blacktown City,1992.0,4143.0,,Blacktown (C)
Collaroy,Northern Beaches Council area,8196.0,9234.0,,Northern Beaches (A)
Collaroy Plateau,Northern Beaches Council area,4971.0,5181.0,,Northern Beaches (A)
Como,Sutherland Shire,4121.0,3945.0,,Sutherland Shire (A)
Concord,"Burwood, City of Canada Bay and Strathfield Municipal councils",15073.0,19156.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Concord,City of Canada Bay,15073.0,19156.0,,Canada Bay (A)
Concord West,"Burwood, City of Canada Bay and Strathfield Municipal councils",6227.0,8454.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Concord West,City of Canada Bay,6227.0,8454.0,,Canada Bay (A)
Condell Park - Bankstown Aerodrome,City of Canterbury Bankstown,12052.0,14102.0,,Canterbury-Bankstown (A)
Connells Point - Kyle Bay,Georges River Council area,4030.0,4337.0,,Georges River (A)
Constitution Hill,City of Parramatta,4202.0,,4446.0,Parramatta (C)
Cremorne,North Sydney Council area,12394.0,13454.0,,North Sydney (A)
Cremorne Point,North Sydney Council area,2160.0,2474.0,,North Sydney (A)
Cromer,Northern Beaches Council area,7879.0,8980.0,,Northern Beaches (A)
Cronulla - Greenhills Beach,Sutherland Shire,19625.0,24608.0,,Sutherland Shire (A)
Crown - Baptist Streets,City of Sydney,22996.0,,29968.0,Sydney (C)
Crows Nest - St Leonards,North Sydney Council area,7242.0,11392.0,,North Sydney (A)
Croydon,Inner West Council area,5421.0,6999.0,,Inner West (A)
Croydon - Burwood Heights,"Burwood, City of Canada Bay and Strathfield Municipal councils",7662.0,7878.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Croydon Park,"Burwood, City of Canada Bay and Strathfield Municipal councils",5847.0,7046.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Croydon Park (part),City of Canterbury Bankstown,4627.0,5506.0,,Canterbury-Bankstown (A)
Cumberland Council area,Cumberland Council area,226052.0,304811.0,,Cumberland (A)
Curl Curl - North Curl Curl,Northern Beaches Council area,6859.0,6997.0,,Northern Beaches (A)
Currans Hill,Camden Council,5428.0,5212.0,,Camden (A)
Davidson,Northern Beaches Council area,2899.0,3404.0,,Northern Beaches (A)
Dean Park,Blacktown City,3312.0,3390.0,,Blacktown (C)
Dee Why,Northern Beaches Council area,22778.0,28042.0,,Northern Beaches (A)
Dharruk,Blacktown City,2851.0,2898.0,,Blacktown (C)
Dolans Bay - Port Hacking - Lilli Pilli,Sutherland Shire,3330.0,3467.0,,Sutherland Shire (A)
Doonside,Blacktown City,13973.0,16232.0,,Blacktown (C)
Douglas Park - Wilton,Wollondilly Shire,4580.0,,41358.0,Wollondilly (A)
Drummoyne,"Burwood, City of Canada Bay and Strathfield Municipal councils",12559.0,13655.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Drummoyne,City of Canada Bay,12559.0,13655.0,,Canada Bay (A)
Dulwich Hill,Inner West Council area,14295.0,16833.0,,Inner West (A)
Dundas,City of Parramatta,4858.0,,5709.0,Parramatta (C)
Dundas Valley,City of Parramatta,5464.0,,6800.0,Parramatta (C)
Dural,Hornsby Shire,5658.0,6268.0,,Hornsby (A)
Dural - Middle Dural,The Hills Shire,3302.0,4618.0,,The Hills Shire (A)
Eagle Vale,Campbelltown City,5968.0,6581.0,,Campbelltown (C) (NSW)
Earlwood,City of Canterbury Bankstown,18735.0,19612.0,,Canterbury-Bankstown (A)
East Leppington,Campbelltown City,440.0,9069.0,,Campbelltown (C) (NSW)
Eastwood,City of Parramatta,4552.0,,5048.0,Parramatta (C)
Edensor Park,Fairfield City,10242.0,10296.0,,Fairfield (C)
Edmondson Park,Liverpool City,2360.0,,27560.0,Liverpool (C)
Elanora Heights,Northern Beaches Council area,4627.0,4484.0,,Northern Beaches (A)
Elderslie,Camden Council,6200.0,7267.0,,Camden (A)
Elizabeth Hills,Liverpool City,2642.0,,2772.0,Liverpool (C)
Emerton,Blacktown City,2315.0,2492.0,,Blacktown (C)
Enfield,"Burwood, City of Canada Bay and Strathfield Municipal councils",2940.0,2905.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Engadine,Sutherland Shire,17795.0,21780.0,,Sutherland Shire (A)
Enmore,Inner West Council area,4125.0,4173.0,,Inner West (A)
Epping,City of Parramatta,24708.0,,39245.0,Parramatta (C)
Ermington - Melrose Park,City of Parramatta,11022.0,,46631.0,Parramatta (C)
Eschol Park,Campbelltown City,2660.0,2665.0,,Campbelltown (C) (NSW)
Fairfield,Fairfield City,18601.0,29643.0,,Fairfield (C)
Fairfield City,Fairfield City,206436.0,245145.0,,Fairfield (C)
Fairfield East,Fairfield City,5444.0,6466.0,,Fairfield (C)
Fairfield Heights,Fairfield City,7797.0,9975.0,,Fairfield (C)
Fairfield West,Fairfield City,11994.0,11996.0,,Fairfield (C)
Fairlight,Northern Beaches Council area,6441.0,6932.0,,Northern Beaches (A)
Faulconbridge,Blue Mountains City,4137.0,4065.0,,Blue Mountains (C)
Five Dock - Canada Bay,"Burwood, City of Canada Bay and Strathfield Municipal councils",11177.0,16387.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Five Dock - Canada Bay,City of Canada Bay,11177.0,16387.0,,Canada Bay (A)
Forestville,Northern Beaches Council area,8729.0,9977.0,,Northern Beaches (A)
Frenchs Forest,Northern Beaches Council area,14135.0,20183.0,,Northern Beaches (A)
Freshwater,Northern Beaches Council area,9569.0,10516.0,,Northern Beaches (A)
Galston - Middle Dural,Hornsby Shire,3482.0,4326.0,,Hornsby (A)
Georges Hall,City of Canterbury Bankstown,9279.0,9828.0,,Canterbury-Bankstown (A)
Georges River Council area,Georges River Council area,153450.0,185346.0,,Georges River (A)
Girraween - Toongabbie,Cumberland Council area,7817.0,11306.0,,Cumberland (A)
Glebe Point Road,City of Sydney,24117.0,,27725.0,Sydney (C)
Glen Alpine,Campbelltown City,4960.0,5276.0,,Campbelltown (C) (NSW)
Glenbrook - Lapstone,Blue Mountains City,6172.0,6226.0,,Blue Mountains (C)
Glendenning,Blacktown City,5290.0,5056.0,,Blacktown (C)
Glenfield,Campbelltown City,9931.0,24880.0,,Campbelltown (C) (NSW)
Glenhaven,The Hills Shire,6363.0,6622.0,,The Hills Shire (A)
Glenwood,Blacktown City,16652.0,17299.0,,Blacktown (C)
Granville,Cumberland Council area,11282.0,12796.0,,Cumberland (A)
Granville (part) - Clyde,City of Parramatta,4828.0,,24799.0,Parramatta (C)
Grasmere - Ellis Lane - Cawdor - Bickley Vale - Cobbitty Hills,Camden Council,4083.0,4675.0,,Camden (A)
Grays Point,Sutherland Shire,3146.0,3074.0,,Sutherland Shire (A)
Green Square - City South,City of Sydney,32672.0,,82135.0,Sydney (C)
Green Square Renewal Area,City of Sydney,26599.0,,74188.0,Sydney (C)
Green Valley,Liverpool City,13031.0,,11390.0,Liverpool (C)
Greenacre - Mount Lewis - Chullora,City of Canterbury Bankstown,25274.0,30729.0,,Canterbury-Bankstown (A)
Greenfield Park,Fairfield City,5263.0,5126.0,,Fairfield (C)
Greystanes,Cumberland Council area,23690.0,25137.0,,Cumberland (A)
Guildford (East),Cumberland Council area,15180.0,18759.0,,Cumberland (A)
Guildford (West) - Yennora,Cumberland Council area,8173.0,9507.0,,Cumberland (A)
Guildford West - Woodpark - Smithfield,Cumberland Council area,6738.0,7226.0,,Cumberland (A)
Gymea,Sutherland Shire,7866.0,9048.0,,Sutherland Shire (A)
Gymea Bay,Sutherland Shire,7061.0,6945.0,,Sutherland Shire (A)
Haberfield,Inner West Council area,6779.0,6780.0,,Inner West (A)
Hammondville,Liverpool City,3642.0,,4135.0,Liverpool (C)
Harrington Park - Kirkham,Camden Council,12461.0,13359.0,,Camden (A)
Harris Park,City of Parramatta,6083.0,,6892.0,Parramatta (C)
Harris Street,City of Sydney,20036.0,,24893.0,Sydney (C)
Hassall Grove,Blacktown City,4633.0,4941.0,,Blacktown (C)
Hazelbrook,Blue Mountains City,5058.0,5145.0,,Blue Mountains (C)
Heathcote - Waterfall,Sutherland Shire,6702.0,7292.0,,Sutherland Shire (A)
Hebersham,Blacktown City,5857.0,5765.0,,Blacktown (C)
Heckenberg,Liverpool City,3160.0,,3145.0,Liverpool (C)
Hinchinbrook,Liverpool City,11698.0,,10426.0,Liverpool (C)
Holsworthy,Liverpool City,5691.0,,5469.0,Liverpool (C)
Homebush,"Burwood, City of Canada Bay and Strathfield Municipal councils",7949.0,20453.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Homebush West,"Burwood, City of Canada Bay and Strathfield Municipal councils",9032.0,12035.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Horningsea Park,Liverpool City,3812.0,,3821.0,Liverpool (C)
Hornsby,Hornsby Shire,23022.0,33243.0,,Hornsby (A)
Hornsby Balance,Hornsby Shire,22555.0,25661.0,,Hornsby (A)
Hornsby Heights,Hornsby Shire,6485.0,6562.0,,Hornsby (A)
Hornsby Shire,Hornsby Shire,147661.0,179582.0,,Hornsby (A)
Hornsby Town Centre,Hornsby Shire,467.0,7582.0,,Hornsby (A)
Horsley Park - Cecil Park,Fairfield City,2738.0,2726.0,,Fairfield (C)
Hoxton Park - Carnes Hill,Liverpool City,6674.0,,7235.0,Liverpool (C)
Hurlstone Park,City of Canterbury Bankstown,4470.0,5904.0,,Canterbury-Bankstown (A)
Hurstville (suburb),Georges River Council area,30994.0,40701.0,,Georges River (A)
Hurstville City Centre,Georges River Council area,7640.0,16176.0,,Georges River (A)
Hurstville Grove,Georges River Council area,2822.0,2954.0,,Georges River (A)
Hurstville Remainder,Georges River Council area,23354.0,24525.0,,Georges River (A)
Illawong,Sutherland Shire,7619.0,7704.0,,Sutherland Shire (A)
Ingleburn,Campbelltown City,15561.0,16993.0,,Campbelltown (C) (NSW)
Ingleside,Northern Beaches Council area,996.0,10415.0,,Northern Beaches (A)
Inner West Council area,Inner West Council area,192021.0,230667.0,,Inner West (A)
Jannali,Sutherland Shire,6323.0,7417.0,,Sutherland Shire (A)
Kareela,Sutherland Shire,3568.0,3567.0,,Sutherland Shire (A)
Katoomba - Medlow Bath,Blue Mountains City,8830.0,10481.0,,Blue Mountains (C)
Kearns,Campbelltown City,2818.0,2724.0,,Campbelltown (C) (NSW)
Kellyville,The Hills Shire,28710.0,65890.0,,The Hills Shire (A)
Kenthurst,The Hills Shire,5189.0,5477.0,,The Hills Shire (A)
Killarney Heights,Northern Beaches Council area,4598.0,5227.0,,Northern Beaches (A)
King Street,City of Sydney,21878.0,,32040.0,Sydney (C)
Kings Langley,Blacktown City,9627.0,9900.0,,Blacktown (C)
Kings Park,Blacktown City,3581.0,3804.0,,Blacktown (C)
Kingsgrove,City of Canterbury Bankstown,6531.0,6478.0,,Canterbury-Bankstown (A)
Kingsgrove,Georges River Council area,3793.0,4246.0,,Georges River (A)
Kirrawee,Sutherland Shire,9409.0,13680.0,,Sutherland Shire (A)
Kirribilli,North Sydney Council area,4076.0,4328.0,,North Sydney (A)
Kogarah,Georges River Council area,6811.0,10901.0,,Georges River (A)
Kogarah Bay - Carss Park,Georges River Council area,3520.0,3856.0,,Georges River (A)
Kurnell,Sutherland Shire,2371.0,2339.0,,Sutherland Shire (A)
Lakemba,City of Canterbury Bankstown,18031.0,22296.0,,Canterbury-Bankstown (A)
Lalor Park,Blacktown City,7799.0,8403.0,,Blacktown (C)
Lansvale,Fairfield City,2695.0,2735.0,,Fairfield (C)
Lawson - Bullaburra,Blue Mountains City,3902.0,4158.0,,Blue Mountains (C)
Leichhardt,Inner West Council area,15514.0,23307.0,,Inner West (A)
Leppington - Denham Court,Liverpool City,1396.0,,6464.0,Liverpool (C)
Leppington North - Leppington Precincts,Camden Council,1139.0,26301.0,,Camden (A)
Lethbridge Park,Blacktown City,4886.0,5293.0,,Blacktown (C)
Leumeah,Campbelltown City,10136.0,11309.0,,Campbelltown (C) (NSW)
Leura,Blue Mountains City,4783.0,5082.0,,Blue Mountains (C)
Lewisham,Inner West Council area,3383.0,5940.0,,Inner West (A)
Liberty Grove,"Burwood, City of Canada Bay and Strathfield Municipal councils",2373.0,2228.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Liberty Grove,City of Canada Bay,2373.0,2228.0,,Canada Bay (A)
Lidcombe (North),Cumberland Council area,10499.0,17895.0,,Cumberland (A)
Lidcombe (South) - Rookwood,Cumberland Council area,9963.0,13565.0,,Cumberland (A)
Lilyfield,Inner West Council area,8088.0,8026.0,,Inner West (A)
Liverpool,Liverpool City,28597.0,,52822.0,Liverpool (C)
Liverpool City,Liverpool City,212232.0,,386646.0,Liverpool (C)
Loftus,Sutherland Shire,4243.0,4291.0,,Sutherland Shire (A)
Lowes Creek Precinct,Camden Council,510.0,19506.0,,Camden (A)
Lugarno,Georges River Council area,5803.0,6222.0,,Georges River (A)
Lurnea,Liverpool City,9496.0,,9126.0,Liverpool (C)
Macleay Street - Woolloomooloo,City of Sydney,22805.0,,24064.0,Sydney (C)
Macquarie Fields - Macquarie Links,Campbelltown City,15517.0,16267.0,,Campbelltown (C) (NSW)
Manly,Northern Beaches Council area,17288.0,19640.0,,Northern Beaches (A)
Manly (Eastern Hill),Northern Beaches Council area,5523.0,5692.0,,Northern Beaches (A)
Manly (Pittwater Road),Northern Beaches Council area,8688.0,9710.0,,Northern Beaches (A)
Manly (Town Centre),Northern Beaches Council area,3077.0,4237.0,,Northern Beaches (A)
Manly Vale,Northern Beaches Council area,6429.0,7716.0,,Northern Beaches (A)
Marayong,Blacktown City,7906.0,8615.0,,Blacktown (C)
Marrickville (North),Inner West Council area,17255.0,19460.0,,Inner West (A)
Marrickville (South),Inner West Council area,10745.0,18125.0,,Inner West (A)
Marrickville (Suburb),Inner West Council area,28000.0,37585.0,,Inner West (A)
Marsden Park - Shanes Park,Blacktown City,1249.0,32521.0,,Blacktown (C)
Marsden Park North - Riverstone West,Blacktown City,577.0,14478.0,,Blacktown (C)
Maryland Precinct,Camden Council,12.0,18950.0,,Camden (A)
McMahons Point,North Sydney Council area,2495.0,2644.0,,North Sydney (A)
Menai - Sandy Point,Sutherland Shire,11205.0,11133.0,,Sutherland Shire (A)
Menangle - Razorback,Wollondilly Shire,2283.0,,3208.0,Wollondilly (A)
Menangle Park,Campbelltown City,259.0,10818.0,,Campbelltown (C) (NSW)
Merrylands - Holroyd,Cumberland Council area,32507.0,48895.0,,Cumberland (A)
Merrylands West,Cumberland Council area,6844.0,7805.0,,Cumberland (A)
Middle Harbour,Mosman Council area,8249.0,8778.0,,Mosman (A)
Middle Head - Georges Heights - Clifton Gardens,Mosman Council area,2432.0,2388.0,,Mosman (A)
Middleton Grange,Liverpool City,5358.0,,8132.0,Liverpool (C)
Miller,Liverpool City,3252.0,,5620.0,Liverpool (C)
Milperra,City of Canterbury Bankstown,4041.0,5947.0,,Canterbury-Bankstown (A)
Milsons Point - Lavender Bay,North Sydney Council area,3300.0,4417.0,,North Sydney (A)
Minchinbury,Blacktown City,5765.0,5936.0,,Blacktown (C)
Minto,Campbelltown City,12856.0,14845.0,,Campbelltown (C) (NSW)
Miranda,Sutherland Shire,16137.0,23582.0,,Sutherland Shire (A)
Mona Vale,Northern Beaches Council area,10936.0,11187.0,,Northern Beaches (A)
Moorebank,Liverpool City,10814.0,,24417.0,Liverpool (C)
Mortdale,Georges River Council area,10768.0,11781.0,,Georges River (A)
Mortlake - Breakfast Point,"Burwood, City of Canada Bay and Strathfield Municipal councils",5495.0,8665.0,,"Burwood, Canada Bay (A) and Strathfield Municipal councils"
Mortlake - Breakfast Point,City of Canada Bay,5495.0,8665.0,,Canada Bay (A)
Mosman Bay,Mosman Council area,5323.0,5200.0,,Mosman (A)
Mosman Central,Mosman Council area,5842.0,6749.0,,Mosman (A)
Mosman Council area,Mosman Council area,30489.0,32125.0,,Mosman (A)
Mosman Junction,Mosman Council area,2873.0,3151.0,,Mosman (A)
Mount Annan,Camden Council,11968.0,10642.0,,Camden (A)
Mount Colah - Mount Kuring-gai,Hornsby Shire,9148.0,11011.0,,Hornsby (A)
Mount Druitt,Blacktown City,17219.0,21860.0,,Blacktown (C)
Mount Gilead,Campbelltown City,285.0,7197.0,,Campbelltown (C) (NSW)
Mount Pritchard,Fairfield City,9837.0,10108.0,,Fairfield (C)
Mount Riverview,Blue Mountains City,3094.0,3082.0,,Blue Mountains (C)
Narellan - Smeaton Grange,Camden Council,3756.0,5320.0,,Camden (A)
Narellan Vale,Camden Council,7381.0,6713.0,,Camden (A)
Naremburn,Willoughby City,6195.0,7019.0,,Willoughby (C)
Narrabeen,Northern Beaches Council area,8538.0,10516.0,,Northern Beaches (A)
Narraweena,Northern Beaches Council area,6755.0,7972.0,,Northern Beaches (A)
