TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"4209",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"635","851",,,Hawkesbury (C),,,"3494","3740","13800","4209",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4210",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"407","625",,,Hawkesbury (C),,,"1375","1562","13800","4210",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4211",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"535","768",,,Hawkesbury (C),,,"2337","3458","13800","4211",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4212",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"508","687",,,Hawkesbury (C),,,"1450","1477","13800","4212",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4213",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"287","442",,,Hawkesbury (C),,,"3356","4461","13800","4213",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4214",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"470","726",,,Hawkesbury (C),,,"1559","1604","13800","4214",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4400",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"426","839",,,Hawkesbury (C),,,"2999","4692","13800","4400",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4401",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"411","767",,,Hawkesbury (C),,,"1540","1510","13800","4401",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4402",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"297","591",,,Hawkesbury (C),,,"385","394","13800","4402",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4404",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"548","1119",,,Hawkesbury (C),,,"2692","4465","13800","4404",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"4405",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"805","1607",,,Hawkesbury (C),,,"1685","1655","13800","4405",Rural,Rural_Hawkesbury (C),,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
