TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056
"4554",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"131","244"
"4546",Hornsby (A),"14000",OutWSPP,OutWSPP,"245","424"
"4548",Hornsby (A),"14000",OutWSPP,OutWSPP,"410","822"
"4551",Hornsby (A),"14000",OutWSPP,OutWSPP,"1018","1970"
"4499",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"58","136"
"4511",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"117","208"
"4526",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"364","899"
"4528",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"328","634"
"4529",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"290","556"
"4530",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"999","1731"
"4531",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"169","300"
"4533",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"4035","9476"
"4544",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"92","216"
"4536",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1647","4065"
"4537",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"271","518"
"4538",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"92","171"
"4540",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"291","534"
"4541",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"225","418"
"4542",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"101","177"
"4569",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"288","517"
"4570",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"315","568"
"4545",Hornsby (A),"14000",OutWSPP,OutWSPP,"327","605"
"4547",Hornsby (A),"14000",OutWSPP,OutWSPP,"1079","1951"
"4549",Hornsby (A),"14000",OutWSPP,OutWSPP,"318","598"
"4550",Hornsby (A),"14000",OutWSPP,OutWSPP,"297","571"
"4552",Hornsby (A),"14000",OutWSPP,OutWSPP,"307","575"
"4553",Hornsby (A),"14000",OutWSPP,OutWSPP,"204","386"
"4573",Hornsby (A),"14000",OutWSPP,OutWSPP,"81","153"
"4574",Hornsby (A),"14000",OutWSPP,OutWSPP,"101","192"
"4582",Hornsby (A),"14000",OutWSPP,OutWSPP,"44","85"
"4584",Hornsby (A),"14000",OutWSPP,OutWSPP,"15","31"
"4559",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"67","123"
"4560",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"89","269"
"4561",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"224","401"
"4562",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"785","1506"
"4563",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"496","897"
"4564",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"391","705"
"4565",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"170","289"
"4566",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1051","1811"
"4567",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"296","502"
"4568",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"231","699"
"4571",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"22","783"
"4572",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"38","63"
"4580",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"125","379"
"4581",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"68","207"
"4583",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"51","1817"
"4585",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"71","119"
"4300",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"590","765"
"4301",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"279","405"
"4302",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1058","1431"
"4303",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"216","297"
"4304",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"758","1136"
"4305",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"469","622"
"4306",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"406","593"
"4307",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"435","641"
"4308",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"865","1434"
"4309",Hornsby (A),"14000",OutWSPP,OutWSPP,"721","1017"
"4310",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1584","2649"
"4311",Hornsby (A),"14000",OutWSPP,OutWSPP,"2590","3755"
"4312",Hornsby (A),"14000",OutWSPP,OutWSPP,"153","238"
"4315",Hornsby (A),"14000",OutWSPP,OutWSPP,"138","202"
"4316",Hornsby (A),"14000",OutWSPP,OutWSPP,"643","925"
"4317",Hornsby (A),"14000",OutWSPP,OutWSPP,"1215","1865"
"4200",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"371","527"
"4201",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"76","122"
"4202",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"172","237"
"4205",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"557","734"
"4206",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"359","506"
"4207",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"332","436"
"4208",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"373","585"
"4209",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"635","851"
"4210",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"407","625"
"4211",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"535","768"
"4212",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"508","687"
"4213",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"287","442"
"4214",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"470","726"
"4400",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"426","839"
"4401",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"411","767"
"4402",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"297","591"
"4403",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"226","485"
"4404",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"548","1119"
"4405",Hawkesbury (C),"13800",Rural,Rural_Hawkesbury (C),"805","1607"
"4406",Hawkesbury (C),"13800",Established,Established_Hawkesbury (C),"2964","5406"
"4407",Hawkesbury (C),"13800",NWGA,Vineyard Stage 2,"404","588"
"4408",Hawkesbury (C),"13800",NWGA,Vineyard Stage 1,"133","265"
"4423",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"24","453"
"4424",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"143","324"
"4425",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"33","74"
"4426",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"52","983"
"4427",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"149","363"
"4428",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"37","851"
"4429",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"32","5975"
"4430",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"120","987"
"4431",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"70","5483"
"4432",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"671","1669"
"4433",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1428","3649"
"4434",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"142","751"
"4435",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"180","499"
"4436",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"39","154"
"4437",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"162","425"
"4438",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"778","2211"
"4439",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"350","845"
"4440",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"297","889"
"4441",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"272","743"
"4442",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"156","417"
"4443",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"66","349"
"4444",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"1563","6221"
"4449",The Hills Shire (A),"17420",OutWSPP,OutWSPP,"8","20"
"4100",Blacktown (C),"10750",Established,Established_Blacktown (C),"226","395"
"4101",Blacktown (C),"10750",Marayong,Marayong,"5219","7039"
"4102",Blacktown (C),"10750",Established,Established_Blacktown (C),"187","361"
"4103",Blacktown (C),"10750",Blacktown,Blacktown,"5543","7797"
"4104",Blacktown (C),"10750",Established,Established_Blacktown (C),"394","809"
"4105",Blacktown (C),"10750",Blacktown,Blacktown,"569","1128"
"4106",Blacktown (C),"10750",Established,Established_Blacktown (C),"165","307"
"4107",Blacktown (C),"10750",Blacktown,Blacktown,"3684","6956"
"4108",Blacktown (C),"10750",Blacktown,Blacktown,"606","1318"
"4109",Blacktown (C),"10750",Blacktown,Blacktown,"2693","6175"
"4110",Blacktown (C),"10750",Blacktown,Blacktown,"331","610"
"4111",Blacktown (C),"10750",Blacktown,Blacktown,"639","1267"
"4112",Blacktown (C),"10750",Blacktown,Blacktown,"3591","6780"
"4113",Blacktown (C),"10750",Established,Established_Blacktown (C),"581","859"
"4114",Blacktown (C),"10750",Established,Established_Blacktown (C),"458","583"
"4115",Blacktown (C),"10750",Established,Established_Blacktown (C),"369","508"
"4116",Blacktown (C),"10750",Established,Established_Blacktown (C),"38","42"
"4117",Blacktown (C),"10750",Established,Established_Blacktown (C),"304","388"
"4118",Blacktown (C),"10750",Established,Established_Blacktown (C),"364","469"
"4132",Blacktown (C),"10750",Established,Established_Blacktown (C),"384","565"
"4133",Blacktown (C),"10750",Established,Established_Blacktown (C),"522","677"
"4134",Blacktown (C),"10750",Doonside,Doonside,"391","558"
"4135",Blacktown (C),"10750",Established,Established_Blacktown (C),"26","34"
"4136",Blacktown (C),"10750",Doonside,Doonside,"630","968"
"4137",Blacktown (C),"10750",Established,Established_Blacktown (C),"67","88"
"4138",Blacktown (C),"10750",Established,Established_Blacktown (C),"185","241"
"4140",Blacktown (C),"10750",Established,Established_Blacktown (C),"738","869"
"4141",Blacktown (C),"10750",Established,Established_Blacktown (C),"226","274"
"4142",Blacktown (C),"10750",Established,Established_Blacktown (C),"296","353"
"4143",Blacktown (C),"10750",Established,Established_Blacktown (C),"337","406"
"4144",Blacktown (C),"10750",Established,Established_Blacktown (C),"182","225"
"4145",Blacktown (C),"10750",Established,Established_Blacktown (C),"400","468"
"4146",Blacktown (C),"10750",Established,Established_Blacktown (C),"292","344"
"4147",Blacktown (C),"10750",Established,Established_Blacktown (C),"488","551"
"4148",Blacktown (C),"10750",Established,Established_Blacktown (C),"25","29"
"4149",Blacktown (C),"10750",Seven Hills,Seven Hills,"4417","4817"
"4150",Blacktown (C),"10750",Seven Hills,Seven Hills,"2133","2270"
"4151",Blacktown (C),"10750",Seven Hills,Seven Hills,"6910","7570"
"4154",Blacktown (C),"10750",Seven Hills,Seven Hills,"935","1373"
"4155",Blacktown (C),"10750",Seven Hills,Seven Hills,"993","1586"
"4156",Blacktown (C),"10750",Established,Established_Blacktown (C),"22","35"
"4157",Blacktown (C),"10750",Established,Established_Blacktown (C),"1133","1811"
"4158",Blacktown (C),"10750",Established,Established_Blacktown (C),"379","579"
"4159",Blacktown (C),"10750",Established,Established_Blacktown (C),"12","20"
"4160",Blacktown (C),"10750",Established,Established_Blacktown (C),"1129","2410"
"4161",Blacktown (C),"10750",Established,Established_Blacktown (C),"297","466"
"4162",Blacktown (C),"10750",Established,Established_Blacktown (C),"1582","1945"
"4163",Blacktown (C),"10750",Established,Established_Blacktown (C),"1504","1874"
"4125",Blacktown (C),"10750",Established,Established_Blacktown (C),"349","393"
"4126",Blacktown (C),"10750",Established,Established_Blacktown (C),"277","320"
"4128",Blacktown (C),"10750",Established,Established_Blacktown (C),"253","279"
"4129",Blacktown (C),"10750",Established,Established_Blacktown (C),"324","414"
"4119",Blacktown (C),"10750",Established,Established_Blacktown (C),"159","178"
"4120",Blacktown (C),"10750",Established,Established_Blacktown (C),"72","86"
"4121",Blacktown (C),"10750",Established,Established_Blacktown (C),"171","165"
"4122",Blacktown (C),"10750",Established,Established_Blacktown (C),"275","307"
"4123",Blacktown (C),"10750",Established,Established_Blacktown (C),"15","17"
"4124",Blacktown (C),"10750",Established,Established_Blacktown (C),"843","1009"
"4127",Blacktown (C),"10750",Established,Established_Blacktown (C),"286","363"
"3900",Blacktown (C),"10750",Established,Established_Blacktown (C),"771","1852"
"3901",Blacktown (C),"10750",Established,Established_Blacktown (C),"643","1563"
"3902",Blacktown (C),"10750",Established,Established_Blacktown (C),"348","812"
"3903",Blacktown (C),"10750",Established,Established_Blacktown (C),"258","623"
"3905",Blacktown (C),"10750",Established,Established_Blacktown (C),"7","28"
"3906",Blacktown (C),"10750",Established,Established_Blacktown (C),"389","1583"
"3907",Blacktown (C),"10750",Established,Established_Blacktown (C),"255","716"
"3908",Blacktown (C),"10750",Established,Established_Blacktown (C),"498","1652"
"3909",Blacktown (C),"10750",Established,Established_Blacktown (C),"442","1148"
"3910",Blacktown (C),"10750",Established,Established_Blacktown (C),"162","471"
"3911",Blacktown (C),"10750",NWGA,Alex Avenue,"74","219"
"3912",Blacktown (C),"10750",Established,Established_Blacktown (C),"217","665"
"3913",Blacktown (C),"10750",Established,Established_Blacktown (C),"173","506"
"3914",Blacktown (C),"10750",Established,Established_Blacktown (C),"117","341"
"3915",Blacktown (C),"10750",Established,Established_Blacktown (C),"1436","3182"
"3916",Blacktown (C),"10750",Established,Established_Blacktown (C),"355","808"
"3917",Blacktown (C),"10750",Established,Established_Blacktown (C),"203","464"
"3919",Blacktown (C),"10750",Established,Established_Blacktown (C),"171","509"
"3918",Blacktown (C),"10750",NWGA,Alex Avenue,"7","250"
"3931",Blacktown (C),"10750",NWGA,Marsden Park North,"44","881"
"3933",Blacktown (C),"10750",NWGA,Riverstone,"113","529"
"3934",Blacktown (C),"10750",NWGA,Riverstone West,"65","334"
"3935",Blacktown (C),"10750",NWGA,Riverstone,"2082","4231"
"3936",Blacktown (C),"10750",NWGA,Marsden Park North,"54","747"
"3937",Blacktown (C),"10750",NWGA,Riverstone West,"18","2462"
"3938",Blacktown (C),"10750",NWGA,Riverstone East Stage 1- 2,"210","527"
"3939",Blacktown (C),"10750",NWGA,Riverstone East Stage 3,"145","362"
"3940",Blacktown (C),"10750",NWGA,Riverstone,"516","1169"
"3941",Blacktown (C),"10750",NWGA,Riverstone,"282","740"
"3942",Blacktown (C),"10750",NWGA,Marsden Park North,"45","591"
"3943",Blacktown (C),"10750",NWGA,Riverstone East Stage 3,"121","303"
"3944",Blacktown (C),"10750",NWGA,Riverstone,"561","1010"
"3945",Blacktown (C),"10750",NWGA,Marsden Park North,"15","603"
"3946",Blacktown (C),"10750",NWGA,Riverstone,"140","391"
"3947",Blacktown (C),"10750",NWGA,Marsden Park,"19","621"
"3948",Blacktown (C),"10750",NWGA,Riverstone East Stage 1- 2,"63","1103"
"3949",Blacktown (C),"10750",NWGA,Tallawong Station,"96","237"
"3950",Blacktown (C),"10750",NWGA,Marsden Park,"27","1313"
"3951",Blacktown (C),"10750",NWGA,West Schofields,"118","265"
"3952",Blacktown (C),"10750",NWGA,Riverstone,"59","165"
"3953",Blacktown (C),"10750",NWGA,Riverstone,"122","937"
"3954",Blacktown (C),"10750",NWGA,Marsden Park North,"15","1310"
"3955",Blacktown (C),"10750",NWGA,West Schofields,"79","177"
"3956",Blacktown (C),"10750",NWGA,Marsden Park,"33","1657"
"3957",Blacktown (C),"10750",NWGA,Schofields,"76","173"
"3958",Blacktown (C),"10750",NWGA,Alex Avenue,"375","1240"
"3959",Blacktown (C),"10750",NWGA,Alex Avenue,"316","622"
"3960",Blacktown (C),"10750",NWGA,Alex Avenue,"6","212"
"3961",Blacktown (C),"10750",NWGA,Marsden Park,"22","2738"
"3962",Blacktown (C),"10750",NWGA,Marsden Park Industrial,"79","5542"
"3963",Blacktown (C),"10750",NWGA,Schofields,"126","305"
"3964",Blacktown (C),"10750",NWGA,West Schofields,"102","238"
"3965",Blacktown (C),"10750",NWGA,Shanes Park,"197","414"
"3966",Blacktown (C),"10750",NWGA,Marsden Park,"23","492"
"3967",Blacktown (C),"10750",NWGA,Marsden Park,"25","1108"
"3968",Blacktown (C),"10750",NWGA,Marsden Park Industrial,"994","11891"
"3969",Blacktown (C),"10750",NWGA,Schofields,"179","412"
"3970",Blacktown (C),"10750",NWGA,Colebee,"43","1284"
"3971",Blacktown (C),"10750",NWGA,Riverstone East Stage 1- 2,"58","1111"
"3972",Blacktown (C),"10750",NWGA,Riverstone,"55","901"
"3973",Blacktown (C),"10750",NWGA,Tallawong Station,"40","99"
"3974",Blacktown (C),"10750",NWGA,Riverstone,"61","170"
"3930",Blacktown (C),"10750",Established,Established_Blacktown (C),"289","721"
"3920",Blacktown (C),"10750",Established,Established_Blacktown (C),"330","934"
"3921",Blacktown (C),"10750",Established,Established_Blacktown (C),"190","576"
"3922",Blacktown (C),"10750",Established,Established_Blacktown (C),"221","900"
"3923",Blacktown (C),"10750",Established,Established_Blacktown (C),"178","519"
"3924",Blacktown (C),"10750",Established,Established_Blacktown (C),"381","1019"
"3925",Blacktown (C),"10750",NWGA,Schofields,"132","352"
"3926",Blacktown (C),"10750",Quakers Hill,Quakers Hill,"424","1349"
"3927",Blacktown (C),"10750",Quakers Hill,Quakers Hill,"320","842"
"3928",Blacktown (C),"10750",Established,Established_Blacktown (C),"480","1273"
"3929",Blacktown (C),"10750",Established,Established_Blacktown (C),"163","393"
"4000",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"344","564"
"4001",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"161","231"
"4002",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"93","136"
"4003",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"634","860"
"4004",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"233","347"
"4005",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"199","307"
"4008",Blacktown (C),"10750",Established,Established_Blacktown (C),"357","558"
"4009",Blacktown (C),"10750",Established,Established_Blacktown (C),"238","353"
"4010",Blacktown (C),"10750",Established,Established_Blacktown (C),"218","330"
"4011",Blacktown (C),"10750",Established,Established_Blacktown (C),"2934","4132"
"4012",Blacktown (C),"10750",Established,Established_Blacktown (C),"2488","3527"
"4015",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"379","564"
"4016",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"192","284"
"4017",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"169","257"
"4018",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"92","136"
"4019",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"1161","1660"
"4020",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"213","309"
"4021",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"227","321"
"4024",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"19","24"
"4025",Blacktown (C),"10750",Ropes Crossing,Ropes Crossing,"44","47"
"4026",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"277","445"
"4027",Blacktown (C),"10750",Ropes Crossing,Ropes Crossing,"508","687"
"4028",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"177","264"
"4029",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"251","361"
"4032",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"186","331"
"4033",Blacktown (C),"10750",Mount Druitt,Mount Druitt,"283","500"
"4034",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"291","508"
"4035",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"243","409"
"4036",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"1564","2500"
"4037",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"2856","4603"
"4038",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"1647","2849"
"4039",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"664","1110"
"4040",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"251","402"
"4043",Blacktown (C),"10750",Established,Established_Blacktown (C),"6414","8574"
"4044",Blacktown (C),"10750",Established,Established_Blacktown (C),"6166","8625"
"4045",Blacktown (C),"10750",WSEA,Western Sydney Employment Area,"8038","21028"
"4046",Blacktown (C),"10750",WS Parkland,WS Parkland,"1495","2075"
"4047",Blacktown (C),"10750",WS Parkland,WS Parkland,"0","0"
"4048",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"852","1308"
"4049",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"243","358"
"4050",Blacktown (C),"10750",Established,Established_Blacktown (C),"900","1294"
"4051",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"1597","2510"
"4052",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"59","83"
"4053",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"270","420"
"4054",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"5","8"
"4055",Blacktown (C),"10750",Established,Established_Blacktown (C),"382","569"
"4056",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"6128","7566"
"4057",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"333","491"
"4058",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"22","29"
"4059",Blacktown (C),"10750",Mount Druitt Centre and Rooty Hill,Mount Druitt Centre and Rooty Hill,"566","1341"
"4060",Blacktown (C),"10750",Established,Established_Blacktown (C),"1103","2360"
"400",Botany Bay (C),"11100",OutWSPP,OutWSPP,"3083","3425"
"401",Botany Bay (C),"11100",OutWSPP,OutWSPP,"3166","3877"
"402",Botany Bay (C),"11100",OutWSPP,OutWSPP,"707","1215"
"405",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2929","4379"
"406",Botany Bay (C),"11100",OutWSPP,OutWSPP,"322","500"
"407",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2607","3269"
"408",Botany Bay (C),"11100",OutWSPP,OutWSPP,"2948","4012"
"409",Botany Bay (C),"11100",OutWSPP,OutWSPP,"14095","18281"
"410",Botany Bay (C),"11100",OutWSPP,OutWSPP,"7977","10347"
"411",Botany Bay (C),"11100",OutWSPP,OutWSPP,"795","1031"
"412",Botany Bay (C),"11100",OutWSPP,OutWSPP,"715","1372"
"413",Botany Bay (C),"11100",OutWSPP,OutWSPP,"256","404"
"414",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1830","2827"
"415",Botany Bay (C),"11100",OutWSPP,OutWSPP,"494","902"
"416",Botany Bay (C),"11100",OutWSPP,OutWSPP,"849","1608"
"417",Botany Bay (C),"11100",OutWSPP,OutWSPP,"959","1407"
"418",Botany Bay (C),"11100",OutWSPP,OutWSPP,"127","196"
"420",Botany Bay (C),"11100",OutWSPP,OutWSPP,"411","935"
"421",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1043","1632"
"422",Botany Bay (C),"11100",OutWSPP,OutWSPP,"513","662"
"423",Botany Bay (C),"11100",OutWSPP,OutWSPP,"126","236"
"424",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1112","1549"
"425",Botany Bay (C),"11100",OutWSPP,OutWSPP,"199","346"
"426",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1564","2918"
"428",Randwick (C),"16550",OutWSPP,OutWSPP,"1042","1338"
"429",Randwick (C),"16550",OutWSPP,OutWSPP,"2506","3339"
"430",Randwick (C),"16550",OutWSPP,OutWSPP,"1808","2053"
