MB_CODE16,area,AREASQKM16,LandType,district,2056_pop,2056_job,height,ratio
,"10309",0.0103,,uniform,"468","134",5.000,0.0071
,"10372",0.0104,,uniform,"376","108",4.000,0.0057
,"9626",0.0096,,uniform,"303","87",3.500,0.0046
,"16346",0.0163,,uniform,"963","276",6.500,0.0146
,"6045",0.0060,,uniform,"112","32",2.000,0.0017
,"8209",0.0082,,uniform,"224","64",3.000,0.0034
,"16346",0.0163,,uniform,"963","276",6.500,0.0146
,"3881",0.0039,,uniform,"33","9",1.000,0.0005
,"6045",0.0060,,uniform,"112","32",2.000,0.0017
,"10372",0.0104,,uniform,"376","108",4.000,0.0057
