MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value,W60_value,A30_value
"10477880000",150.9649863000,-33.9114157000,"336","4499","56",CHIPPING NORTON,"336","11765","1257591"
"10477890000",150.9550047000,-33.9300260000,"3145","73394","60",MOOREBANK,"1491","29910","1630064"
"10477920000",150.9326447000,-33.9080761000,"466","55252","144",WARWICK FARM,"466","70388","1264171"
"10477940000",150.9312487000,-33.9155330000,"20090","80395","227",WARWICK FARM,"20062","79052","1413681"
"10477950000",150.9299609000,-33.9154632000,"29320","79695","186",WARWICK FARM,"27435","77574","1436981"
"10477960000",150.9305931000,-33.9155042000,"26200","86403","121",WARWICK FARM,"24461","78748","1412466"
"10477970000",150.9300225000,-33.9151416000,"25337","83805","126",WARWICK FARM,"25908","78932","1443703"
"10477980000",150.9306470000,-33.9152090000,"21762","85784","266",WARWICK FARM,"20023","78774","1417232"
"10477990000",150.9265450000,-33.9166414000,"31784","87228","355",LIVERPOOL,"29263","76622","1491637"
"10478010000",150.9297935000,-33.9159079000,"29452","83412","116",WARWICK FARM,"27652","79202","1440355"
"10478020000",150.9304792000,-33.9144296000,"4160","83281","235",WARWICK FARM,"4135","78099","1471498"
"10478030000",150.9304383000,-33.9159184000,"28591","82920","150",WARWICK FARM,"26801","80527","1418261"
"10478060000",150.9132233000,-33.9175039000,"26294","88549","64",LIVERPOOL,"2122","80391","1590106"
"10478070000",150.9159468000,-33.9174802000,"26423","84276","51",LIVERPOOL,"10446","76792","1590757"
"10478100000",150.9266255000,-33.9177687000,"32853","95407","119",LIVERPOOL,"31717","77899","1492482"
"10478110000",150.9262062000,-33.9172897000,"31048","87205","148",LIVERPOOL,"30304","76869","1496000"
"10478120000",150.9295960000,-33.9171787000,"30228","82671","70",LIVERPOOL,"28377","78717","1434730"
"10478130000",150.9296675000,-33.9168921000,"29507","80086","102",LIVERPOOL,"27618","77725","1437720"
"10478140000",150.9197098000,-33.9198077000,"25432","101204","191",LIVERPOOL,"22235","77548","1668718"
"10478150000",150.9205815000,-33.9181991000,"22585","89867","176",LIVERPOOL,"21918","77804","1571315"
"10478160000",150.9206401000,-33.9178967000,"22780","90741","170",LIVERPOOL,"22206","79026","1581225"
"10478170000",150.9191782000,-33.9226003000,"28911","111482","109",LIVERPOOL,"24243","77510","1640627"
"10478190000",150.9200048000,-33.9212028000,"28749","113249","141",LIVERPOOL,"23685","77609","1627088"
"10478200000",150.9206873000,-33.9206963000,"42941","127207","125",LIVERPOOL,"38534","81056","1607182"
"10478210000",150.9196091000,-33.9203610000,"24478","95775","111",LIVERPOOL,"21921","77167","1634950"
"10478220000",150.9190297000,-33.9233014000,"18858","95975","129",LIVERPOOL,"17741","75796","1661361"
"10478230000",150.9192247000,-33.9250051000,"20869","97330","72",LIVERPOOL,"19691","76429","1644094"
"10478240000",150.9171437000,-33.9236355000,"14367","92098","305",LIVERPOOL,"13230","77377","1664390"
"10478250000",150.9164411000,-33.9235280000,"10800","75117","385",LIVERPOOL,"10526","79376","1639701"
"10478260000",150.9155012000,-33.9235917000,"12318","81197","184",LIVERPOOL,"12070","80307","1649209"
"10478270000",150.9173720000,-33.9227032000,"23157","140446","389",LIVERPOOL,"19440","77891","1647918"
"10478280000",150.9155561000,-33.9232861000,"13023","72104","150",LIVERPOOL,"10632","78801","1634732"
"10478290000",150.9302299000,-33.9172790000,"26316","82194","113",LIVERPOOL,"24526","78526","1397227"
"10478300000",150.9314957000,-33.9160842000,"26440","84479","152",WARWICK FARM,"24612","80416","1393818"
"10478310000",150.9185521000,-33.9250051000,"19265","94961","293",LIVERPOOL,"18062","77681","1665740"
"10478320000",150.9191748000,-33.9252733000,"20964","94349","94",LIVERPOOL,"19514","72787","1645263"
"10478330000",150.9183302000,-33.9258024000,"17340","87835","104",LIVERPOOL,"16262","74649","1687592"
"10478340000",150.9189700000,-33.9260050000,"23107","93812","94",LIVERPOOL,"21921","73949","1648995"
"10478350000",150.9190913000,-33.9257650000,"21018","95296","80",LIVERPOOL,"19582","73946","1656104"
"10478360000",150.9241339000,-33.9277802000,"14207","88157","125",LIVERPOOL,"14206","72764","1602910"
"10478380000",150.9246800000,-33.9271095000,"34151","122236","182",LIVERPOOL,"32602","77290","1628390"
"10478400000",150.9244727000,-33.9312604000,"2007","51449","133",LIVERPOOL,"1818","68280","1588167"
"10478410000",150.9237792000,-33.9312113000,"4120","66272","154",LIVERPOOL,"4120","69341","1607346"
"10478420000",150.9249941000,-33.9303788000,"3888","58729","769",LIVERPOOL,"3888","69619","1571248"
"10478430000",150.9231269000,-33.9289936000,"8683","77045","121",LIVERPOOL,"8683","70088","1588554"
"10478440000",150.9226303000,-33.9296529000,"11226","79070","225",LIVERPOOL,"11226","71741","1614156"
"10478450000",150.9243935000,-33.9274279000,"20232","119016","182",LIVERPOOL,"18562","76137","1607780"
"10478460000",150.9257551000,-33.9284130000,"14275","100117","617",LIVERPOOL,"14275","72461","1576014"
"10478480000",150.9233015000,-33.9287725000,"14188","97199","115",LIVERPOOL,"14188","71694","1585738"
"10478490000",150.9216426000,-33.9286959000,"11895","79469","96",LIVERPOOL,"11834","70928","1635375"
"10478500000",150.9219103000,-33.9284257000,"14208","88759","139",LIVERPOOL,"14208","72290","1635472"
"10478510000",150.9203472000,-33.9290899000,"11462","70369","82",LIVERPOOL,"11462","70770","1675119"
"10478520000",150.9221936000,-33.9281302000,"15316","90934","104",LIVERPOOL,"15254","72315","1618602"
"10478540000",150.9217029000,-33.9276334000,"15232","90467","72",LIVERPOOL,"15231","71920","1607973"
"10478550000",150.9219495000,-33.9274676000,"15665","90429","64",LIVERPOOL,"15586","72283","1586633"
"10478560000",150.9123969000,-33.9367827000,"2050","60035","121",LIVERPOOL,"1791","67900","1396670"
"10478610000",150.8923913000,-33.9523254000,"2183","63601","46",CASULA,"1728","29936","1359871"
"10478620000",150.8768094000,-33.9124971000,"4981","73113","86",BUSBY,"2044","38993","1284860"
"10478630000",150.8755212000,-33.9130955000,"8219","83548","148",BUSBY,"2257","39451","1322613"
"10478660000",150.8849344000,-33.9038729000,"1152","41408","145",HECKENBERG,"961","39050","1403894"
"10478670000",150.8863845000,-33.9041152000,"970","15697","130",HECKENBERG,"833","40458","1368619"
"10478680000",150.8856761000,-33.9054871000,"1633","64252","0",HECKENBERG,"1207","45732","1438253"
"10478690000",150.8873601000,-33.9059770000,"1820","64658","135",HECKENBERG,"1141","54167","1402886"
"10478700000",150.8920562000,-33.9059021000,"2163","75556","136",HECKENBERG,"1155","72783","1379302"
"10478710000",150.8892470000,-33.9049802000,"1793","77178","134",HECKENBERG,"1118","66857","1475928"
"10478720000",150.8873264000,-33.9086858000,"2348","57803","152",HECKENBERG,"1545","53745","1273433"
"10478730000",150.8857896000,-33.9086380000,"2691","58437","78",HECKENBERG,"1706","43802","1323872"
"10478740000",150.8847380000,-33.9093566000,"2715","61421","128",HECKENBERG,"1598","36133","1346803"
"10478750000",150.8877850000,-33.9098325000,"3208","52713","167",HECKENBERG,"1469","48227","1227202"
"10478760000",150.8906928000,-33.9092786000,"2190","60312","0",HECKENBERG,"1486","75263","1279924"
"10478770000",150.8908061000,-33.9078322000,"2970","69621","128",HECKENBERG,"1404","71604","1313198"
"10478780000",150.8932420000,-33.9076566000,"3365","65539","131",HECKENBERG,"1369","75696","1401220"
"10478790000",150.8965490000,-33.9078466000,"2403","62840","111",HECKENBERG,"1125","77703","1153130"
"10478800000",150.8949565000,-33.9083388000,"1315","46228","215",HECKENBERG,"881","68640","1187045"
"10478810000",150.8932504000,-33.9092485000,"1887","48617","106",HECKENBERG,"1275","71451","1321287"
"10478820000",150.8917316000,-33.9104951000,"2348","34057","118",HECKENBERG,"1503","58067","1239088"
"10478830000",150.8919960000,-33.9095001000,"2224","61286","106",HECKENBERG,"1396","74746","1228943"
"10478840000",150.8980696000,-33.9084768000,"1934","63686","0",HECKENBERG,"934","74068","1570701"
"10478850000",150.8803054000,-33.9157746000,"9358","84829","0",BUSBY,"2988","40324","1200313"
"10478860000",150.8790007000,-33.9142675000,"4563","63888","131",BUSBY,"2087","38400","1228080"
"10478870000",150.8770471000,-33.9182450000,"4670","68784","345",MILLER,"2369","38202","1374690"
"10478880000",150.8802361000,-33.9135434000,"3444","48912","170",BUSBY,"2178","37894","1202286"
"10478890000",150.8818534000,-33.9150030000,"3936","66001","96",BUSBY,"2432","41269","1166951"
"10478900000",150.8816694000,-33.9132140000,"1658","24763","152",BUSBY,"1658","37074","1148298"
"10478910000",150.8812608000,-33.9114804000,"3036","48424","0",BUSBY,"1848","36583","1284206"
"10478920000",150.8834427000,-33.9113676000,"2655","36657","0",BUSBY,"1794","41784","1280671"
"10478930000",150.8826259000,-33.9155283000,"3469","57757","112",BUSBY,"2715","40103","1168287"
"10478940000",150.8831296000,-33.9117484000,"3038","43598","142",BUSBY,"2242","36556","1258875"
"10478950000",150.8828830000,-33.9167488000,"4935","70189","137",BUSBY,"2710","41875","1237378"
"10478960000",150.8841386000,-33.9163883000,"4146","69771","163",BUSBY,"2117","41161","1208193"
"10478970000",150.8851254000,-33.9166684000,"4801","67282","177",BUSBY,"2364","43234","1218947"
"10478980000",150.8861435000,-33.9159580000,"3284","60102","102",SADLEIR,"1971","47581","1246935"
"10478990000",150.8879562000,-33.9140168000,"3381","58378","113",SADLEIR,"2410","50068","1142533"
"10479000000",150.8891712000,-33.9119333000,"2572","44408","146",HECKENBERG,"1768","50821","1212584"
"10479010000",150.8857364000,-33.9139353000,"2170","57257","154",BUSBY,"2131","37399","1182856"
"10479020000",150.8837974000,-33.9135206000,"2319","57021","132",BUSBY,"2194","38325","1174734"
"10479030000",150.8854870000,-33.9126823000,"2272","43933","109",BUSBY,"1747","37510","1253893"
"10479040000",150.8855426000,-33.9114614000,"2093","42812","118",HECKENBERG,"1661","36827","1254426"
"10479050000",150.8870151000,-33.9121747000,"2578","55117","146",HECKENBERG,"1600","42448","1167370"
"10479060000",150.8875886000,-33.9110219000,"3314","56484","0",HECKENBERG,"1549","48303","1258334"
"10479070000",150.8901295000,-33.9124879000,"2856","55110","144",SADLEIR,"1968","54436","1138906"
"10479080000",150.8940274000,-33.9116960000,"1966","57779","119",SADLEIR,"1560","76233","1288857"
"10479090000",150.8904919000,-33.9133785000,"2684","56628","122",SADLEIR,"1783","71456","1159130"
"10479100000",150.8912262000,-33.9139553000,"3112","54687","0",SADLEIR,"1446","72127","1129882"
"10479110000",150.8908317000,-33.9159049000,"2642","55568","0",SADLEIR,"1318","56263","1221989"
"10479120000",150.8922038000,-33.9153886000,"3378","58458","132",SADLEIR,"1607","75468","1205586"
"10479130000",150.8877749000,-33.9151106000,"3105","58572","112",SADLEIR,"2147","54360","1151916"
"10479140000",150.8860321000,-33.9190230000,"4911","68756","179",SADLEIR,"2472","61529","1215991"
"10479150000",150.8879902000,-33.9191385000,"2041","61295","52",SADLEIR,"1735","58468","1276452"
"10479160000",150.8886778000,-33.9180938000,"3180","61730","191",SADLEIR,"2180","59301","1182198"
"10479170000",150.8934538000,-33.9148616000,"3583","60064","116",SADLEIR,"1623","75075","1222362"
"10479180000",150.8924750000,-33.9132869000,"2196","53241","119",SADLEIR,"1558","74496","1176012"
"10479190000",150.8944730000,-33.9141655000,"2952","57526","165",SADLEIR,"1498","75127","1224336"
"10479200000",150.8899584000,-33.9192745000,"2181","60804","151",SADLEIR,"1644","72057","1238257"
"10479210000",150.8925762000,-33.9187179000,"1527","58861","105",SADLEIR,"1238","72675","1288191"
"10479220000",150.8943629000,-33.9181157000,"2661","60843","162",SADLEIR,"1697","75850","1315834"
"10479230000",150.8954767000,-33.9184673000,"1552","59273","146",ASHCROFT,"1127","74743","1346938"
"10479260000",150.9011678000,-33.9153916000,"3420","58689","128",ASHCROFT,"1189","79067","1524556"
"10479270000",150.9025765000,-33.9135422000,"1918","60200","244",ASHCROFT,"1267","80552","1521394"
"10479290000",150.9002547000,-33.9130649000,"2123","56933","160",ASHCROFT,"1022","78117","1468956"
"10479300000",150.8949053000,-33.9111550000,"1769","57679","169",ASHCROFT,"1506","76127","1293421"
"10479310000",150.8974138000,-33.9124654000,"1860","47907","179",ASHCROFT,"1076","74016","1407901"
"10479320000",150.8954606000,-33.9166428000,"3622","60126","115",ASHCROFT,"1648","76157","1262088"
"10479340000",150.8928991000,-33.9206613000,"2933","62977","115",SADLEIR,"1774","78902","1393601"
"10479350000",150.8947969000,-33.9206183000,"1499","60953","107",SADLEIR,"1136","76744","1369980"
"10479360000",150.8892207000,-33.9202770000,"5145","71985","75",SADLEIR,"1955","78205","1349531"
"10479370000",150.8908562000,-33.9215029000,"4283","67957","3",SADLEIR,"2011","77079","1396665"
"10479380000",150.8967495000,-33.9203355000,"1238","57950","0",ASHCROFT,"1037","75004","1401226"
"10479390000",150.8980926000,-33.9199585000,"1333","58500","113",ASHCROFT,"918","75081","1362568"
"10479400000",150.9005000000,-33.9182907000,"2320","56613","68",ASHCROFT,"917","74863","1386785"
"10479410000",150.9019820000,-33.9183956000,"858","47518","203",ASHCROFT,"620","71019","1383035"
"10479420000",150.9011241000,-33.9168980000,"1648","56542","184",ASHCROFT,"873","75317","1409140"
"10479430000",150.8991730000,-33.9105547000,"1040","52876","184",ASHCROFT,"957","75120","1516879"
"10479440000",150.9049219000,-33.9135426000,"2509","68138","94",ASHCROFT,"1508","81371","1579034"
"10479450000",150.9020565000,-33.9117751000,"1686","59114","162",ASHCROFT,"1169","78575","1574845"
"10479460000",150.8998483000,-33.9090513000,"1616","61032","0",MOUNT PRITCHARD,"847","74527","1484980"
"10479470000",150.9015944000,-33.9092295000,"715","55895","191",MOUNT PRITCHARD,"496","72988","1480356"
"10479480000",150.9040204000,-33.9103093000,"619","57827","165",MOUNT PRITCHARD,"616","75131","1472161"
"10479490000",150.9050159000,-33.9119017000,"3264","68939","196",MOUNT PRITCHARD,"1318","80394","1534289"
"10479500000",150.9039706000,-33.9192594000,"1268","61599","0",ASHCROFT,"1309","78858","1363038"
"10479510000",150.8762623000,-33.9148213000,"7572","78846","177",MILLER,"2487","38018","1351216"
"10479520000",150.8749882000,-33.9155913000,"2794","66957","328",MILLER,"2209","40499","1334050"
"10479561000",150.8740849000,-33.9182967000,"3824","89508","158",MILLER,"1976","38582","1565005"
"10479562000",150.8750723000,-33.9182813000,"5142","51960","219",MILLER,"2005","39339","1484333"
"10479570000",150.8785348000,-33.9178428000,"6262","76218","194",MILLER,"2655","39309","1334814"
"10479580000",150.8783990000,-33.9190068000,"4438","70980","146",MILLER,"2923","40749","1350640"
"10479590000",150.8795862000,-33.9172451000,"9171","83578","118",MILLER,"2966","41215","1276812"
"10479600000",150.8804347000,-33.9195938000,"4271","43796","257",MILLER,"2483","37833","1269922"
"10479610000",150.8760289000,-33.9206566000,"6291","57532","177",MILLER,"2720","39472","1520237"
"10479620000",150.8768070000,-33.9215306000,"6438","63100","0",MILLER,"3102","40234","1450763"
"10479640000",150.8733955000,-33.9261686000,"3208","89673","0",MILLER,"1594","41408","1715691"
"10479650000",150.8739843000,-33.9231158000,"1958","63252","253",MILLER,"1823","38374","1602769"
"10479660000",150.8764099000,-33.9233589000,"5855","53197","205",MILLER,"2770","39143","1544715"
"10479670000",150.8804934000,-33.9214613000,"4666","61620","193",MILLER,"2793","38616","1402715"
"10479680000",150.8824984000,-33.9218145000,"3994","69265","59",MILLER,"1909","41013","1443596"
"10479690000",150.8811815000,-33.9196205000,"5409","67993","0",MILLER,"2502","40158","1247184"
"10479702000",150.8840517000,-33.9185092000,"6209","70332","126",BUSBY,"2657","49444","1308896"
"10479710000",150.8865583000,-33.9203470000,"7751","75890","19",MILLER,"2347","61006","1374727"
