MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10027789",150.7623718000,-33.8887593000,"763","41384","0",BADGERYS CREEK,"767"
"10027790",150.7559536000,-33.8879832000,"11992","67401","0",BADGERYS CREEK,"6078"
"10027791",150.7557209000,-33.8893214000,"6333","54163","0",BADGERYS CREEK,"6325"
"10027792",150.7613820000,-33.8886420000,"768","38406","0",BADGERYS CREEK,"637"
"10027793",150.7569885000,-33.8867421000,"13526","80146","0",BADGERYS CREEK,"5376"
"10027794",150.7567559000,-33.8880802000,"13755","69838","0",BADGERYS CREEK,"7498"
"10027795",150.7618551000,-33.8859102000,"13589","98431","0",BADGERYS CREEK,"1039"
"10027796",150.7628369000,-33.8860830000,"68","52203","0",BADGERYS CREEK,"64"
"10027797",150.7626043000,-33.8874211000,"323","62295","0",BADGERYS CREEK,"300"
"10027798",150.7528486000,-33.8917065000,"8068","34408","0",BADGERYS CREEK,"8068"
"10027799",150.7530814000,-33.8903684000,"7250","34020","0",BADGERYS CREEK,"7250"
"10027800",150.7606798000,-33.8899035000,"519","38812","0",BADGERYS CREEK,"517"
"10027801",150.7562905000,-33.8907565000,"6915","42240","0",BADGERYS CREEK,"6915"
"10027802",150.7570928000,-33.8908536000,"8362","51974","0",BADGERYS CREEK,"8334"
"10027803",150.7538836000,-33.8904654000,"6311","41653","0",BADGERYS CREEK,"6311"
"10027804",150.7554882000,-33.8906595000,"7976","47081","0",BADGERYS CREEK,"7972"
"10027805",150.7549186000,-33.8892243000,"5851","38864","0",BADGERYS CREEK,"5851"
"10027806",150.7546859000,-33.8905625000,"7957","42886","0",BADGERYS CREEK,"7957"
"10027807",150.7533141000,-33.8890302000,"8306","41603","0",BADGERYS CREEK,"8306"
"10027808",150.7541164000,-33.8891273000,"8781","41674","0",BADGERYS CREEK,"8781"
"10027809",150.7543491000,-33.8877891000,"5726","54612","0",BADGERYS CREEK,"5715"
"10027810",150.7631740000,-33.8888563000,"1590","29123","0",BADGERYS CREEK,"1590"
